Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,123.446321921,6.01498027054,0.0,0.0,43.513341876,52.539744,64.8781312432,60.0238712432,4.83426,0.02
 01/01  02:00:00,127.803279285,10.3738422476,0.0,0.0,43.513341876,52.539744,67.1527906781,62.2985306781,4.83426,0.02
 01/01  03:00:00,132.631579512,15.1622184262,0.0,0.0,43.513341876,52.539744,105.846236406,100.991976406,4.83426,0.02
 01/01  04:00:00,130.511035935,13.0662569015,0.0,0.0,43.513341876,52.539744,86.617665848,81.763405848,4.83426,0.02
 01/01  05:00:00,136.370085206,18.4529727297,0.0,0.0,43.513341876,52.539744,124.71966188,119.86540188,4.83426,0.02
 01/01  06:00:00,132.510658261,14.6531181394,0.0,0.0,43.513341876,52.539744,99.8550594429,95.0007994429,4.83426,0.02
 01/01  07:00:00,133.674594975,18.7261228406,0.0,0.0,43.513341876,52.539744,149.831858219,136.387305821,4.83426,8.61029239747
 01/01  08:00:00,106.093715052,6.27659058372,0.0,0.0,43.513341876,52.539744,76.8953428194,72.0410828194,4.83426,0.02
 01/01  09:00:00,109.537513213,9.69921620767,0.0,0.0,43.513341876,52.539744,84.6398316966,79.7855716966,4.83426,0.02
 01/01  10:00:00,103.67456419,3.80528661302,0.0,0.0,43.513341876,52.539744,46.3467189694,41.4924589694,4.83426,0.02
 01/01  11:00:00,104.654477388,4.75660826628,0.0,0.0,43.513341876,52.539744,44.2205266977,34.6747693599,4.83426,4.71149733777
 01/01  12:00:00,104.461902206,3.64173881398,0.0,0.0,43.513341876,52.539744,23.9602432372,15.2029277108,4.83426,3.92305552639
 01/01  13:00:00,100.518741151,0.601220401083,0.0,0.0,43.513341876,52.539744,6.07394669725,1.21968669725,4.83426,0.02
 01/01  14:00:00,100.004102906,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
