Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,133.036297987,15.6303115992,0.0,0.0,43.513341876,52.539744,77.8923715431,73.0381115431,4.83426,0.02
 01/01  02:00:00,129.619036271,12.2211275016,0.0,0.0,43.513341876,52.539744,71.3536944601,66.4994344601,4.83426,0.02
 01/01  03:00:00,134.577471922,17.1500939853,0.0,0.0,43.513341876,52.539744,102.272778726,97.4185187259,4.83426,0.02
 01/01  04:00:00,134.557068556,17.1515243922,0.0,0.0,43.513341876,52.539744,81.2648588833,76.4105988833,4.83426,0.02
 01/01  05:00:00,135.510025706,17.6443547794,0.0,0.0,43.513341876,52.539744,114.513745356,109.659485356,4.83426,0.02
 01/01  06:00:00,149.683698619,31.871447651,0.0,0.0,43.513341876,52.539744,98.9473029382,85.5017499647,4.83426,8.61129297347
 01/01  07:00:00,137.121197771,19.2445968349,0.0,0.0,43.513341876,52.539744,125.491495418,120.637235418,4.83426,0.02
 01/01  08:00:00,113.159852956,13.3858385996,0.0,0.0,43.513341876,52.539744,80.8308673765,75.9766073765,4.83426,0.02
 01/01  09:00:00,113.396756489,13.5972308548,0.0,0.0,43.513341876,52.539744,102.78440397,97.9301439704,4.83426,0.02
 01/01  10:00:00,114.542991173,14.7511613089,0.0,0.0,43.513341876,52.539744,68.6375585511,63.7832985511,4.83426,0.02
 01/01  11:00:00,105.074597094,5.29016034337,0.0,0.0,43.513341876,52.539744,66.3973798135,52.9453074361,4.83426,8.61781237743
 01/01  12:00:00,104.966809808,4.2321282747,0.0,0.0,43.513341876,52.539744,32.2521350999,27.3978750999,4.83426,0.02
 01/01  13:00:00,104.0362937,4.2321282747,0.0,0.0,43.513341876,52.539744,23.4844320458,18.6301720458,4.83426,0.02
 01/01  14:00:00,102.017070301,2.11606413735,0.0,0.0,43.513341876,52.539744,10.729902019,5.87564201905,4.83426,0.02
 01/01  15:00:00,99.9507711066,0.0,0.0,0.0,43.513341876,52.539744,13.4454766444,0.0,4.83426,8.61121664442
 01/01  16:00:00,99.9281987268,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,102.696124833,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.587865424,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,118.606691171,1.07329067043,0.0,0.0,43.513341876,52.539744,6.12973990187,1.27547990187,4.83426,0.02
 01/01  20:00:00,121.471393671,3.53185976283,0.0,0.0,43.513341876,52.539744,13.6919794131,8.83771941315,4.83426,0.02
