Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,123.868170362,6.35416155056,0.0,0.0,43.513341876,52.539744,71.9123889738,67.0581289738,4.83426,0.02
 01/01  02:00:00,123.252624587,5.74443925211,0.0,0.0,43.513341876,52.539744,67.5469259823,62.6926659823,4.83426,0.02
 01/01  03:00:00,129.812045592,12.30150758,0.0,0.0,43.513341876,52.539744,99.4559318256,94.6016718256,4.83426,0.02
 01/01  04:00:00,124.596053544,7.11002818942,0.0,0.0,43.513341876,52.539744,81.5720831571,76.7178231571,4.83426,0.02
 01/01  05:00:00,128.545338159,10.5945214084,0.0,0.0,43.513341876,52.539744,107.628314364,102.774054364,4.83426,0.02
 01/01  06:00:00,128.766009157,10.865397767,0.0,0.0,43.513341876,52.539744,96.3931421723,82.9473990598,4.83426,8.61148311245
 01/01  07:00:00,130.260228817,12.30150758,0.0,0.0,43.513341876,52.539744,116.175829273,111.321569273,4.83426,0.02
 01/01  08:00:00,114.57369138,5.74443925211,0.0,0.0,43.513341876,52.539744,78.1254633533,73.2712033533,4.83426,0.02
 01/01  09:00:00,107.076604605,7.18054906514,0.0,0.0,43.513341876,52.539744,76.8513872176,71.9971272176,4.83426,0.02
 01/01  10:00:00,105.679704154,5.74443925211,0.0,0.0,43.513341876,52.539744,49.5229147447,44.6686547447,4.83426,0.02
 01/01  11:00:00,106.815536852,6.89166211029,0.0,0.0,43.513341876,52.539744,46.5077504588,33.0552877228,4.83426,8.61820273597
 01/01  12:00:00,106.260519724,5.45555229727,0.0,0.0,43.513341876,52.539744,22.1351041228,17.2808441228,4.83426,0.02
 01/01  13:00:00,102.084313035,2.21110961439,0.0,0.0,43.513341876,52.539744,12.8108861695,7.9566261695,4.83426,0.02
 01/01  14:00:00,101.376196493,1.43610981303,0.0,0.0,43.513341876,52.539744,18.9470605016,5.49464821294,4.83426,8.61815228861
 01/01  15:00:00,102.022096235,2.05925656146,0.0,0.0,43.513341876,52.539744,10.7412778984,5.88701789843,4.83426,0.02
 01/01  16:00:00,101.354311236,1.43610981303,0.0,0.0,43.513341876,52.539744,9.64211253335,4.78785253335,4.83426,0.02
 01/01  17:00:00,103.999473095,1.29999129682,0.0,0.0,43.513341876,52.539744,6.20225487505,1.34799487505,4.83426,0.02
 01/01  18:00:00,120.446506796,2.80416036795,0.0,0.0,43.513341876,52.539744,13.7176827673,8.86342276731,4.83426,0.02
 01/01  19:00:00,123.381005166,5.74443925211,0.0,0.0,43.513341876,52.539744,26.3685064135,21.5142464135,4.83426,0.02
 01/01  20:00:00,123.804866861,5.74443925211,0.0,0.0,43.513341876,52.539744,38.0210280636,24.5753460571,4.83426,8.61142200644
 01/01  21:00:00,124.634109615,6.60277515545,0.0,0.0,43.513341876,52.539744,41.8881697589,37.0339097589,4.83426,0.02
 01/01  22:00:00,123.994445174,6.17776968439,0.0,0.0,43.513341876,52.539744,62.4490181457,57.5947581457,4.83426,0.02
 01/01  23:00:00,124.258207069,6.74721863287,0.0,0.0,43.513341876,52.539744,69.5307611498,64.6765011498,4.83426,0.02
 01/01  24:00:00,124.63577907,6.17776968439,0.0,0.0,43.513341876,52.539744,66.1031333047,61.2488733047,4.83426,0.02
 01/02  01:00:00,125.995982154,8.4542048045,0.0,0.0,43.513341876,52.539744,98.8895716258,85.4370408796,4.83426,8.61827074618
 01/02  02:00:00,129.540349804,11.9815226679,0.0,0.0,43.513341876,52.539744,104.312251782,99.4579917819,4.83426,0.02
 01/02  03:00:00,125.986297921,8.4542048045,0.0,0.0,43.513341876,52.539744,85.2406014504,80.3863414504,4.83426,0.02
 01/02  04:00:00,123.69804212,6.17776968439,0.0,0.0,43.513341876,52.539744,79.2598667752,74.4056067752,4.83426,0.02
 01/02  05:00:00,124.699079158,6.74721863287,0.0,0.0,43.513341876,52.539744,91.2892662558,77.8367032887,4.83426,8.61830296713
 01/02  06:00:00,128.369291219,10.4452351135,0.0,0.0,43.513341876,52.539744,84.3031894013,79.4489294013,4.83426,0.02
 01/02  07:00:00,197.840203197,76.2884926588,0.0,0.0,43.513341876,53.238744,2370.01316465,2365.15890465,4.83426,0.02
 01/02  08:00:00,365.629120918,76.2884926588,0.0,0.0,220.879908,53.238744,1674.3396757,1643.19664169,4.83426,26.3087740078
 01/02  09:00:00,448.803343312,76.2884926588,0.0,0.0,220.879908,145.652643033,1332.0911119,1269.34570882,36.25695,26.4884530843
 01/02  10:00:00,448.833102177,76.2884926588,0.0,0.0,220.879908,145.652643033,1208.68319536,1134.88598247,36.25695,37.5402628905
 01/02  11:00:00,454.836463975,76.2884926588,0.0,0.0,220.879908,151.653867033,1134.35075813,1043.23361745,48.3426,42.7745406716
 01/02  12:00:00,455.767645239,76.2884926588,0.0,0.0,220.879908,151.653867033,1013.39488121,920.244134309,48.3426,44.8081469026
 01/02  13:00:00,454.77031979,76.2884926588,0.0,0.0,220.879908,151.653867033,902.437663737,809.165628057,48.3426,44.9294356807
 01/02  14:00:00,448.764723934,76.2884926588,0.0,0.0,220.879908,145.652643033,833.778577545,755.593411298,24.1713,54.0138662473
 01/02  15:00:00,448.757806466,76.2884926588,0.0,0.0,220.879908,145.652643033,808.666968099,748.804647626,24.1713,35.691020473
 01/02  16:00:00,440.896747108,76.2884926588,0.0,0.0,220.879908,137.835547516,750.402988314,700.88512083,4.83426,44.6836074833
 01/02  17:00:00,438.883950056,76.2884926588,0.0,0.0,220.879908,133.019064,668.691022136,628.378275014,4.83426,35.4784871225
 01/02  18:00:00,374.090636225,76.2884926588,0.0,0.0,220.879908,53.238744,791.903792982,751.597495539,4.83426,35.4720374435
 01/02  19:00:00,374.123793711,76.2884926588,0.0,0.0,220.879908,53.238744,853.49566093,813.058923888,4.83426,35.6024770421
 01/02  20:00:00,374.51809825,76.2884926588,0.0,0.0,220.879908,53.238744,870.503209275,856.983552458,4.83426,8.68539681712
 01/02  21:00:00,374.493994662,76.2884926588,0.0,0.0,220.879908,53.238744,881.503560051,867.994030462,4.83426,8.67526958961
 01/02  22:00:00,117.809051288,0.0,0.0,0.0,43.513341876,52.539744,22.1662999952,0.0,4.83426,17.3320399952
 01/02  23:00:00,117.571866183,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,118.574498103,0.0,0.0,0.0,43.513341876,52.539744,13.4657425473,0.0,4.83426,8.63148254727
 01/03  01:00:00,117.574407551,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,117.566785983,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,118.862952004,1.29999129682,0.0,0.0,43.513341876,52.539744,5.1302006209,0.275940620905,4.83426,0.02
 01/03  04:00:00,118.857853425,1.29999129682,0.0,0.0,43.513341876,52.539744,13.7606569229,0.308080406086,4.83426,8.61831651683
 01/03  05:00:00,120.977771619,1.29999129682,0.0,0.0,43.513341876,52.539744,5.1821755752,0.3279155752,4.83426,0.02
 01/03  06:00:00,123.869110453,4.52499465522,0.0,0.0,43.513341876,52.539744,6.45195062202,1.59769062202,4.83426,0.02
 01/03  07:00:00,197.80591046,76.2884926588,0.0,0.0,43.513341876,53.238744,1675.74016788,1670.88590788,4.83426,0.02
 01/03  08:00:00,365.423392252,76.2884926588,0.0,0.0,220.879908,53.238744,1473.7597844,1442.61705885,4.83426,26.3084655461
 01/03  09:00:00,448.733291674,76.2884926588,0.0,0.0,220.879908,145.652643033,1219.99698624,1157.25418827,36.25695,26.4858479669
 01/03  10:00:00,448.758196918,76.2884926588,0.0,0.0,220.879908,145.652643033,1041.73983421,960.89215055,36.25695,44.5907336598
 01/03  11:00:00,454.782061508,76.2884926588,0.0,0.0,220.879908,151.653867033,951.054578182,866.990802242,48.3426,35.7211759399
