Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,118.119072635,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,118.107833803,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,118.081874572,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,118.088524107,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.568366048,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.523416739,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,118.55321163,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  08:00:00,103.511357648,0.0,0.0,0.0,43.513341876,52.539744,13.4424658834,0.0,4.83426,8.60820588343
 01/01  09:00:00,100.610748654,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,271.563177271,1.62017435291,167.371535505,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,481.376300188,3.77153407325,372.874198209,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,614.236040381,7.16960152725,500.519457013,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,559.003657132,10.4991247067,443.4440825,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
