Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.716224695,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.646576348,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.632637321,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.629084182,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.054712001,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.01125769,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,115.078765559,0.0,0.0,0.0,43.513341876,52.539744,13.4431462598,0.0,4.83426,8.60888625982
 01/01  08:00:00,100.072145899,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.141571048,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.212105689,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.21825294,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,101.096724338,0.0,0.0,0.0,43.513341876,52.539744,13.4506332787,0.0,4.83426,8.61637327873
 01/01  13:00:00,100.269255298,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.357511133,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.382303001,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.338350123,0.0,0.0,0.0,43.513341876,52.539744,13.4445973083,0.0,4.83426,8.61033730826
 01/01  17:00:00,103.094801869,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.996989487,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.980522518,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.444145453,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.389028752,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.150497273,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.814837964,0.0,0.0,0.0,43.513341876,52.539744,13.4446101902,0.0,4.83426,8.61035019019
 01/01  24:00:00,118.668805064,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.838244705,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,117.8837146,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.915715692,0.0,0.0,0.0,43.513341876,52.539744,13.4506707546,0.0,4.83426,8.61641075461
 01/02  04:00:00,117.929910409,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.424749867,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.398390174,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,476.024981758,73.1535374194,281.938467046,0.0,43.513341876,53.238744,194.852369888,181.401869153,4.83426,8.61624073506
 01/02  08:00:00,792.905700243,73.1535374194,435.718959697,0.0,220.879908,53.238744,107.318435233,84.9844744176,4.83426,17.4997008154
 01/02  09:00:00,958.286451389,73.1535374194,507.892303016,0.0,220.879908,145.652643033,63.0312864473,0.377251106697,36.25695,26.3970853406
 01/02  10:00:00,1019.8189839,73.1535374194,568.394456208,0.0,220.879908,145.652643033,72.1386868645,0.366995349564,36.25695,35.514741515
 01/02  11:00:00,797.545144484,73.1535374194,341.670891963,0.0,220.879908,151.653867033,177.805107351,93.9043802213,48.3426,35.5581271294
 01/02  12:00:00,541.742039525,73.1535374194,86.478599327,0.0,220.879908,151.653867033,274.807540834,190.797741339,48.3426,35.667199495
 01/02  13:00:00,533.799349464,73.1535374194,79.1885459899,0.0,220.879908,151.653867033,245.286514863,152.252783239,48.3426,44.6911316244
 01/02  14:00:00,548.837035753,73.1663193022,99.9926628759,0.0,220.879908,145.652643033,221.477721782,152.548262287,24.1713,44.7581594948
 01/02  15:00:00,537.255203531,73.1856152523,88.5088367876,0.0,220.879908,145.652643033,245.497810963,185.803191054,24.1713,35.5233199088
 01/02  16:00:00,508.270057696,73.1888143471,67.4853653931,0.0,220.879908,137.835547516,208.161638625,167.746725372,4.83426,35.5806532534
 01/02  17:00:00,500.527495914,73.1535374194,62.1155730076,0.0,220.879908,133.019064,88.487693891,57.1484226128,4.83426,26.5050112781
 01/02  18:00:00,433.321933626,73.1535374194,60.1378202549,0.0,220.879908,53.238744,160.508068981,120.343505539,4.83426,35.3303034421
 01/02  19:00:00,392.680259285,73.1535374194,21.5142013109,0.0,220.879908,53.238744,196.514215149,156.235844693,4.83426,35.4441104558
 01/02  20:00:00,370.020598725,73.1535374194,0.0,0.0,220.879908,53.238744,340.978067077,327.467005571,4.83426,8.67680150633
 01/02  21:00:00,370.072544446,73.1535374194,0.0,0.0,220.879908,53.238744,522.047348186,508.545506834,4.83426,8.66758135244
 01/02  22:00:00,117.912269537,0.0,0.0,0.0,43.513341876,52.539744,13.5015981136,0.0,4.83426,8.66733811363
 01/02  23:00:00,117.666981628,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,118.616831351,0.0,0.0,0.0,43.513341876,52.539744,13.4626055379,0.0,4.83426,8.62834553792
 01/03  01:00:00,117.622547368,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,117.605633309,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.585938218,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.555481844,0.0,0.0,0.0,43.513341876,52.539744,13.4506048444,0.0,4.83426,8.61634484438
 01/03  05:00:00,119.660463356,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,119.323290129,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,191.419298008,73.1535374194,0.0,0.0,43.513341876,53.238744,1835.35278895,1830.49852895,4.83426,0.02
 01/03  08:00:00,353.088014122,73.1535374194,0.0,0.0,220.879908,53.238744,1512.26822261,1489.93240458,4.83426,17.5015580282
 01/03  09:00:00,445.424081355,73.1535374194,0.00129897661476,0.0,220.879908,145.652643033,1247.50849602,1184.84902961,36.25695,26.4025164083
 01/03  10:00:00,445.500993046,73.1546061443,0.00186073591685,0.0,220.879908,145.652643033,1115.86530492,1044.09007623,36.25695,35.5182786884
 01/03  11:00:00,451.616554598,73.2391917664,0.00125644892226,0.0,220.879908,151.653867033,1052.92270187,963.484143917,48.3426,41.0959579555
 01/03  12:00:00,452.957004851,73.5722309531,0.0,0.0,220.879908,151.653867033,971.521328526,884.152631441,48.3426,39.0260970843
 01/03  13:00:00,452.551539547,74.1425332909,0.0,0.0,220.879908,151.653867033,908.807263328,815.774027156,48.3426,44.6906361722
 01/03  14:00:00,447.125970397,74.7380242708,0.0,0.0,220.879908,145.652643033,845.442392766,776.5128726,24.1713,44.7582201658
