Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,127.677401233,10.1454708815,0.0,0.0,43.513341876,52.539744,124.203270569,119.349010569,4.83426,0.02
 01/01  02:00:00,125.533736453,7.99239058873,0.0,0.0,43.513341876,52.539744,84.9432209033,80.0889609033,4.83426,0.02
 01/01  03:00:00,133.418181676,15.8589574776,0.0,0.0,43.513341876,52.539744,109.445797795,104.591537795,4.83426,0.02
 01/01  04:00:00,123.467936232,5.9388218709,0.0,0.0,43.513341876,52.539744,84.4891262085,79.6348662085,4.83426,0.02
 01/01  05:00:00,126.625604683,8.65566856932,0.0,0.0,43.513341876,52.539744,108.452277205,103.598017205,4.83426,0.02
 01/01  06:00:00,134.545932517,16.6384437315,0.0,0.0,43.513341876,52.539744,89.0693590323,84.2150990323,4.83426,0.02
 01/01  07:00:00,127.433891234,9.47709605645,0.0,0.0,43.513341876,52.539744,123.556713312,110.112245426,4.83426,8.61020788619
 01/01  08:00:00,118.047580666,9.22453181942,0.0,0.0,43.513341876,52.539744,81.8808976873,77.0266376873,4.83426,0.02
 01/01  09:00:00,110.175501424,10.2985235436,0.0,0.0,43.513341876,52.539744,103.876707465,99.0224474648,4.83426,0.02
 01/01  10:00:00,104.178943246,4.29596689664,0.0,0.0,43.513341876,52.539744,72.5751209492,67.7208609492,4.83426,0.02
 01/01  11:00:00,105.250061317,5.36995862079,0.0,0.0,43.513341876,52.539744,89.5159657184,84.6617057184,4.83426,0.02
 01/01  12:00:00,105.057725477,4.29596689664,0.0,0.0,43.513341876,52.539744,73.8037705076,60.3535212369,4.83426,8.61598927066
 01/01  13:00:00,105.18953939,5.36995862079,0.0,0.0,43.513341876,52.539744,73.5078562727,68.6535962727,4.83426,0.02
 01/01  14:00:00,104.171596149,4.29596689664,0.0,0.0,43.513341876,52.539744,52.807875863,47.953615863,4.83426,0.02
 01/01  15:00:00,104.89352263,4.98732696564,0.0,0.0,43.513341876,52.539744,61.2416226384,56.3873626384,4.83426,0.02
 01/01  16:00:00,104.040221082,4.16842301158,0.0,0.0,43.513341876,52.539744,61.6299236436,48.1854095436,4.83426,8.61025410002
 01/01  17:00:00,105.055477606,5.36995862079,0.0,0.0,43.513341876,52.539744,71.2105868529,66.3563268529,4.83426,0.02
 01/01  18:00:00,109.934542087,4.29596689664,0.0,0.0,43.513341876,52.539744,62.2618170692,57.4075570692,4.83426,0.02
 01/01  19:00:00,122.968482539,5.36995862079,0.0,0.0,43.513341876,52.539744,86.9603527259,82.1060927259,4.83426,0.02
 01/01  20:00:00,127.226034472,9.22453181942,0.0,0.0,43.513341876,52.539744,76.0760411149,71.2217811149,4.83426,0.02
 01/01  21:00:00,127.881444121,9.88780980002,0.0,0.0,43.513341876,52.539744,103.977992218,99.1237322178,4.83426,0.02
 01/01  22:00:00,131.93701289,14.1706505155,0.0,0.0,43.513341876,52.539744,98.3197256288,93.4654656288,4.83426,0.02
 01/01  23:00:00,127.78791637,10.2985235436,0.0,0.0,43.513341876,52.539744,146.375282837,132.930781152,4.83426,8.61024168517
 01/01  24:00:00,135.724121523,17.2955857212,0.0,0.0,43.513341876,52.539744,115.179800695,110.325540695,4.83426,0.02
 01/02  01:00:00,137.83390562,20.3410034145,0.0,0.0,43.513341876,52.539744,157.559286784,152.705026784,4.83426,0.02
 01/02  02:00:00,132.279629935,14.8242817505,0.0,0.0,43.513341876,52.539744,126.480863122,121.626603122,4.83426,0.02
 01/02  03:00:00,136.679254739,19.1867920269,0.0,0.0,43.513341876,52.539744,174.821643025,169.967383025,4.83426,0.02
 01/02  04:00:00,135.400701274,17.9527277109,0.0,0.0,43.513341876,52.539744,145.736014966,132.285570389,4.83426,8.61618457669
 01/02  05:00:00,138.435196192,20.5038846101,0.0,0.0,43.513341876,52.539744,180.834884367,175.980624367,4.83426,0.02
 01/02  06:00:00,148.763049436,30.9053227061,0.0,0.0,43.513341876,52.539744,139.512769866,134.658509866,4.83426,0.02
 01/02  07:00:00,194.886360677,73.3985330113,0.0,0.0,43.513341876,53.238744,2514.56361355,2509.70935355,4.83426,0.02
 01/02  08:00:00,362.761536765,73.3985330113,0.0,0.0,220.879908,53.238744,1988.54276621,1957.47736185,4.83426,26.2311443632
 01/02  09:00:00,445.603326828,73.3985330113,0.00089390694909,0.0,220.879908,145.652643033,1666.63817783,1603.99620903,36.25695,26.3850188019
 01/02  10:00:00,445.568873878,73.3985330113,0.00183117431938,0.0,220.879908,145.652643033,1569.82445256,1506.93901547,36.25695,26.6284870899
 01/02  11:00:00,451.535180834,73.3985330113,0.0011292770181,0.0,220.879908,151.653867033,1518.17681489,1434.29725037,48.3426,35.5369645121
 01/02  12:00:00,452.524396551,73.3985330113,0.0,0.0,220.879908,151.653867033,1404.60440813,1311.70566537,48.3426,44.5561427572
 01/02  13:00:00,451.480870662,73.3985330113,0.0,0.0,220.879908,151.653867033,1299.21704009,1206.21322771,48.3426,44.661212378
 01/02  14:00:00,445.485588389,73.3985330113,0.0,0.0,220.879908,145.652643033,1240.41123293,1180.4559399,24.1713,35.783993027
 01/02  15:00:00,445.454030261,73.3985330113,0.0,0.0,220.879908,145.652643033,1239.42287978,1179.74345691,24.1713,35.5081228656
 01/02  16:00:00,437.569931995,73.3985330113,0.0,0.0,220.879908,137.835547516,1164.18866251,1123.79480576,4.83426,35.5595967504
 01/02  17:00:00,432.56236156,73.3985330113,0.0,0.0,220.879908,133.019064,1086.78147394,1046.63183185,4.83426,35.3153820816
 01/02  18:00:00,358.801842121,73.3985330113,0.0,0.0,220.879908,53.238744,1208.34219418,1177.01669058,4.83426,26.4912435919
 01/02  19:00:00,370.763756747,73.3985330113,0.0,0.0,220.879908,53.238744,1233.12051024,1192.86255326,4.83426,35.4236969805
 01/02  20:00:00,371.167869972,73.3985330113,0.0,0.0,220.879908,53.238744,1207.56453926,1194.0555604,4.83426,8.67471885646
 01/02  21:00:00,371.137102849,73.3985330113,0.0,0.0,220.879908,53.238744,1214.89501304,1201.39493251,4.83426,8.66582053123
 01/02  22:00:00,119.164833879,1.53052662063,0.0,0.0,43.513341876,52.539744,15.3227218925,1.8218185709,4.83426,8.66664332162
 01/02  23:00:00,119.353684762,1.91315827579,0.0,0.0,43.513341876,52.539744,7.83350555376,2.97924555376,4.83426,0.02
 01/02  24:00:00,120.431870824,1.91533629102,0.0,0.0,43.513341876,52.539744,17.076652701,3.61464159334,4.83426,8.62775110761
 01/03  01:00:00,122.617750362,5.13950526446,0.0,0.0,43.513341876,52.539744,12.2018999661,7.34763996606,4.83426,0.02
 01/03  02:00:00,121.768361494,4.29596689664,0.0,0.0,43.513341876,52.539744,14.0022584714,9.14799847137,4.83426,0.02
 01/03  03:00:00,122.84995554,5.36995862079,0.0,0.0,43.513341876,52.539744,20.8620952558,16.0078352558,4.83426,0.02
 01/03  04:00:00,121.772087977,4.29596689664,0.0,0.0,43.513341876,52.539744,32.4934644295,19.0429887255,4.83426,8.61621570401
 01/03  05:00:00,124.981091025,5.36995862079,0.0,0.0,43.513341876,52.539744,33.3755985988,28.5213385988,4.83426,0.02
 01/03  06:00:00,128.491733049,9.22453181942,0.0,0.0,43.513341876,52.539744,38.1865563137,33.3322963137,4.83426,0.02
 01/03  07:00:00,195.036171249,73.3985330113,0.0,0.0,43.513341876,53.238744,2222.32549635,2217.47123635,4.83426,0.02
 01/03  08:00:00,362.241494531,73.3985330113,0.0,0.0,220.879908,53.238744,1775.24749484,1744.18266574,4.83426,26.2305690949
 01/03  09:00:00,445.427555427,73.3985330113,0.00136610438379,0.0,220.879908,145.652643033,1447.8624082,1390.38048695,36.25695,21.2249712512
 01/03  10:00:00,445.417384402,73.3985330113,0.00235413083512,0.0,220.879908,145.652643033,1217.6205558,1149.52515893,36.25695,31.8384468687
 01/03  11:00:00,451.4141796,73.3985330113,0.00132469915348,0.0,220.879908,151.653867033,1040.57127274,956.690243507,48.3426,35.5384292288
 01/03  12:00:00,452.40291225,73.3985330113,0.0,0.0,220.879908,151.653867033,910.071892858,817.170844614,48.3426,44.5584482433
 01/03  13:00:00,451.438545837,73.3985330113,0.0,0.0,220.879908,151.653867033,803.653959796,710.647405781,48.3426,44.6639540156
 01/03  14:00:00,445.191865984,73.447162259,0.0,0.0,220.879908,145.652643033,664.782823393,604.825096339,24.1713,35.7864270538
 01/03  15:00:00,445.066005599,73.7994105413,0.0,0.0,220.879908,145.652643033,548.059652248,488.378046565,24.1713,35.5103056823
 01/03  16:00:00,437.205866743,73.8774016655,0.0,0.0,220.879908,137.835547516,446.679370229,406.283343071,4.83426,35.5617671581
 01/03  17:00:00,431.657828756,73.3985330113,0.0,0.0,220.879908,133.019064,333.824850938,293.672836538,4.83426,35.3177544
 01/03  18:00:00,358.33683003,73.3985330113,0.0,0.0,220.879908,53.238744,599.602046275,568.274610674,4.83426,26.4931756012
 01/03  19:00:00,370.724035463,73.3985330113,0.0,0.0,220.879908,53.238744,705.018289814,664.757539723,4.83426,35.4264900907
 01/03  20:00:00,370.696114499,73.3985330113,0.0,0.0,220.879908,53.238744,741.552474364,728.043127152,4.83426,8.67508721212
 01/03  21:00:00,370.689288906,73.3985330113,0.0,0.0,220.879908,53.238744,844.443580329,830.943133081,4.83426,8.66618724853
 01/03  22:00:00,117.423189956,0.0,0.0,0.0,43.513341876,52.539744,13.5001230768,0.0,4.83426,8.66586307677
 01/03  23:00:00,117.49122668,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  24:00:00,118.529456677,0.0,0.0,0.0,43.513341876,52.539744,13.4623430683,0.0,4.83426,8.62808306833
 01/04  01:00:00,119.398863067,1.91315827579,0.0,0.0,43.513341876,52.539744,5.3747445977,0.520484597696,4.83426,0.02
 01/04  02:00:00,120.392514932,2.91324675863,0.0,0.0,43.513341876,52.539744,5.94817187021,1.09391187021,4.83426,0.02
 01/04  03:00:00,122.155699237,4.67859855179,0.0,0.0,43.513341876,52.539744,7.4973342676,2.6430742676,4.83426,0.02
 01/04  04:00:00,122.461906876,4.98732696564,0.0,0.0,43.513341876,52.539744,17.7285429104,4.27809224155,4.83426,8.61619066881
 01/04  05:00:00,123.812596148,5.91073978249,0.0,0.0,43.513341876,52.539744,13.1703547706,8.31609477064,4.83426,0.02
 01/04  06:00:00,127.79396852,9.91589188842,0.0,0.0,43.513341876,52.539744,18.9422392244,14.0879792244,4.83426,0.02
 01/04  07:00:00,194.088825429,73.3985330113,0.0,0.0,43.513341876,53.238744,2139.37140719,2134.51714719,4.83426,0.02
 01/04  08:00:00,362.14913643,73.3985330113,0.0,0.0,220.879908,53.238744,1873.25389472,1842.18664585,4.83426,26.2329888648
 01/04  09:00:00,445.366771392,73.3985330113,0.00164135849558,0.0,220.879908,145.652643033,1334.67088654,1272.0261354,36.25695,26.3878011432
 01/04  10:00:00,444.900393851,73.3985330113,0.00138336619189,0.0,220.879908,145.652643033,662.272466381,598.861704285,36.25695,27.153812096
 01/04  11:00:00,476.51790769,73.4428639892,24.8919844019,0.0,220.879908,151.653867033,248.26594066,156.032741998,48.3426,43.8905986622
 01/04  12:00:00,611.023233516,74.0453864291,156.590084506,0.0,220.879908,151.653867033,90.6010620236,6.60524244383,48.3426,35.6532195798
 01/04  13:00:00,728.984282687,75.2356399547,273.697204386,0.0,220.879908,151.653867033,93.3832367895,0.376232794847,48.3426,44.6644039947
 01/04  14:00:00,824.87086529,76.3752046654,373.937326162,0.0,220.879908,145.652643033,59.9893976806,0.026913868663,24.1713,35.7911838119
 01/04  15:00:00,910.072171235,77.4430039872,457.782942187,0.0,220.879908,145.652643033,59.6861931553,0.0,24.1713,35.5148931553
 01/04  16:00:00,901.713766433,77.6194071105,457.258318974,0.0,220.879908,137.835547516,49.2914774839,0.00950162753249,4.83426,44.4477158564
 01/04  17:00:00,787.004603632,75.3482210835,350.472664841,0.0,220.879908,133.019064,31.3482920425,0.0189917807204,4.83426,26.4950402618
 01/04  18:00:00,544.577602644,73.6281004747,184.578063265,0.0,220.879908,53.238744,46.4531261077,15.1211944485,4.83426,26.4976716592
 01/04  19:00:00,444.717706207,73.4108878076,74.0384491512,0.0,220.879908,53.238744,109.02003766,68.7543650254,4.83426,35.4314126341
 01/04  20:00:00,384.711323267,73.3985330113,14.3628426069,0.0,220.879908,53.238744,127.889248546,114.379017994,4.83426,8.67597055235
 01/04  21:00:00,370.119609772,73.3985330113,0.0,0.0,220.879908,53.238744,251.663744275,238.163508946,4.83426,8.66597532883
 01/04  22:00:00,117.862148422,0.0,0.0,0.0,43.513341876,52.539744,13.5010109808,0.0,4.83426,8.6667509808
