Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,143.047810513,1.05500681684,24.1208744104,0.0,43.513341876,52.539744,5.89251888472,1.03825888472,4.83426,0.02
 01/01  02:00:00,157.899861403,1.70027141867,38.1089040386,0.0,43.513341876,52.539744,6.55195113292,1.69769113292,4.83426,0.02
 01/01  03:00:00,193.168310678,3.31379159812,71.2941051403,0.0,43.513341876,52.539744,8.13871372569,3.28445372569,4.83426,0.02
 01/01  04:00:00,201.809957956,3.7930460517,79.3804852315,0.0,43.513341876,52.539744,10.9376823234,6.08342232338,4.83426,0.02
 01/01  05:00:00,218.31831777,4.82662147009,94.236656239,0.0,43.513341876,52.539744,15.5596874305,10.7054274305,4.83426,0.02
 01/01  06:00:00,201.946547413,4.2742970474,78.6789531463,0.0,43.513341876,52.539744,29.3802933608,15.9343477395,4.83426,8.61168562134
 01/01  07:00:00,203.928127506,4.82662147009,82.9700551145,0.0,43.513341876,52.539744,26.0035398933,21.1492798933,4.83426,0.02
 01/01  08:00:00,180.282227602,4.2742970474,75.0535496716,0.0,43.513341876,52.539744,19.9182043131,15.0639443131,4.83426,0.02
 01/01  09:00:00,195.959761953,4.82662147009,89.8752423817,0.0,43.513341876,52.539744,17.4130439056,12.5587839056,4.83426,0.02
 01/01  10:00:00,185.311681494,3.77926148955,80.3798230066,0.0,43.513341876,52.539744,12.7731538723,7.91889387229,4.83426,0.02
 01/01  11:00:00,139.171688959,1.54853283228,37.1085377228,0.0,43.513341876,52.539744,16.2068670601,2.7540288541,4.83426,8.61857820596
 01/01  12:00:00,100.87109839,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,99.9893842319,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.0773093,0.0,0.0,0.0,43.513341876,52.539744,13.4526684174,0.0,4.83426,8.61840841743
 01/01  15:00:00,100.099569163,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.052577912,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,105.798401953,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.710711256,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.686383517,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.100702899,0.0,0.0,0.0,43.513341876,52.539744,13.4458290138,0.0,4.83426,8.61156901385
 01/01  21:00:00,118.073927384,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,117.853038331,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.536500012,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  24:00:00,118.461640415,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,183.465817817,2.74609800077,62.3336359659,0.0,43.513341876,52.539744,16.3088841676,2.85622828036,4.83426,8.6183958872
 01/02  02:00:00,217.907756818,4.4479932893,94.6283866005,0.0,43.513341876,52.539744,11.4689152481,6.61465524809,4.83426,0.02
 01/02  03:00:00,205.186614724,4.08620636089,82.4491554563,0.0,43.513341876,52.539744,13.5310088079,8.67674880789,4.83426,0.02
 01/02  04:00:00,215.915778611,4.83887768712,92.2666989866,0.0,43.513341876,52.539744,18.6503354345,13.7960754345,4.83426,0.02
 01/02  05:00:00,201.513658104,4.26204083037,78.220565314,0.0,43.513341876,52.539744,28.8839588306,15.4310790313,4.83426,8.61861979938
 01/02  06:00:00,209.155813389,4.83887768712,85.2067667352,0.0,43.513341876,52.539744,26.4759341506,21.6216741506,4.83426,0.02
