Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,206.056511112,15.5151070853,71.9594867879,0.0,43.513341876,52.539744,105.248335741,100.394075741,4.83426,0.02
 01/01  02:00:00,187.494389061,8.87473153802,60.2340021568,0.0,43.513341876,52.539744,93.770671906,88.916411906,4.83426,0.02
 01/01  03:00:00,209.466470382,16.3533516402,74.4488280967,0.0,43.513341876,52.539744,128.688471171,123.834211171,4.83426,0.02
 01/01  04:00:00,194.900813615,16.797517748,59.6920452366,0.0,43.513341876,52.539744,100.028663201,95.1744032006,4.83426,0.02
 01/01  05:00:00,208.518201557,14.7192113715,74.6574181011,0.0,43.513341876,52.539744,130.340197089,125.485937089,4.83426,0.02
 01/01  06:00:00,191.265860463,11.6779782888,60.7226237278,0.0,43.513341876,52.539744,99.4281764557,85.9811229913,4.83426,8.61279346433
 01/01  07:00:00,212.951021659,17.2625409094,76.5169192667,0.0,43.513341876,52.539744,119.185111667,114.330851667,4.83426,0.02
 01/01  08:00:00,168.767815684,5.88724651748,62.0569605386,0.0,43.513341876,52.539744,75.493143296,70.638883296,4.83426,0.02
 01/01  09:00:00,188.635523922,10.2635574724,77.3027869428,0.0,43.513341876,52.539744,96.6195258625,91.7652658625,4.83426,0.02
 01/01  10:00:00,166.899861301,4.22753261719,61.8433702674,0.0,43.513341876,52.539744,73.8924465622,60.4378773347,4.83426,8.62030922742
 01/01  11:00:00,184.008658681,5.28441577148,77.6460769668,0.0,43.513341876,52.539744,75.6409361277,70.7866761277,4.83426,0.02
 01/01  12:00:00,168.429314679,4.22753261719,62.4579860227,0.0,43.513341876,52.539744,60.4854988164,55.6312388164,4.83426,0.02
 01/01  13:00:00,183.917783748,5.28441577148,77.6079483791,0.0,43.513341876,52.539744,84.7790682021,71.3244892804,4.83426,8.62031892172
 01/01  14:00:00,167.987896695,4.22753261719,62.9148163043,0.0,43.513341876,52.539744,54.0303578408,49.1760978408,4.83426,0.02
 01/01  15:00:00,185.049307786,5.28441577148,78.6350513938,0.0,43.513341876,52.539744,68.450593673,63.596333673,4.83426,0.02
 01/01  16:00:00,168.241454316,4.22753261719,63.1617898235,0.0,43.513341876,52.539744,53.9493498341,49.0950898341,4.83426,0.02
 01/01  17:00:00,193.958655959,5.28441577148,78.7958282399,0.0,43.513341876,52.539744,70.9402313622,66.0859713622,4.83426,0.02
 01/01  18:00:00,185.838795292,4.22753261719,63.0356500157,0.0,43.513341876,52.539744,66.0198427346,52.5727715482,4.83426,8.61281118639
 01/01  19:00:00,202.556446777,5.28441577148,78.436440957,0.0,43.513341876,52.539744,75.1819730662,70.3277130662,4.83426,0.02
 01/01  20:00:00,186.146049007,4.22753261719,62.9133553784,0.0,43.513341876,52.539744,60.4357420887,55.5814820887,4.83426,0.02
 01/01  21:00:00,202.979670378,5.28441577148,78.4476485589,0.0,43.513341876,52.539744,78.9592645831,74.1050045831,4.83426,0.02
 01/01  22:00:00,187.606126781,5.88724651748,62.9399163792,0.0,43.513341876,52.539744,74.2745314081,69.4202714081,4.83426,0.02
 01/01  23:00:00,205.452799511,8.60384357208,78.1157270155,0.0,43.513341876,52.539744,104.9087467,91.4617011262,4.83426,8.61278557337
 01/01  24:00:00,188.089392678,5.88724651748,62.776137323,0.0,43.513341876,52.539744,75.6876120739,70.8333520739,4.83426,0.02
 01/02  01:00:00,205.244600191,8.60384357208,77.9131197165,0.0,43.513341876,52.539744,98.7482635005,93.8940035005,4.83426,0.02
 01/02  02:00:00,188.755554214,7.96188889285,62.336129459,0.0,43.513341876,52.539744,76.7863569304,71.9320969304,4.83426,0.02
 01/02  03:00:00,203.997593494,7.77398662193,77.5003087481,0.0,43.513341876,52.539744,110.773492926,97.3190688093,4.83426,8.62016411666
 01/02  04:00:00,193.823332073,13.3011584296,62.0719551753,0.0,43.513341876,52.539744,78.3039364669,73.4496764669,4.83426,0.02
 01/02  05:00:00,206.18918948,10.2635574724,76.7927120494,0.0,43.513341876,52.539744,109.182734816,104.328474816,4.83426,0.02
 01/02  06:00:00,194.566905979,14.8058610677,60.924774182,0.0,43.513341876,52.539744,102.966437922,89.5118144974,4.83426,8.62036342453
 01/02  07:00:00,196.116305358,73.4275543122,0.00311817243261,0.0,43.513341876,53.238744,2478.73951595,2473.88525595,4.83426,0.02
 01/02  08:00:00,354.781349394,73.4275543122,0.0,0.0,220.879908,53.238744,1778.22353657,1747.00586374,4.83426,26.3834128284
 01/02  09:00:00,446.534452441,73.4275543122,0.00253974809845,0.0,220.879908,145.652643033,1451.97157789,1389.13272109,36.25695,26.5819068073
 01/02  10:00:00,446.53368926,73.4275543122,0.00233808374642,0.0,220.879908,145.652643033,1331.24675328,1246.21166049,36.25695,48.7781427879
 01/02  11:00:00,452.156533563,73.4275543122,0.00154975486191,0.0,220.879908,151.653867033,1227.64048962,1129.41617409,48.3426,49.8817155289
 01/02  12:00:00,452.71508197,73.4275543122,0.0,0.0,220.879908,151.653867033,1101.69573624,1008.29166621,48.3426,45.0614700213
 01/02  13:00:00,451.427036208,73.4275543122,0.0,0.0,220.879908,151.653867033,1031.77038037,929.16896696,48.3426,54.2588134099
 01/02  14:00:00,445.224501241,73.4275543122,0.0,0.0,220.879908,145.652643033,967.51997384,888.985037534,24.1713,54.3636363067
 01/02  15:00:00,445.119477793,73.4275543122,0.0,0.0,220.879908,145.652643033,940.71609223,862.746618113,24.1713,53.7981741176
 01/02  16:00:00,437.368824341,73.4275543122,0.0,0.0,220.879908,137.835547516,897.466476404,847.710371797,4.83426,44.9218446073
 01/02  17:00:00,441.538640008,73.4275543122,0.0,0.0,220.879908,133.019064,843.131832791,802.659660936,4.83426,35.6379118547
 01/02  18:00:00,370.877158634,73.4275543122,0.0,0.0,220.879908,53.238744,973.010971557,923.784529956,4.83426,44.3921816011
 01/02  19:00:00,371.054957928,73.4275543122,0.0,0.0,220.879908,53.238744,1011.75089893,970.996591462,4.83426,35.9200474652
 01/02  20:00:00,371.888446309,73.4275543122,0.0,0.0,220.879908,53.238744,1048.69520851,1026.48791268,4.83426,17.3730358267
 01/02  21:00:00,372.105991329,73.4275543122,0.0,0.0,220.879908,53.238744,1068.72774633,1055.2091815,4.83426,8.68430482916
 01/02  22:00:00,117.681796098,0.0,0.0,0.0,43.513341876,52.539744,13.5194044484,0.0,4.83426,8.68514444842
 01/02  23:00:00,117.470115211,0.0,0.0,0.0,43.513341876,52.539744,13.4812296721,0.0,4.83426,8.64696967209
 01/02  24:00:00,140.823556269,1.08482664262,20.8657092675,0.0,43.513341876,52.539744,5.1104427279,0.256182727898,4.83426,0.02
 01/03  01:00:00,137.976261186,1.08482664262,19.0385816199,0.0,43.513341876,52.539744,13.8076899132,0.353139638682,4.83426,8.62029027448
 01/03  02:00:00,136.786739875,1.08482664262,17.8524682158,0.0,43.513341876,52.539744,5.28707100212,0.432811002115,4.83426,0.02
 01/03  03:00:00,142.03549364,1.44643552349,22.6354274788,0.0,43.513341876,52.539744,5.60241904558,0.748159045583,4.83426,0.02
 01/03  04:00:00,146.005368717,1.80804440437,26.1625256479,0.0,43.513341876,52.539744,14.3842736702,0.929688681643,4.83426,8.62032498853
 01/03  05:00:00,141.498577879,1.44643552349,20.0049781653,0.0,43.513341876,52.539744,5.7607530512,0.906493051204,4.83426,0.02
 01/03  06:00:00,169.127886533,3.2020274403,45.7243661843,0.0,43.513341876,52.539744,6.59335857955,1.73909857955,4.83426,0.02
 01/03  07:00:00,195.642076088,73.4275543122,0.0,0.0,43.513341876,53.238744,1693.66086015,1688.80660015,4.83426,0.02
 01/03  08:00:00,354.119120726,73.4275543122,0.0,0.0,220.879908,53.238744,1451.81753351,1420.59679051,4.83426,26.386483008
 01/03  09:00:00,446.393325753,73.4275543122,0.00180181642796,0.0,220.879908,145.652643033,1221.50771286,1149.80806995,36.25695,35.442692913
 01/03  10:00:00,446.437530478,73.4275543122,0.00230739681042,0.0,220.879908,145.652643033,1167.9131728,1086.83845038,36.25695,44.8177724199
 01/03  11:00:00,452.110185209,73.4275543122,0.00163574786573,0.0,220.879908,151.653867033,1117.26401656,1024.04407301,48.3426,44.8773435478
 01/03  12:00:00,452.65568123,73.4275543122,0.0,0.0,220.879908,151.653867033,1027.98660058,925.564875399,48.3426,54.07912518
 01/03  13:00:00,451.399052867,73.4275543122,0.0,0.0,220.879908,151.653867033,975.293460632,872.704427582,48.3426,54.2464330505
 01/03  14:00:00,445.347441669,73.4275543122,0.0,0.0,220.879908,145.652643033,963.890481455,885.364912672,24.1713,54.3542687826
 01/03  15:00:00,445.480108783,73.4275543122,0.0,0.0,220.879908,145.652643033,989.879291456,920.866669874,24.1713,44.8413215821
 01/03  16:00:00,437.89955703,73.4275543122,0.0,0.0,220.879908,137.835547516,964.36476672,914.613403753,4.83426,44.9171029669
 01/03  17:00:00,442.254762742,73.4275543122,0.0,0.0,220.879908,133.019064,903.535145389,854.158167489,4.83426,44.5427179007
 01/03  18:00:00,371.695620644,73.4275543122,0.0,0.0,220.879908,53.238744,1004.72919839,964.255573625,4.83426,35.6393647614
 01/03  19:00:00,371.702823218,73.4275543122,0.0,0.0,220.879908,53.238744,1030.27838195,980.720785899,4.83426,44.7233360535
 01/03  20:00:00,371.678982682,73.4275543122,0.0,0.0,220.879908,53.238744,1039.31629924,1025.78498538,4.83426,8.69705386279
 01/03  21:00:00,371.664503637,73.4275543122,0.0,0.0,220.879908,53.238744,1113.45764397,1091.27360825,4.83426,17.3497757158
 01/03  22:00:00,117.363255382,0.0,0.0,0.0,43.513341876,52.539744,13.5192741707,0.0,4.83426,8.68501417067
 01/03  23:00:00,117.458365833,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  24:00:00,139.270126647,1.08482664262,19.2951683745,0.0,43.513341876,52.539744,13.7144658644,0.244626773195,4.83426,8.63557909125
 01/04  01:00:00,136.485874209,1.08482664262,17.5510723566,0.0,43.513341876,52.539744,5.13468742587,0.280427425872,4.83426,0.02
 01/04  02:00:00,144.641299757,1.62723996393,25.0144367895,0.0,43.513341876,52.539744,13.8571038401,0.402399257798,4.83426,8.62044458225
 01/04  03:00:00,137.399830614,1.26563108306,18.2714235827,0.0,43.513341876,52.539744,5.32985264536,0.475592645359,4.83426,0.02
 01/04  04:00:00,151.825585943,2.27385024604,31.4121206438,0.0,43.513341876,52.539744,5.82776729988,0.97350729988,4.83426,0.02
 01/04  05:00:00,198.772763854,4.61341449252,74.9242468392,0.0,43.513341876,52.539744,6.96480615393,2.11054615393,4.83426,0.02
