Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,149.132859911,31.5961080091,0.0,0.0,43.513341876,52.539744,181.530225057,176.675965057,4.83426,0.02
 01/01  02:00:00,144.433592387,26.9363218043,0.0,0.0,43.513341876,52.539744,146.192165447,141.337905447,4.83426,0.02
 01/01  03:00:00,153.969742543,36.4166552966,0.0,0.0,43.513341876,52.539744,182.092097552,177.237837552,4.83426,0.02
 01/01  04:00:00,143.191357656,25.7072952349,0.0,0.0,43.513341876,52.539744,130.986521886,126.132261886,4.83426,0.02
 01/01  05:00:00,151.345930463,33.344088873,0.0,0.0,43.513341876,52.539744,190.428590624,185.574330624,4.83426,0.02
 01/01  06:00:00,157.40706724,39.5068449753,0.0,0.0,43.513341876,52.539744,154.737573262,141.290729015,4.83426,8.6125842472
 01/01  07:00:00,152.212387413,34.1991071389,0.0,0.0,43.513341876,52.539744,195.774873101,190.920613101,4.83426,0.02
 01/01  08:00:00,125.727762847,19.9096690277,0.0,0.0,43.513341876,52.539744,111.812794288,106.958534288,4.83426,0.02
 01/01  09:00:00,110.817991986,10.9344183853,0.0,0.0,43.513341876,52.539744,122.919969216,118.065709216,4.83426,0.02
 01/01  10:00:00,111.652889438,11.8119516319,0.0,0.0,43.513341876,52.539744,83.6905600122,70.2363096505,4.83426,8.61999036167
 01/01  11:00:00,112.743776029,12.9114615618,0.0,0.0,43.513341876,52.539744,91.9041663086,87.0499063086,4.83426,0.02
 01/01  12:00:00,105.136106443,4.3980397198,0.0,0.0,43.513341876,52.539744,62.8814167236,58.0271567236,4.83426,0.02
 01/01  13:00:00,105.242502804,5.49754964975,0.0,0.0,43.513341876,52.539744,69.0984061651,64.2441461651,4.83426,0.02
 01/01  14:00:00,104.190321333,4.3980397198,0.0,0.0,43.513341876,52.539744,58.8501671087,45.3959211498,4.83426,8.61998595889
 01/01  15:00:00,105.322575487,5.49754964975,0.0,0.0,43.513341876,52.539744,60.5096086484,55.6553486484,4.83426,0.02
 01/01  16:00:00,104.183221481,4.3980397198,0.0,0.0,43.513341876,52.539744,51.490895283,46.636635283,4.83426,0.02
 01/01  17:00:00,111.090304152,5.49754964975,0.0,0.0,43.513341876,52.539744,77.0777148318,72.2234548318,4.83426,0.02
 01/01  18:00:00,129.554057686,12.0245306044,0.0,0.0,43.513341876,52.539744,79.1097405433,65.6629172992,4.83426,8.61256324407
 01/01  19:00:00,133.162355785,15.5953445051,0.0,0.0,43.513341876,52.539744,102.652952174,97.7986921742,4.83426,0.02
 01/01  20:00:00,131.587198572,13.6153788589,0.0,0.0,43.513341876,52.539744,83.8716183177,79.0173583177,4.83426,0.02
 01/01  21:00:00,136.095508295,18.1091642703,0.0,0.0,43.513341876,52.539744,121.533075938,116.678815938,4.83426,0.02
 01/01  22:00:00,137.2997345,19.5447320028,0.0,0.0,43.513341876,52.539744,111.504551279,106.650291279,4.83426,0.02
 01/01  23:00:00,137.29646884,19.7850441138,0.0,0.0,43.513341876,52.539744,162.22173287,157.36747287,4.83426,0.02
 01/01  24:00:00,152.160357187,33.7048018241,0.0,0.0,43.513341876,52.539744,132.398680301,118.951830202,4.83426,8.61259009878
 01/02  01:00:00,139.16725494,21.6330009119,0.0,0.0,43.513341876,52.539744,172.020144532,167.165884532,4.83426,0.02
 01/02  02:00:00,147.977587612,30.5031490221,0.0,0.0,43.513341876,52.539744,123.430091738,118.575831738,4.83426,0.02
 01/02  03:00:00,151.987047989,34.4462375359,0.0,0.0,43.513341876,52.539744,179.775997783,166.32169904,4.83426,8.62003874348
 01/02  04:00:00,137.878617501,20.4039298218,0.0,0.0,43.513341876,52.539744,120.120157441,115.265897441,4.83426,0.02
 01/02  05:00:00,155.871455398,37.899437679,0.0,0.0,43.513341876,52.539744,168.91929321,164.06503321,4.83426,0.02
 01/02  06:00:00,143.831176013,25.9478002161,0.0,0.0,43.513341876,52.539744,126.103256142,121.248996142,4.83426,0.02
 01/02  07:00:00,196.212301905,74.0487870421,0.0,0.0,43.513341876,53.238744,2427.62301494,2414.16868037,4.83426,8.62007456867
 01/02  08:00:00,361.493369528,74.0487870421,0.0,0.0,220.879908,53.238744,1951.58140096,1920.3799935,4.83426,26.3671474559
 01/02  09:00:00,446.884183344,74.0487870421,0.0,0.0,220.879908,145.652643033,1607.96091445,1545.1369485,36.25695,26.5670159489
 01/02  10:00:00,446.72840766,74.0487870421,0.00142511668494,0.0,220.879908,145.652643033,1486.03189755,1405.00089456,36.25695,44.7740529949
 01/02  11:00:00,452.665167073,74.0487870421,0.000976475739873,0.0,220.879908,151.653867033,1398.12961382,1304.95239843,48.3426,44.8346153881
 01/02  12:00:00,453.658641424,74.0487870421,0.0,0.0,220.879908,151.653867033,1325.7115158,1223.35160955,48.3426,54.0173062508
 01/02  13:00:00,452.596068087,74.0487870421,0.0,0.0,220.879908,151.653867033,1284.76907779,1182.25080597,48.3426,54.175671821
 01/02  14:00:00,446.598884047,74.0487870421,0.0,0.0,220.879908,145.652643033,1249.4962441,1171.05026202,24.1713,54.2746820729
 01/02  15:00:00,446.551323447,74.0487870421,0.0,0.0,220.879908,145.652643033,1170.06520761,1101.100979,24.1713,44.7929286087
 01/02  16:00:00,438.628858394,74.0487870421,0.0,0.0,220.879908,137.835547516,1038.69774641,988.981814656,4.83426,44.88167175
 01/02  17:00:00,439.614531868,74.0487870421,0.0,0.0,220.879908,133.019064,1020.4405309,979.996506781,4.83426,35.6097641163
 01/02  18:00:00,371.873341729,74.0487870421,0.0,0.0,220.879908,53.238744,1206.93986861,1166.50293216,4.83426,35.6026764453
 01/02  19:00:00,371.900476187,74.0487870421,0.0,0.0,220.879908,53.238744,1274.31740233,1224.80179269,4.83426,44.6813496401
 01/02  20:00:00,372.315949255,74.0487870421,0.0,0.0,220.879908,53.238744,1293.1080665,1279.57972166,4.83426,8.6940848322
 01/02  21:00:00,372.298375667,74.0487870421,0.0,0.0,220.879908,53.238744,1367.00574276,1344.82437129,4.83426,17.347111467
 01/02  22:00:00,119.230815861,1.6490318929,0.0,0.0,43.513341876,52.539744,17.0643015742,3.54613440544,4.83426,8.68390716874
