Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,121.778034094,4.3456654179,0.0,0.0,43.513341876,52.539744,52.826244404,47.971984404,4.83426,0.02
 01/01  02:00:00,131.38425743,13.9589301938,0.0,0.0,43.513341876,52.539744,51.2640418445,46.4097818445,4.83426,0.02
 01/01  03:00:00,125.488076314,8.04570065249,0.0,0.0,43.513341876,52.539744,75.0566735531,70.2024135531,4.83426,0.02
 01/01  04:00:00,133.414632922,15.9925131883,0.0,0.0,43.513341876,52.539744,64.0063889532,59.1521289532,4.83426,0.02
 01/01  05:00:00,134.163886696,16.2730457624,0.0,0.0,43.513341876,52.539744,98.580451225,93.726191225,4.83426,0.02
 01/01  06:00:00,133.969559284,16.1280853879,0.0,0.0,43.513341876,52.539744,93.6078594756,80.1611029477,4.83426,8.61249652795
 01/01  07:00:00,148.682246164,30.7589683144,0.0,0.0,43.513341876,52.539744,128.005283214,123.151023214,4.83426,0.02
 01/01  08:00:00,125.270450025,10.523118637,0.0,0.0,43.513341876,52.539744,77.4290422285,72.5747822285,4.83426,0.02
 01/01  09:00:00,107.119820892,7.26327183204,0.0,0.0,43.513341876,52.539744,89.3340029864,84.4797429864,4.83426,0.02
 01/01  10:00:00,111.140196169,11.2474862012,0.0,0.0,43.513341876,52.539744,57.5718124209,44.1176715658,4.83426,8.61988085507
 01/01  11:00:00,104.70330492,4.79196786135,0.0,0.0,43.513341876,52.539744,51.2711467206,46.4168867206,4.83426,0.02
 01/01  12:00:00,104.637981143,3.83357428908,0.0,0.0,43.513341876,52.539744,28.8925846032,24.0383246032,4.83426,0.02
 01/01  13:00:00,104.510235281,4.63460532499,0.0,0.0,43.513341876,52.539744,25.5854807103,20.7312207103,4.83426,0.02
 01/01  14:00:00,103.49931977,3.55270437342,0.0,0.0,43.513341876,52.539744,24.0503754528,10.5963886492,4.83426,8.61972680365
 01/01  15:00:00,100.742578094,0.786812681791,0.0,0.0,43.513341876,52.539744,5.97945663722,1.12519663722,4.83426,0.02
 01/01  16:00:00,100.872754405,0.944175218149,0.0,0.0,43.513341876,52.539744,5.98783130363,1.13357130363,4.83426,0.02
 01/01  17:00:00,106.638897579,0.944175218149,0.0,0.0,43.513341876,52.539744,6.00943336609,1.15517336609,4.83426,0.02
 01/01  18:00:00,118.566183927,0.944175218149,0.0,0.0,43.513341876,52.539744,14.8249290783,1.37824515071,4.83426,8.61242392762
 01/01  19:00:00,120.373660752,2.76860091604,0.0,0.0,43.513341876,52.539744,11.4087067525,6.55444675249,4.83426,0.02
 01/01  20:00:00,121.854259413,3.83357428908,0.0,0.0,43.513341876,52.539744,16.8743572082,12.0200972082,4.83426,0.02
 01/01  21:00:00,122.773440072,4.79196786135,0.0,0.0,43.513341876,52.539744,22.7545377279,17.9002777279,4.83426,0.02
 01/01  22:00:00,121.582589426,3.83357428908,0.0,0.0,43.513341876,52.539744,30.6131996099,25.7589396099,4.83426,0.02
 01/01  23:00:00,122.227769471,4.79196786135,0.0,0.0,43.513341876,52.539744,41.9305993916,37.0763393916,4.83426,0.02
 01/01  24:00:00,122.240568769,3.83357428908,0.0,0.0,43.513341876,52.539744,55.1642115832,41.7174464943,4.83426,8.61250508886
 01/02  01:00:00,124.684654625,7.26327183204,0.0,0.0,43.513341876,52.539744,55.2180653501,50.3638053501,4.83426,0.02
 01/02  02:00:00,130.000644341,12.5722038201,0.0,0.0,43.513341876,52.539744,63.6360191207,58.7817591207,4.83426,0.02
 01/02  03:00:00,133.215630317,15.7787849682,0.0,0.0,43.513341876,52.539744,80.6358771179,67.1818275161,4.83426,8.61978960182
 01/02  04:00:00,130.062597786,12.6202318245,0.0,0.0,43.513341876,52.539744,79.7561686875,74.9019086875,4.83426,0.02
 01/02  05:00:00,130.566587241,12.6861598173,0.0,0.0,43.513341876,52.539744,82.5932174914,77.7389574914,4.83426,0.02
 01/02  06:00:00,134.531506342,16.6703741864,0.0,0.0,43.513341876,52.539744,88.4488428828,83.5945828828,4.83426,0.02
 01/02  07:00:00,192.350678478,70.8896715172,0.0,0.0,43.513341876,53.238744,2350.49008947,2337.03592798,4.83426,8.61990148848
 01/02  08:00:00,366.293646738,70.8896715172,0.0,0.0,220.879908,53.238744,1776.58781179,1750.41263778,4.83426,21.3409140139
 01/02  09:00:00,443.252702109,70.8896715172,0.0,0.0,220.879908,145.652643033,1451.71421062,1383.84186386,36.25695,31.6153967576
 01/02  10:00:00,443.246561548,70.8896715172,0.0,0.0,220.879908,145.652643033,1329.57492565,1248.55689717,36.25695,44.7610784798
 01/02  11:00:00,449.24143244,70.8896715172,0.000806889296642,0.0,220.879908,151.653867033,1196.26919842,1103.10308145,48.3426,44.8235169623
 01/02  12:00:00,450.097095993,70.8896715172,0.0,0.0,220.879908,151.653867033,994.903721656,892.570668519,48.3426,53.990453137
 01/02  13:00:00,448.365370486,70.8896715172,0.0,0.0,220.879908,151.653867033,788.411063969,694.922410519,48.3426,45.1460534501
 01/02  14:00:00,442.191929734,70.8896715172,0.0,0.0,220.879908,145.652643033,729.269157919,650.815332311,24.1713,54.282525608
 01/02  15:00:00,442.15178701,70.8896715172,0.0,0.0,220.879908,145.652643033,705.842231646,636.891246042,24.1713,44.7796856039
 01/02  16:00:00,434.26246383,70.8896715172,0.0,0.0,220.879908,137.835547516,625.428674758,572.476338666,4.83426,48.1180760918
 01/02  17:00:00,435.223429261,70.8896715172,0.0,0.0,220.879908,133.019064,533.822020142,487.731251695,4.83426,41.256508447
 01/02  18:00:00,367.493430951,70.8896715172,0.0,0.0,220.879908,53.238744,666.35299303,625.922391146,4.83426,35.5963418837
 01/02  19:00:00,367.644468696,70.8896715172,0.0,0.0,220.879908,53.238744,742.89755216,693.400898566,4.83426,44.6623935941
 01/02  20:00:00,368.173809627,70.8896715172,0.0,0.0,220.879908,53.238744,741.480803511,727.95327539,4.83426,8.69326812068
 01/02  21:00:00,368.207888952,70.8896715172,0.0,0.0,220.879908,53.238744,755.370367742,741.853704702,4.83426,8.68240303978
 01/02  22:00:00,117.769280035,0.0,0.0,0.0,43.513341876,52.539744,13.5175462473,0.0,4.83426,8.68328624734
 01/02  23:00:00,117.544494291,0.0,0.0,0.0,43.513341876,52.539744,13.4797990373,0.0,4.83426,8.6455390373
 01/02  24:00:00,118.572659031,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  01:00:00,117.586124682,0.0,0.0,0.0,43.513341876,52.539744,13.4541600896,0.0,4.83426,8.61990008955
 01/03  02:00:00,117.582538528,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.577681003,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.573193263,0.0,0.0,0.0,43.513341876,52.539744,13.4540221323,0.0,4.83426,8.61976213233
 01/03  05:00:00,120.639234775,0.944175218149,0.0,0.0,43.513341876,52.539744,5.14512670522,0.290866705219,4.83426,0.02
 01/03  06:00:00,119.986170778,0.629450145433,0.0,0.0,43.513341876,52.539744,5.09728253063,0.243022530633,4.83426,0.02
 01/03  07:00:00,192.141953078,70.8896715172,0.0,0.0,43.513341876,53.238744,1461.22969963,1447.77633356,4.83426,8.61910606148
 01/03  08:00:00,365.671352528,70.8896715172,0.0,0.0,220.879908,53.238744,1193.63981362,1171.21947477,4.83426,17.5860788506
 01/03  09:00:00,442.637107104,70.8896715172,0.00119373332833,0.0,220.879908,145.652643033,942.169743548,870.502197881,36.25695,35.4105956668
 01/03  10:00:00,442.39317423,70.8896715172,0.0,0.0,220.879908,145.652643033,840.901122816,759.880293505,36.25695,44.7638793116
 01/03  11:00:00,448.262801426,70.8896715172,0.00110608431736,0.0,220.879908,151.653867033,792.950928649,699.781574083,48.3426,44.8267545654
 01/03  12:00:00,449.150003051,70.8896715172,0.0,0.0,220.879908,151.653867033,726.554182559,633.216639191,48.3426,44.9949433678
 01/03  13:00:00,448.158418386,70.8896715172,0.0,0.0,220.879908,151.653867033,699.385583236,596.857197966,48.3426,54.1857852703
 01/03  14:00:00,442.175075683,70.8896715172,0.0,0.0,220.879908,145.652643033,687.700924899,609.249598977,24.1713,54.2800259215
 01/03  15:00:00,442.165307373,70.8896715172,0.0,0.0,220.879908,145.652643033,677.077815242,608.122584192,24.1713,44.7839310499
 01/03  16:00:00,434.301221177,70.8896715172,0.0,0.0,220.879908,137.835547516,608.731261419,559.037918505,4.83426,44.859082914
 01/03  17:00:00,435.23980943,70.8896715172,0.0,0.0,220.879908,133.019064,504.550851441,455.225078595,4.83426,44.4915128458
 01/03  18:00:00,367.43301114,70.8896715172,0.0,0.0,220.879908,53.238744,592.9759703,552.541996118,4.83426,35.5997141816
 01/03  19:00:00,367.471243999,70.8896715172,0.0,0.0,220.879908,53.238744,627.006835469,577.505817765,4.83426,44.6667577045
 01/03  20:00:00,367.438910326,70.8896715172,0.0,0.0,220.879908,53.238744,592.795806639,579.267333611,4.83426,8.69421302822
 01/03  21:00:00,367.410483439,70.8896715172,0.0,0.0,220.879908,53.238744,584.657393613,571.139948558,4.83426,8.68318505467
 01/03  22:00:00,117.563268132,0.0,0.0,0.0,43.513341876,52.539744,13.5173452995,0.0,4.83426,8.68308529951
 01/03  23:00:00,117.642448533,0.0,0.0,0.0,43.513341876,52.539744,13.4799512192,0.0,4.83426,8.64569121917
 01/03  24:00:00,118.639164116,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  01:00:00,117.687171932,0.0,0.0,0.0,43.513341876,52.539744,13.4542052079,0.0,4.83426,8.61994520787
 01/04  02:00:00,117.685426386,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  03:00:00,117.684671015,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,117.684340854,0.0,0.0,0.0,43.513341876,52.539744,13.4540731509,0.0,4.83426,8.61981315093
 01/04  05:00:00,118.11665526,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  06:00:00,118.097556381,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  07:00:00,189.986649834,70.8896715172,0.0,0.0,43.513341876,53.238744,857.337313777,852.483053777,4.83426,0.02
 01/04  08:00:00,364.505215495,70.8896715172,0.0,0.0,220.879908,53.238744,714.244944997,683.042233892,4.83426,26.3684511056
 01/04  09:00:00,441.9553147,70.8896715172,0.00148656217107,0.0,220.879908,145.652643033,563.090989093,491.423255977,36.25695,35.4107831154
 01/04  10:00:00,442.006611388,70.8896715172,0.0,0.0,220.879908,145.652643033,526.359842932,445.340674116,36.25695,44.7622188157
 01/04  11:00:00,448.021235858,70.8896715172,0.00136623604894,0.0,220.879908,151.653867033,511.195143627,418.02217073,48.3426,44.8303728967
 01/04  12:00:00,448.930238799,70.8896715172,0.0,0.0,220.879908,151.653867033,470.19738225,376.854061537,48.3426,45.0007207138
 01/04  13:00:00,448.028969386,70.8896715172,0.0,0.0,220.879908,151.653867033,474.487708861,371.960726885,48.3426,54.1843819763
 01/04  14:00:00,442.08702798,70.9098546713,0.0,0.0,220.879908,145.652643033,474.690313545,396.239518084,24.1713,54.2794954614
 01/04  15:00:00,442.117686406,70.9497267926,0.0,0.0,220.879908,145.652643033,463.186382039,394.231166071,24.1713,44.7839159689
 01/04  16:00:00,434.274013244,70.9711345652,0.0,0.0,220.879908,137.835547516,394.362425785,344.663189153,4.83426,44.8649766319
 01/04  17:00:00,435.112811048,70.8896715172,0.0,0.0,220.879908,133.019064,276.181667558,226.851263347,4.83426,44.4961442109
 01/04  18:00:00,367.276715029,70.8896715172,0.0,0.0,220.879908,53.238744,343.86932125,303.43580371,4.83426,35.5992575397
 01/04  19:00:00,367.282596035,70.8896715172,0.0,0.0,220.879908,53.238744,348.902804813,306.552963142,4.83426,37.5155816716
 01/04  20:00:00,367.687369741,70.8896715172,0.0,0.0,220.879908,53.238744,322.635533392,302.160483899,4.83426,15.6407894936
 01/04  21:00:00,367.659419546,70.8896715172,0.0,0.0,220.879908,53.238744,313.4371787,299.91985824,4.83426,8.68306045967
 01/04  22:00:00,118.001363151,0.0,0.0,0.0,43.513341876,52.539744,13.5172298299,0.0,4.83426,8.68296982992
 01/04  23:00:00,117.735897942,0.0,0.0,0.0,43.513341876,52.539744,13.4798074877,0.0,4.83426,8.64554748774
 01/04  24:00:00,118.676485032,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  01:00:00,117.723663693,0.0,0.0,0.0,43.513341876,52.539744,13.4540418371,0.0,4.83426,8.61978183715
 01/05  02:00:00,117.706454385,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  03:00:00,117.700377019,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  04:00:00,117.694632931,0.0,0.0,0.0,43.513341876,52.539744,13.4533231732,0.0,4.83426,8.61906317317
 01/05  05:00:00,118.117771127,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  06:00:00,118.085164285,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
