Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,131.333480954,13.8728529622,0.0,0.0,43.513341876,52.539744,93.0919626623,88.2377026623,4.83426,0.02
 01/01  02:00:00,149.203749107,31.7495914357,0.0,0.0,43.513341876,52.539744,102.350639355,97.4963793547,4.83426,0.02
 01/01  03:00:00,147.605446181,30.0778672061,0.0,0.0,43.513341876,52.539744,156.211039577,151.356779577,4.83426,0.02
 01/01  04:00:00,147.019085866,29.532043278,0.0,0.0,43.513341876,52.539744,129.413879366,124.559619366,4.83426,0.02
 01/01  05:00:00,149.985004021,31.9679466485,0.0,0.0,43.513341876,52.539744,204.283118504,190.835346707,4.83426,8.6135117969
 01/01  06:00:00,152.795700229,34.8686974475,0.0,0.0,43.513341876,52.539744,150.779960223,145.925700223,4.83426,0.02
 01/01  07:00:00,156.974234181,38.8743469346,0.0,0.0,43.513341876,52.539744,233.191010334,228.336750334,4.83426,0.02
 01/01  08:00:00,128.073934947,19.225607853,0.0,0.0,43.513341876,52.539744,126.677384606,121.823124606,4.83426,0.02
 01/01  09:00:00,118.619870368,18.6626577022,0.0,0.0,43.513341876,52.539744,154.254837479,149.400577479,4.83426,0.02
 01/01  10:00:00,109.313003514,9.43551104088,0.0,0.0,43.513341876,52.539744,87.5640393038,74.1083829383,4.83426,8.62139636553
 01/01  11:00:00,109.801157727,9.94091082308,0.0,0.0,43.513341876,52.539744,82.0903908805,77.2361308805,4.83426,0.02
 01/01  12:00:00,104.753717321,3.99864230535,0.0,0.0,43.513341876,52.539744,44.1251853793,39.2709253793,4.83426,0.02
 01/01  13:00:00,104.792308644,4.99830288169,0.0,0.0,43.513341876,52.539744,50.8908566914,37.4351230512,4.83426,8.62147364018
 01/01  14:00:00,103.875837362,3.99864230535,0.0,0.0,43.513341876,52.539744,26.7165069513,21.8622469513,4.83426,0.02
 01/01  15:00:00,104.895878221,4.99830288169,0.0,0.0,43.513341876,52.539744,28.9671804507,24.1129204507,4.83426,0.02
 01/01  16:00:00,103.849542703,3.99864230535,0.0,0.0,43.513341876,52.539744,23.4861982361,18.6319382361,4.83426,0.02
 01/01  17:00:00,110.63233662,4.99830288169,0.0,0.0,43.513341876,52.539744,39.711954473,26.2641696419,4.83426,8.61352483107
 01/01  18:00:00,121.560227559,3.99864230535,0.0,0.0,43.513341876,52.539744,29.289369935,24.435109935,4.83426,0.02
 01/01  19:00:00,122.55210323,4.99830288169,0.0,0.0,43.513341876,52.539744,42.0125279739,37.1582679739,4.83426,0.02
 01/01  20:00:00,121.96280427,3.99864230535,0.0,0.0,43.513341876,52.539744,37.8645464802,33.0102864802,4.83426,0.02
 01/01  21:00:00,122.95453535,4.99830288169,0.0,0.0,43.513341876,52.539744,53.5836329751,48.7293729751,4.83426,0.02
 01/01  22:00:00,121.740614341,3.99864230535,0.0,0.0,43.513341876,52.539744,65.29177397,51.8440956916,4.83426,8.6134182784
 01/01  23:00:00,124.419115416,6.95156629058,0.0,0.0,43.513341876,52.539744,80.6256196848,75.7713596848,4.83426,0.02
 01/01  24:00:00,124.611734597,6.17907902514,0.0,0.0,43.513341876,52.539744,62.1647422549,57.3104822549,4.83426,0.02
 01/02  01:00:00,132.112075401,14.6287430044,0.0,0.0,43.513341876,52.539744,86.2668458813,81.4125858813,4.83426,0.02
 01/02  02:00:00,123.018771569,5.56125303246,0.0,0.0,43.513341876,52.539744,76.9601351948,63.504134428,4.83426,8.62174076683
 01/02  03:00:00,133.033638773,15.537436248,0.0,0.0,43.513341876,52.539744,88.1088977314,83.2546377314,4.83426,0.02
 01/02  04:00:00,125.821033962,8.37395234127,0.0,0.0,43.513341876,52.539744,74.1286568046,69.2743968046,4.83426,0.02
 01/02  05:00:00,137.243612553,19.3267662261,0.0,0.0,43.513341876,52.539744,131.400280765,117.944469184,4.83426,8.62155158186
 01/02  06:00:00,145.173428516,27.318910684,0.0,0.0,43.513341876,52.539744,95.4178870321,90.5636270321,4.83426,0.02
 01/02  07:00:00,196.342782021,72.4837700617,0.0,0.0,43.513341876,53.238744,2707.10042376,2702.24616376,4.83426,0.02
 01/02  08:00:00,363.638082886,72.4837700617,0.0,0.0,220.879908,53.238744,1913.30793349,1882.03935387,4.83426,26.4343196163
 01/02  09:00:00,446.102815829,72.4837700617,0.00164494515302,0.0,220.879908,145.652643033,1582.80603117,1511.02543694,36.25695,35.5236442332
 01/02  10:00:00,444.875322744,72.4837700617,0.00215517458243,0.0,220.879908,145.652643033,1297.7217098,1207.51367253,36.25695,53.9510872751
 01/02  11:00:00,449.967463101,72.4837700617,0.00136174775375,0.0,220.879908,151.653867033,1010.41108997,917.03971933,48.3426,45.0287706423
 01/02  12:00:00,450.644509852,72.4837700617,0.0,0.0,220.879908,151.653867033,800.310590962,697.685969156,48.3426,54.2820218059
 01/02  13:00:00,449.615023918,72.4837700617,0.0,0.0,220.879908,151.653867033,713.458720159,601.580980143,48.3426,63.5351400162
 01/02  14:00:00,443.656275953,72.4837700617,0.0,0.0,220.879908,145.652643033,723.122655652,644.384396322,24.1713,54.5669593304
 01/02  15:00:00,443.679838928,72.4837700617,0.0,0.0,220.879908,145.652643033,782.155497605,704.009369114,24.1713,53.9748284907
 01/02  16:00:00,435.826974958,72.4837700617,0.0,0.0,220.879908,137.835547516,714.717472921,664.809666707,4.83426,45.0735462134
 01/02  17:00:00,436.899578877,72.4837700617,0.0,0.0,220.879908,133.019064,734.810168088,685.306998079,4.83426,44.6689100088
 01/02  18:00:00,369.288540863,72.4837700617,0.0,0.0,220.879908,53.238744,937.529728968,888.028902869,4.83426,44.6665660987
 01/02  19:00:00,369.219609656,72.4837700617,0.0,0.0,220.879908,53.238744,879.807857435,830.10981024,4.83426,44.8637871947
 01/02  20:00:00,369.597008028,72.4837700617,0.0,0.0,220.879908,53.238744,843.691277167,830.154022132,4.83426,8.70299503477
 01/02  21:00:00,369.744067709,72.4837700617,0.0,0.0,220.879908,53.238744,958.191401309,935.995822269,4.83426,17.3613190395
 01/02  22:00:00,117.694539215,0.0,0.0,0.0,43.513341876,52.539744,13.5257478506,0.0,4.83426,8.69148785064
 01/02  23:00:00,117.475832945,0.0,0.0,0.0,43.513341876,52.539744,13.4839335584,0.0,4.83426,8.64967355837
 01/02  24:00:00,118.528582216,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  01:00:00,117.495190922,0.0,0.0,0.0,43.513341876,52.539744,13.4557210502,0.0,4.83426,8.62146105024
 01/03  02:00:00,118.517074154,1.03471863331,0.0,0.0,43.513341876,52.539744,5.32821622046,0.473956220464,4.83426,0.02
 01/03  03:00:00,118.851363183,1.37962484441,0.0,0.0,43.513341876,52.539744,5.68965127993,0.835391279931,4.83426,0.02
 01/03  04:00:00,118.846594015,1.37962484441,0.0,0.0,43.513341876,52.539744,6.08203654799,1.22777654799,4.83426,0.02
 01/03  05:00:00,122.17141528,2.58127568239,0.0,0.0,43.513341876,52.539744,15.7063618434,2.2505340576,4.83426,8.62156778579
 01/03  06:00:00,123.59945617,4.34354851645,0.0,0.0,43.513341876,52.539744,9.21229835463,4.35803835463,4.83426,0.02
 01/03  07:00:00,195.579575034,72.4837700617,0.0,0.0,43.513341876,53.238744,2101.73872463,2096.88446463,4.83426,0.02
 01/03  08:00:00,362.681142964,72.4837700617,0.0,0.0,220.879908,53.238744,1737.34371594,1701.29886734,4.83426,31.2105886003
 01/03  09:00:00,445.922330862,72.4837700617,0.000661859141448,0.0,220.879908,145.652643033,1501.25226893,1429.26557521,36.25695,35.7297437164
 01/03  10:00:00,445.97502689,72.4837700617,0.00131097246341,0.0,220.879908,145.652643033,1474.01171433,1388.8841658,36.25695,48.870598533
 01/03  11:00:00,451.986173781,72.4837700617,0.000992694052302,0.0,220.879908,151.653867033,1454.20940489,1360.8422117,48.3426,45.0245931811
 01/03  12:00:00,452.994644399,72.4837700617,0.0,0.0,220.879908,151.653867033,1352.91079654,1250.27257247,48.3426,54.2956240636
 01/03  13:00:00,451.520182784,72.4837700617,0.0,0.0,220.879908,151.653867033,1274.53333205,1162.66027034,48.3426,63.5304617104
 01/03  14:00:00,445.333951921,72.4837700617,0.0,0.0,220.879908,145.652643033,1251.10863903,1172.35418648,24.1713,54.5831525493
 01/03  15:00:00,445.623921882,72.4837700617,0.0,0.0,220.879908,145.652643033,1286.16714109,1208.00841373,24.1713,53.9874273591
 01/03  16:00:00,438.006177539,72.4837700617,0.0,0.0,220.879908,137.835547516,1225.51475595,1166.60155304,4.83426,54.0789429046
 01/03  17:00:00,438.941224387,72.4837700617,0.0,0.0,220.879908,133.019064,1102.89294955,1062.31621126,4.83426,35.7424782909
 01/03  18:00:00,371.135848449,72.4837700617,0.0,0.0,220.879908,53.238744,1214.90914045,1165.40574788,4.83426,44.6691325649
 01/03  19:00:00,371.254759506,72.4837700617,0.0,0.0,220.879908,53.238744,1258.51917039,1208.82046778,4.83426,44.8644426108
 01/03  20:00:00,371.234011756,72.4837700617,0.0,0.0,220.879908,53.238744,1256.3299061,1234.10970799,4.83426,17.3859381092
 01/03  21:00:00,371.239005036,72.4837700617,0.0,0.0,220.879908,53.238744,1279.78472088,1266.25925232,4.83426,8.69120855569
 01/03  22:00:00,117.295941556,0.0,0.0,0.0,43.513341876,52.539744,13.5245774124,0.0,4.83426,8.6903174124
 01/03  23:00:00,118.449704617,1.03471863331,0.0,0.0,43.513341876,52.539744,13.696361842,0.211777886003,4.83426,8.65032395596
 01/03  24:00:00,119.914752781,1.37962484441,0.0,0.0,43.513341876,52.539744,5.23149402433,0.377234024329,4.83426,0.02
 01/04  01:00:00,118.870880171,1.37962484441,0.0,0.0,43.513341876,52.539744,13.9678129676,0.511743181175,4.83426,8.62180978644
 01/04  02:00:00,119.212328676,1.72453105551,0.0,0.0,43.513341876,52.539744,5.72206705032,0.867807050321,4.83426,0.02
 01/04  03:00:00,119.955907192,2.4734177899,0.0,0.0,43.513341876,52.539744,6.0773864791,1.2231264791,4.83426,0.02
 01/04  04:00:00,121.750769027,4.26783974964,0.0,0.0,43.513341876,52.539744,15.7954254498,2.3393616942,4.83426,8.62180375556
 01/04  05:00:00,122.344142793,4.43768088561,0.0,0.0,43.513341876,52.539744,7.69624649498,2.84198649498,4.83426,0.02
 01/04  06:00:00,122.435615733,4.55926430143,0.0,0.0,43.513341876,52.539744,8.93143194474,4.07717194474,4.83426,0.02
 01/04  07:00:00,195.067503332,72.4837700617,0.0,0.0,43.513341876,53.238744,2105.26676242,2091.81095811,4.83426,8.62154431768
 01/04  08:00:00,362.781489921,72.4837700617,0.0,0.0,220.879908,53.238744,1749.7970174,1718.52969729,4.83426,26.4330601092
 01/04  09:00:00,446.003101836,72.4837700617,0.00135834428776,0.0,220.879908,145.652643033,1509.34029136,1437.55593884,36.25695,35.5274025124
 01/04  10:00:00,446.045057273,72.4837700617,0.00173623087679,0.0,220.879908,145.652643033,1489.33145973,1408.10548488,36.25695,44.9690248488
 01/04  11:00:00,452.027118886,72.4837700617,0.00129054904717,0.0,220.879908,151.653867033,1440.5246624,1338.14589543,48.3426,54.0361669693
 01/04  12:00:00,453.050933663,72.4837700617,0.0,0.0,220.879908,151.653867033,1381.33860248,1278.72729588,48.3426,54.2687066003
 01/04  13:00:00,452.014810382,72.4837700617,0.0,0.0,220.879908,151.653867033,1416.19673599,1313.38659002,48.3426,54.4675459673
 01/04  14:00:00,446.026272081,72.4837700617,0.0,0.0,220.879908,145.652643033,1434.33586421,1346.48702547,24.1713,63.6775387378
 01/04  15:00:00,446.005769735,72.4837700617,0.0,0.0,220.879908,145.652643033,1427.29290434,1358.13336367,24.1713,44.9882406689
 01/04  16:00:00,438.136002434,72.4837700617,0.0,0.0,220.879908,137.835547516,1379.47192012,1320.54287301,4.83426,54.0947871072
 01/04  17:00:00,439.084166785,72.4837700617,0.0,0.0,220.879908,133.019064,1261.53358445,1212.02199406,4.83426,44.6773303813
 01/04  18:00:00,371.292245967,72.4837700617,0.0,0.0,220.879908,53.238744,1354.77719229,1314.20192406,4.83426,35.74100823
 01/04  19:00:00,371.300904456,72.4837700617,0.0,0.0,220.879908,53.238744,1381.92245477,1332.21966517,4.83426,44.8685295982
 01/04  20:00:00,371.69743764,72.4837700617,0.0,0.0,220.879908,53.238744,1381.43282704,1359.21018034,4.83426,17.3883867044
 01/04  21:00:00,371.671806184,72.4837700617,0.0,0.0,220.879908,53.238744,1400.75766242,1387.23227085,4.83426,8.69113156624
 01/04  22:00:00,118.398207754,0.804781159237,0.0,0.0,43.513341876,52.539744,22.4482542861,0.251398940589,4.83426,17.3625953455
 01/04  23:00:00,119.14670214,1.72453105551,0.0,0.0,43.513341876,52.539744,5.76401613175,0.909756131754,4.83426,0.02
 01/04  24:00:00,119.912014333,1.37962484441,0.0,0.0,43.513341876,52.539744,14.3952193007,0.922753049944,4.83426,8.63820625075
 01/05  01:00:00,119.21557865,1.72453105551,0.0,0.0,43.513341876,52.539744,6.41065497207,1.55639497207,4.83426,0.02
 01/05  02:00:00,120.759300321,3.27198267846,0.0,0.0,43.513341876,52.539744,7.03642314042,2.18216314042,4.83426,0.02
 01/05  03:00:00,122.416186557,4.92639762003,0.0,0.0,43.513341876,52.539744,17.5611274946,4.1050740212,4.83426,8.62179347342
 01/05  04:00:00,121.478952603,3.99864230535,0.0,0.0,43.513341876,52.539744,9.15425026472,4.29999026472,4.83426,0.02
 01/05  05:00:00,124.489024021,6.5609136088,0.0,0.0,43.513341876,52.539744,15.2658251683,10.4115651683,4.83426,0.02
 01/05  06:00:00,127.20417296,9.31151877754,0.0,0.0,43.513341876,52.539744,28.2054129662,14.7492610317,4.83426,8.6218919345
 01/05  07:00:00,195.577195253,72.4837700617,0.0,0.0,43.513341876,53.238744,2423.31376064,2418.45950064,4.83426,0.02
 01/05  08:00:00,362.874000127,72.4837700617,0.0,0.0,220.879908,53.238744,1913.68847506,1882.42023276,4.83426,26.4339822978
 01/05  09:00:00,445.970394729,72.4837700617,0.0,0.0,220.879908,145.652643033,1595.56049293,1523.7768274,36.25695,35.5267155266
 01/05  10:00:00,445.99099594,72.4837700617,0.00140647246311,0.0,220.879908,145.652643033,1492.58887379,1402.3738661,36.25695,53.9580576852
 01/05  11:00:00,451.979904884,72.4837700617,0.000981638950964,0.0,220.879908,151.653867033,1432.97778631,1339.58639106,48.3426,45.0487952557
 01/05  12:00:00,452.996138987,72.4837700617,0.0,0.0,220.879908,151.653867033,1391.94321792,1289.30709176,48.3426,54.2935261567
 01/05  13:00:00,451.953979841,72.4837700617,0.0,0.0,220.879908,151.653867033,1417.29844941,1305.39261483,48.3426,63.5632345764
 01/05  14:00:00,446.022798547,72.5327640305,0.0,0.0,220.879908,145.652643033,1416.20677734,1337.45248985,24.1713,54.5829874911
 01/05  15:00:00,446.073539831,72.6048711464,0.0,0.0,220.879908,145.652643033,1432.05456379,1353.89405672,24.1713,53.9892070663
 01/05  16:00:00,438.138996986,72.5358064253,0.0,0.0,220.879908,137.835547516,1366.74808448,1316.83134529,4.83426,45.0824791917
 01/05  17:00:00,439.037090288,72.4837700617,0.0,0.0,220.879908,133.019064,1313.53085569,1264.01679564,4.83426,44.6798000532
 01/05  18:00:00,371.267034801,72.4837700617,0.0,0.0,220.879908,53.238744,1554.48166592,1504.96809977,4.83426,44.679306144
 01/05  19:00:00,371.309426848,72.4837700617,0.0,0.0,220.879908,53.238744,1680.87739316,1631.16964059,4.83426,44.8734925643
 01/05  20:00:00,371.749464075,72.4837700617,0.0,0.0,220.879908,53.238744,1778.11920343,1764.58052771,4.83426,8.70441571823
 01/05  21:00:00,371.734227899,72.4837700617,0.0,0.0,220.879908,53.238744,1818.29507789,1796.09819592,4.83426,17.3626219742
 01/05  22:00:00,119.027817091,1.44860608663,0.0,0.0,43.513341876,52.539744,15.0219411238,1.49565863556,4.83426,8.69202248825
 01/05  23:00:00,118.788577193,1.37962484441,0.0,0.0,43.513341876,52.539744,16.0831178873,2.59875141472,4.83426,8.65010647255
 01/05  24:00:00,123.336536114,4.78068534414,0.0,0.0,43.513341876,52.539744,11.0388941137,6.18463411375,4.83426,0.02
 01/06  01:00:00,121.498026929,3.99864230535,0.0,0.0,43.513341876,52.539744,19.2714570747,5.8153262581,4.83426,8.62187081664
 01/06  02:00:00,125.640212179,8.12352433592,0.0,0.0,43.513341876,52.539744,18.6511974836,13.7969374836,4.83426,0.02
 01/06  03:00:00,126.186438208,8.68647448669,0.0,0.0,43.513341876,52.539744,17.3203232169,12.4660632169,4.83426,0.02
 01/06  04:00:00,128.775991611,11.2487457901,0.0,0.0,43.513341876,52.539744,37.5882926913,24.1328952631,4.83426,8.62113742822
 01/06  05:00:00,136.046499133,16.4129085442,0.0,0.0,43.513341876,52.539744,31.1979319658,26.3436719658,4.83426,0.02
 01/06  06:00:00,134.307310983,14.9701383425,0.0,0.0,43.513341876,52.539744,49.4796656624,44.6254056624,4.83426,0.02
