Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,134.745647297,17.2509074375,0.0,0.0,43.513341876,52.539744,109.56132689,104.70706689,4.83426,0.02
 01/01  02:00:00,126.043048965,8.54854669358,0.0,0.0,43.513341876,52.539744,70.1022268604,65.2479668604,4.83426,0.02
 01/01  03:00:00,134.901385343,17.3964992629,0.0,0.0,43.513341876,52.539744,104.614313107,99.760053107,4.83426,0.02
 01/01  04:00:00,125.786555777,8.30748520232,0.0,0.0,43.513341876,52.539744,78.4094397191,73.5551797191,4.83426,0.02
 01/01  05:00:00,135.342808075,17.3964992629,0.0,0.0,43.513341876,52.539744,102.038224392,88.5906074061,4.83426,8.6133569858
 01/01  06:00:00,126.504648641,8.628900524,0.0,0.0,43.513341876,52.539744,70.32038801,65.46612801,4.83426,0.02
 01/01  07:00:00,135.324979892,17.3964992629,0.0,0.0,43.513341876,52.539744,95.9602612464,91.1060012464,4.83426,0.02
 01/01  08:00:00,113.538411906,7.74500838937,0.0,0.0,43.513341876,52.539744,64.4014087552,59.5471487552,4.83426,0.02
 01/01  09:00:00,104.992904221,5.16135752556,0.0,0.0,43.513341876,52.539744,72.9755477083,68.1212877083,4.83426,0.02
 01/01  10:00:00,103.958257165,4.12908602045,0.0,0.0,43.513341876,52.539744,53.7679081266,40.3124731453,4.83426,8.62117498128
 01/01  11:00:00,104.977401766,5.16135752556,0.0,0.0,43.513341876,52.539744,56.7907702986,51.9365102986,4.83426,0.02
 01/01  12:00:00,104.865004525,4.12908602045,0.0,0.0,43.513341876,52.539744,45.4025692706,40.5483092706,4.83426,0.02
