Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,153.089601562,35.4791758133,0.0,0.0,43.513341876,52.539744,176.086970619,171.232710619,4.83426,0.02
 01/01  02:00:00,145.444225098,27.8894358239,0.0,0.0,43.513341876,52.539744,138.750418395,133.896158395,4.83426,0.02
 01/01  03:00:00,149.438955533,31.7570396787,0.0,0.0,43.513341876,52.539744,199.438958028,194.584698028,4.83426,0.02
 01/01  04:00:00,152.721783676,35.1632189977,0.0,0.0,43.513341876,52.539744,136.244235871,131.389975871,4.83426,0.02
 01/01  05:00:00,154.405901831,36.2811382091,0.0,0.0,43.513341876,52.539744,214.396881806,200.948244333,4.83426,8.61437747343
 01/01  06:00:00,149.614512245,31.6498926093,0.0,0.0,43.513341876,52.539744,136.26923,131.41497,4.83426,0.02
 01/01  07:00:00,156.0124347,37.8841730821,0.0,0.0,43.513341876,52.539744,203.634041863,198.779781863,4.83426,0.02
 01/01  08:00:00,135.382181499,20.5471800062,0.0,0.0,43.513341876,52.539744,113.891783044,109.037523044,4.83426,0.02
 01/01  09:00:00,119.581984524,19.5744289664,0.0,0.0,43.513341876,52.539744,178.099362476,164.642264205,4.83426,8.62283827062
 01/01  10:00:00,114.594974482,14.6877065708,0.0,0.0,43.513341876,52.539744,105.148407584,100.294147584,4.83426,0.02
 01/01  11:00:00,116.301613713,16.3349736255,0.0,0.0,43.513341876,52.539744,146.738680328,141.884420328,4.83426,0.02
 01/01  12:00:00,117.336846084,16.5278044594,0.0,0.0,43.513341876,52.539744,102.589471685,89.1322198572,4.83426,8.622991828
 01/01  13:00:00,114.621331985,14.7569584201,0.0,0.0,43.513341876,52.539744,122.457610933,117.603350933,4.83426,0.02
 01/01  14:00:00,112.71125824,12.8476086823,0.0,0.0,43.513341876,52.539744,87.9360077617,83.0817477617,4.83426,0.02
 01/01  15:00:00,118.434080491,18.4906745551,0.0,0.0,43.513341876,52.539744,120.191773373,115.337513373,4.83426,0.02
 01/01  16:00:00,110.72323312,10.8705655057,0.0,0.0,43.513341876,52.539744,93.5126564013,80.0639875299,4.83426,8.61440887134
 01/01  17:00:00,120.437248703,14.7569584201,0.0,0.0,43.513341876,52.539744,115.572620643,110.718360643,4.83426,0.02
 01/01  18:00:00,133.268944661,15.6762281591,0.0,0.0,43.513341876,52.539744,98.4725944885,93.6183344885,4.83426,0.02
 01/01  19:00:00,137.430249474,19.7530867194,0.0,0.0,43.513341876,52.539744,147.4564397,142.6021797,4.83426,0.02
 01/01  20:00:00,129.94252383,11.900799559,0.0,0.0,43.513341876,52.539744,120.826930466,107.378360555,4.83426,8.61430991164
 01/01  21:00:00,135.708862873,17.5973857898,0.0,0.0,43.513341876,52.539744,164.679652128,159.825392128,4.83426,0.02
 01/01  22:00:00,154.136365227,36.2719930765,0.0,0.0,43.513341876,52.539744,154.026165106,149.171905106,4.83426,0.02
 01/01  23:00:00,158.913468078,41.2104953186,0.0,0.0,43.513341876,52.539744,226.767458515,221.913198515,4.83426,0.02
 01/01  24:00:00,158.236062054,39.6650669743,0.0,0.0,43.513341876,52.539744,156.695810221,151.841550221,4.83426,0.02
 01/02  01:00:00,151.050036355,33.3199903882,0.0,0.0,43.513341876,52.539744,233.819762588,220.362522326,4.83426,8.62298026111
 01/02  02:00:00,149.798108077,32.2042796488,0.0,0.0,43.513341876,52.539744,157.086005273,152.231745273,4.83426,0.02
 01/02  03:00:00,158.296230526,40.5358557886,0.0,0.0,43.513341876,52.539744,234.13019229,229.27593229,4.83426,0.02
