Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,169.484564974,51.122217029,0.0,0.0,43.513341876,52.539744,419.820103916,414.965843916,4.83426,0.02
 01/01  02:00:00,166.869404885,48.737535716,0.0,0.0,43.513341876,52.539744,352.923721409,348.069461409,4.83426,0.02
 01/01  03:00:00,175.881329168,57.2374215812,0.0,0.0,43.513341876,52.539744,474.287215218,469.432955218,4.83426,0.02
 01/01  04:00:00,167.012256034,48.7572077619,0.0,0.0,43.513341876,52.539744,367.884433291,363.030173291,4.83426,0.02
 01/01  05:00:00,176.614408275,57.4341420397,0.0,0.0,43.513341876,52.539744,506.504837638,493.056351389,4.83426,8.61422624918
 01/01  06:00:00,167.631435449,48.9736002662,0.0,0.0,43.513341876,52.539744,375.25601119,370.40175119,4.83426,0.02
 01/01  07:00:00,176.761855274,57.5325022689,0.0,0.0,43.513341876,52.539744,508.223463844,503.369203844,4.83426,0.02
 01/01  08:00:00,163.514456533,48.1996602764,0.0,0.0,43.513341876,52.539744,317.286601948,312.432341948,4.83426,0.02
 01/01  09:00:00,154.110255807,53.4197711116,0.0,0.0,43.513341876,52.539744,377.552674982,364.095777879,4.83426,8.62263710272
 01/01  10:00:00,141.571669299,41.3124792421,0.0,0.0,43.513341876,52.539744,195.053278253,190.199018253,4.83426,0.02
 01/01  11:00:00,145.06344749,44.6496308894,0.0,0.0,43.513341876,52.539744,231.970070635,227.115810635,4.83426,0.02
 01/01  12:00:00,137.301746017,36.2618657169,0.0,0.0,43.513341876,52.539744,138.627742585,125.170741709,4.83426,8.62274087602
 01/01  13:00:00,123.237939815,23.1571199517,0.0,0.0,43.513341876,52.539744,146.776031488,141.921771488,4.83426,0.02
 01/01  14:00:00,134.793220993,34.8443291081,0.0,0.0,43.513341876,52.539744,89.3738092883,84.5195492883,4.83426,0.02
 01/01  15:00:00,118.791665944,18.7698030719,0.0,0.0,43.513341876,52.539744,109.012885151,104.158625151,4.83426,0.02
 01/01  16:00:00,115.468730105,15.6201575389,0.0,0.0,43.513341876,52.539744,71.6703520444,58.221880922,4.83426,8.6142111224
 01/01  17:00:00,142.671257685,36.9402072792,0.0,0.0,43.513341876,52.539744,109.582101832,104.727841832,4.83426,0.02
 01/01  18:00:00,144.98131684,27.3284351626,0.0,0.0,43.513341876,52.539744,109.468184737,104.613924737,4.83426,0.02
 01/01  19:00:00,147.755340439,29.9135545025,0.0,0.0,43.513341876,52.539744,189.889207436,185.034947436,4.83426,0.02
 01/01  20:00:00,153.811843984,35.644240754,0.0,0.0,43.513341876,52.539744,151.369669132,146.515409132,4.83426,0.02
 01/01  21:00:00,157.59645025,39.2202264848,0.0,0.0,43.513341876,52.539744,278.08374639,264.635277764,4.83426,8.61420862619
 01/01  22:00:00,173.176381109,55.0631809924,0.0,0.0,43.513341876,52.539744,254.27809587,249.42383587,4.83426,0.02
 01/01  23:00:00,165.597036751,47.4729114453,0.0,0.0,43.513341876,52.539744,351.698393107,346.844133107,4.83426,0.02
 01/01  24:00:00,175.775090548,56.8878847955,0.0,0.0,43.513341876,52.539744,285.386368912,280.532108912,4.83426,0.02
 01/02  01:00:00,167.087856018,48.8063488398,0.0,0.0,43.513341876,52.539744,398.014404603,384.557342753,4.83426,8.62280185048
 01/02  02:00:00,172.967509662,55.0631809924,0.0,0.0,43.513341876,52.539744,255.402261027,250.548001027,4.83426,0.02
 01/02  03:00:00,165.895725238,47.6834541918,0.0,0.0,43.513341876,52.539744,344.545278575,339.691018575,4.83426,0.02
 01/02  04:00:00,173.236959296,55.3439046544,0.0,0.0,43.513341876,52.539744,257.836868654,244.380787307,4.83426,8.62182134656
 01/02  05:00:00,165.678550514,46.9816450368,0.0,0.0,43.513341876,52.539744,358.841888876,353.987628876,4.83426,0.02
 01/02  06:00:00,173.712221064,55.3439046544,0.0,0.0,43.513341876,52.539744,278.117865811,273.263605811,4.83426,0.02
 01/02  07:00:00,197.447331394,72.6437512169,0.0,0.0,43.513341876,53.238744,2982.02189977,2968.56496732,4.83426,8.6226724536
 01/02  08:00:00,371.897758292,72.6437512169,0.0,0.0,220.879908,53.238744,2578.24571328,2546.94128326,4.83426,26.4701700243
 01/02  09:00:00,448.271844161,72.6437512169,0.0,0.0,220.879908,145.652643033,2235.55438294,2163.70768956,36.25695,35.5897433811
 01/02  10:00:00,447.061269034,72.6437512169,0.0,0.0,220.879908,145.652643033,1988.35430891,1898.01538228,36.25695,54.0819766343
 01/02  11:00:00,452.596325709,72.6437512169,0.0,0.0,220.879908,151.653867033,1895.57587253,1793.07410949,48.3426,54.1591630374
 01/02  12:00:00,453.483452822,72.6437512169,0.0,0.0,220.879908,151.653867033,1815.84688378,1713.09378901,48.3426,54.4104947664
 01/02  13:00:00,452.350349569,72.6437512169,0.0,0.0,220.879908,151.653867033,1769.18625032,1657.108525,48.3426,63.7351253158
 01/02  14:00:00,446.318505296,72.6437512169,0.0,0.0,220.879908,145.652643033,1729.12253076,1642.59461531,24.1713,62.3566154487
 01/02  15:00:00,446.24927296,72.6437512169,0.0,0.0,220.879908,145.652643033,1712.82882292,1642.05572588,24.1713,46.6017970484
 01/02  16:00:00,438.3821018,72.6437512169,0.0,0.0,220.879908,137.835547516,1699.99549769,1640.9275984,4.83426,54.2336392847
 01/02  17:00:00,439.500317391,72.6437512169,0.0,0.0,220.879908,133.019064,1725.55404515,1675.94631567,4.83426,44.7734694797
 01/02  18:00:00,371.898990633,72.6437512169,0.0,0.0,220.879908,53.238744,1990.71560041,1941.11698894,4.83426,44.7643514698
 01/02  19:00:00,372.002862721,72.6437512169,0.0,0.0,220.879908,53.238744,2132.48552703,2082.68494825,4.83426,44.9663187852
 01/02  20:00:00,372.543108715,72.6437512169,0.0,0.0,220.879908,53.238744,2269.56153028,2247.32957353,4.83426,17.3976967527
 01/02  21:00:00,372.594580695,72.6437512169,0.0,0.0,220.879908,53.238744,2342.79051672,2329.26058625,4.83426,8.69567047367
 01/02  22:00:00,121.229532882,3.62839358271,0.0,0.0,43.513341876,52.539744,37.834171949,15.6294354775,4.83426,17.3704764715
 01/02  23:00:00,124.136754637,6.66745260234,0.0,0.0,43.513341876,52.539744,34.1654249858,29.3111649858,4.83426,0.02
 01/02  24:00:00,135.582714948,16.8487705374,0.0,0.0,43.513341876,52.539744,86.9454107929,73.4711467374,4.83426,8.64000405551
 01/03  01:00:00,146.37331221,28.6777142226,0.0,0.0,43.513341876,52.539744,109.443944661,104.589684661,4.83426,0.02
 01/03  02:00:00,157.727835483,39.905772044,0.0,0.0,43.513341876,52.539744,168.359587455,154.902508514,4.83426,8.62281894102
 01/03  03:00:00,160.414095862,42.5740787469,0.0,0.0,43.513341876,52.539744,182.061531604,177.207271604,4.83426,0.02
 01/03  04:00:00,156.941244901,39.0140652396,0.0,0.0,43.513341876,52.539744,207.024873209,202.170613209,4.83426,0.02
 01/03  05:00:00,168.458583319,48.3951426608,0.0,0.0,43.513341876,52.539744,233.96374616,220.507411984,4.83426,8.62207417601
 01/03  06:00:00,164.648812773,44.8351291536,0.0,0.0,43.513341876,52.539744,248.558037137,243.703777137,4.83426,0.02
 01/03  07:00:00,198.120539984,72.6437512169,0.0,0.0,43.513341876,53.238744,3232.40095777,3227.54669777,4.83426,0.02
 01/03  08:00:00,371.975391367,72.6437512169,0.0,0.0,220.879908,53.238744,2925.37021894,2885.24973968,4.83426,35.2862192651
 01/03  09:00:00,448.030810248,72.6437512169,0.0,0.0,220.879908,145.652643033,2681.020767,2609.17504578,36.25695,35.5887712106
 01/03  10:00:00,447.148895644,72.6437512169,0.0,0.0,220.879908,145.652643033,2490.34181584,2407.98776314,36.25695,46.0971026966
 01/03  11:00:00,452.705014333,72.6437512169,0.0,0.0,220.879908,151.653867033,2314.31484285,2212.81459874,48.3426,53.1576441104
 01/03  12:00:00,453.517585505,72.6437512169,0.0,0.0,220.879908,151.653867033,2107.60764278,1995.75776651,48.3426,63.5072762744
 01/03  13:00:00,452.335457103,72.6437512169,0.0,0.0,220.879908,151.653867033,1933.05830362,1830.08993512,48.3426,54.6257684977
 01/03  14:00:00,446.243384798,72.6437512169,0.0,0.0,220.879908,145.652643033,1788.13906959,1700.099809,24.1713,63.8679605893
 01/03  15:00:00,446.181575143,72.6437512169,0.0,0.0,220.879908,145.652643033,1679.01285769,1600.71861167,24.1713,54.1229460124
 01/03  16:00:00,438.290835275,72.6437512169,0.0,0.0,220.879908,137.835547516,1598.15339649,1539.08849691,4.83426,54.230639581
 01/03  17:00:00,439.419061997,72.6437512169,0.0,0.0,220.879908,133.019064,1788.59721026,1738.98734818,4.83426,44.7756020794
 01/03  18:00:00,371.881228692,72.6437512169,0.0,0.0,220.879908,53.238744,2183.04046647,2133.43632493,4.83426,44.7698815455
 01/03  19:00:00,371.970538651,72.6437512169,0.0,0.0,220.879908,53.238744,2248.08679272,2198.27344274,4.83426,44.9790899806
 01/03  20:00:00,371.917247592,72.6437512169,0.0,0.0,220.879908,53.238744,2126.31477809,2104.08176161,4.83426,17.3987564884
 01/03  21:00:00,371.944884744,72.6437512169,0.0,0.0,220.879908,53.238744,2124.3851408,2110.85494671,4.83426,8.6959340866
 01/03  22:00:00,120.483041279,3.18170429179,0.0,0.0,43.513341876,52.539744,27.4834382234,13.9528308723,4.83426,8.69634735108
 01/03  23:00:00,123.517388304,6.05193539255,0.0,0.0,43.513341876,52.539744,36.3263757862,22.840295567,4.83426,8.65182021914
 01/03  24:00:00,136.573074959,17.8372921257,0.0,0.0,43.513341876,52.539744,78.3444750473,64.8719110478,4.83426,8.63830399954
 01/04  01:00:00,136.487021041,18.8190000035,0.0,0.0,43.513341876,52.539744,89.5362784048,84.6820184048,4.83426,0.02
 01/04  02:00:00,152.383766074,34.6024066309,0.0,0.0,43.513341876,52.539744,134.491452019,129.637192019,4.83426,0.02
 01/04  03:00:00,155.663741171,37.921915157,0.0,0.0,43.513341876,52.539744,148.545369668,135.088276767,4.83426,8.62283290086
 01/04  04:00:00,161.085525765,43.2320942806,0.0,0.0,43.513341876,52.539744,177.771358041,172.917098041,4.83426,0.02
 01/04  05:00:00,162.18423115,43.9600463454,0.0,0.0,43.513341876,52.539744,169.487029337,164.632769337,4.83426,0.02
 01/04  06:00:00,157.34964189,39.0140652396,0.0,0.0,43.513341876,52.539744,222.603850289,209.146702672,4.83426,8.62288761719
 01/04  07:00:00,197.374372628,72.6437512169,0.0,0.0,43.513341876,53.238744,3169.18640368,3164.33214368,4.83426,0.02
 01/04  08:00:00,371.857534458,72.6437512169,0.0,0.0,220.879908,53.238744,2746.27008206,2714.9627811,4.83426,26.4730409597
 01/04  09:00:00,447.141623031,72.6437512169,0.0,0.0,220.879908,145.652643033,2239.73478955,2158.99371228,36.25695,44.4841272688
