Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,174.09986541,55.5372523814,0.0,0.0,43.513341876,52.539744,546.774293136,541.920033136,4.83426,0.02
 01/01  02:00:00,167.096930008,48.7314919458,0.0,0.0,43.513341876,52.539744,481.363433173,476.509173173,4.83426,0.02
 01/01  03:00:00,179.809576279,60.6632676869,0.0,0.0,43.513341876,52.539744,687.129473368,682.275213368,4.83426,0.02
 01/01  04:00:00,167.346777495,48.7793199925,0.0,0.0,43.513341876,52.539744,510.438299823,505.584039823,4.83426,0.02
 01/01  05:00:00,180.484839085,60.7589237803,0.0,0.0,43.513341876,52.539744,716.2997097,702.850378324,4.83426,8.61507137654
 01/01  06:00:00,167.842560276,48.7793199925,0.0,0.0,43.513341876,52.539744,528.912093718,524.057833718,4.83426,0.02
 01/01  07:00:00,180.638685514,60.7589237803,0.0,0.0,43.513341876,52.539744,734.149814591,729.295554591,4.83426,0.02
 01/01  08:00:00,155.179136167,48.4507682838,0.0,0.0,43.513341876,52.539744,444.993669936,440.139409936,4.83426,0.02
 01/01  09:00:00,160.761338418,59.4925449921,0.0,0.0,43.513341876,52.539744,594.865650174,581.407604978,4.83426,8.62378519553
 01/01  10:00:00,147.976541891,47.4651131576,0.0,0.0,43.513341876,52.539744,365.013332558,360.159072558,4.83426,0.02
 01/01  11:00:00,158.395703716,57.5690627864,0.0,0.0,43.513341876,52.539744,441.027168503,436.172908503,4.83426,0.02
 01/01  12:00:00,146.038080442,44.6657524883,0.0,0.0,43.513341876,52.539744,292.324101372,278.867054951,4.83426,8.622786421
 01/01  13:00:00,152.844095856,52.291795485,0.0,0.0,43.513341876,52.539744,347.356175374,342.501915374,4.83426,0.02
 01/01  14:00:00,138.803442336,38.5321936317,0.0,0.0,43.513341876,52.539744,212.981451835,208.127191835,4.83426,0.02
 01/01  15:00:00,150.089471342,49.5128000033,0.0,0.0,43.513341876,52.539744,351.248121476,337.798719253,4.83426,8.61514222306
 01/01  16:00:00,149.781366632,43.5710989786,0.0,0.0,43.513341876,52.539744,253.723375793,248.869115793,4.83426,0.02
 01/01  17:00:00,169.179686181,50.9164183133,0.0,0.0,43.513341876,52.539744,368.576986066,363.722726066,4.83426,0.02
 01/01  18:00:00,160.162396499,42.1674806685,0.0,0.0,43.513341876,52.539744,261.858863656,257.004603656,4.83426,0.02
 01/01  19:00:00,171.727129527,53.3635410953,0.0,0.0,43.513341876,52.539744,431.913743102,418.464313113,4.83426,8.61516998932
 01/01  20:00:00,164.402691972,45.9799593232,0.0,0.0,43.513341876,52.539744,317.965891774,313.111631774,4.83426,0.02
 01/01  21:00:00,176.718685145,57.9275452921,0.0,0.0,43.513341876,52.539744,495.683746975,490.829486975,4.83426,0.02
 01/01  22:00:00,166.23642819,47.7458368196,0.0,0.0,43.513341876,52.539744,457.265930806,452.411670806,4.83426,0.02
 01/01  23:00:00,179.28402462,60.5164625557,0.0,0.0,43.513341876,52.539744,636.919493038,632.065233038,4.83426,0.02
 01/01  24:00:00,167.272568156,48.0074292629,0.0,0.0,43.513341876,52.539744,455.720136439,442.272264343,4.83426,8.61361209592
 01/02  01:00:00,179.735127374,60.778054999,0.0,0.0,43.513341876,52.539744,660.789270149,655.935010149,4.83426,0.02
 01/02  02:00:00,167.041312068,48.5880078056,0.0,0.0,43.513341876,52.539744,484.736894875,479.882634875,4.83426,0.02
 01/02  03:00:00,180.065239943,60.8163174364,0.0,0.0,43.513341876,52.539744,712.584581944,699.12595343,4.83426,8.62436851369
 01/02  04:00:00,167.282006141,48.6454014617,0.0,0.0,43.513341876,52.539744,518.184894255,513.330634255,4.83426,0.02
 01/02  05:00:00,180.690135755,60.8354486551,0.0,0.0,43.513341876,52.539744,740.939287431,727.480771604,4.83426,8.6242558261
 01/02  06:00:00,167.904050504,48.683663899,0.0,0.0,43.513341876,52.539744,555.279685572,550.425425572,4.83426,0.02
 01/02  07:00:00,199.537062123,73.0254958486,0.0,0.0,43.513341876,53.238744,4663.1455566,4658.2912966,4.83426,0.02
 01/02  08:00:00,364.898622178,73.0254958486,0.0,0.0,220.879908,53.238744,4339.19657058,4299.00081704,4.83426,35.3614935396
 01/02  09:00:00,450.778907426,73.0254958486,0.0,0.0,220.879908,145.652643033,4057.58160776,3985.63402174,36.25695,35.6906360226
 01/02  10:00:00,450.298441146,73.0254958486,0.0,0.0,220.879908,145.652643033,3753.1747804,3662.61051189,36.25695,54.3073185104
