Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,134.3446369,16.8906250865,0.0,0.0,43.513341876,52.539744,73.3517588032,68.4974988032,4.83426,0.02
 01/01  02:00:00,127.910866765,10.4948735891,0.0,0.0,43.513341876,52.539744,52.2268796114,47.3726196114,4.83426,0.02
 01/01  03:00:00,132.054546439,14.5858515039,0.0,0.0,43.513341876,52.539744,77.5919433199,72.7376833199,4.83426,0.02
 01/01  04:00:00,132.557152064,15.1285067621,0.0,0.0,43.513341876,52.539744,58.4721018226,53.6178418226,4.83426,0.02
 01/01  05:00:00,136.207720619,18.2930545484,0.0,0.0,43.513341876,52.539744,95.3284196363,81.8779017966,4.83426,8.61625783969
 01/01  06:00:00,145.183965928,27.3440044879,0.0,0.0,43.513341876,52.539744,63.7091413969,58.8548813969,4.83426,0.02
 01/01  07:00:00,131.997660929,14.0708935564,0.0,0.0,43.513341876,52.539744,90.8377685005,85.9835085005,4.83426,0.02
 01/01  08:00:00,120.779862292,12.0392532544,0.0,0.0,43.513341876,52.539744,45.7835081764,40.9292481764,4.83426,0.02
 01/01  09:00:00,104.81713971,5.00862203536,0.0,0.0,43.513341876,52.539744,56.1448863994,42.6844727571,4.83426,8.62615364233
 01/01  10:00:00,111.238422218,11.4208095404,0.0,0.0,43.513341876,52.539744,31.7471993904,26.8929393904,4.83426,0.02
 01/01  11:00:00,104.807540715,5.00862203536,0.0,0.0,43.513341876,52.539744,45.5147924222,32.0554304424,4.83426,8.62510197977
 01/01  12:00:00,104.733700432,4.00689762829,0.0,0.0,43.513341876,52.539744,25.7308874313,20.8766274313,4.83426,0.02
 01/01  13:00:00,104.746789002,5.00862203536,0.0,0.0,43.513341876,52.539744,29.1559876255,24.3017276255,4.83426,0.02
 01/01  14:00:00,103.812388453,4.00689762829,0.0,0.0,43.513341876,52.539744,32.3008186386,18.8404494257,4.83426,8.62610921288
 01/01  15:00:00,104.513898684,4.70180256795,0.0,0.0,43.513341876,52.539744,19.4957086215,14.6414486215,4.83426,0.02
 01/01  16:00:00,103.027310535,3.26171671694,0.0,0.0,43.513341876,52.539744,13.263906005,8.40964600503,4.83426,0.02
 01/01  17:00:00,109.94520943,4.39498310054,0.0,0.0,43.513341876,52.539744,19.8850419897,15.0307819897,4.83426,0.02
 01/01  18:00:00,122.12786625,4.62053656311,0.0,0.0,43.513341876,52.539744,35.8929665909,22.4424890576,4.83426,8.61621753334
 01/01  19:00:00,121.893557332,4.39498310054,0.0,0.0,43.513341876,52.539744,23.1397354263,18.2854754263,4.83426,0.02
 01/01  20:00:00,122.554010671,4.62053656311,0.0,0.0,43.513341876,52.539744,28.0939318074,23.2396718074,4.83426,0.02
 01/01  21:00:00,122.30364841,4.39498310054,0.0,0.0,43.513341876,52.539744,31.6527120635,26.7984520635,4.83426,0.02
 01/01  22:00:00,132.647637531,14.8925886279,0.0,0.0,43.513341876,52.539744,82.6127980304,69.1622701934,4.83426,8.616267837
 01/01  23:00:00,134.813522048,17.3705643894,0.0,0.0,43.513341876,52.539744,73.2264560373,68.3721960373,4.83426,0.02
 01/01  24:00:00,150.944765721,32.4710658406,0.0,0.0,43.513341876,52.539744,91.3207497793,86.4664897793,4.83426,0.02
 01/02  01:00:00,132.965534922,15.5168393229,0.0,0.0,43.513341876,52.539744,78.6742001547,65.2148732673,4.83426,8.62506688739
 01/02  02:00:00,148.522019347,31.0249719968,0.0,0.0,43.513341876,52.539744,95.1181271264,90.2638671264,4.83426,0.02
 01/02  03:00:00,137.249221826,19.7733985728,0.0,0.0,43.513341876,52.539744,82.0377718143,77.1835118143,4.83426,0.02
