Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,78.2158798489,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,77.5982724768,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,77.0294101474,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,76.3657431577,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553818421,0.0,1.75125,1.16428818421
 01/01  05:00:00,82.5125474039,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,87.8621408117,5.84050819713,0.0,0.0,3.49369000822,6.81298672936,16.9585298868,15.1872798868,1.75125,0.02
 01/01  07:00:00,115.610147792,20.377571186,0.0,0.0,6.98738001645,14.1499734587,406.103552868,401.436736239,3.5025,1.16431662923
 01/01  08:00:00,111.266612884,20.377571186,0.0,0.0,6.98738001645,14.1499734587,397.1588675,393.6363675,3.5025,0.02
 01/01  09:00:00,147.079832155,20.377571186,0.0,0.0,6.98738001645,14.1499734587,330.456467664,325.789621648,3.5025,1.16434601587
 01/01  10:00:00,121.100383316,20.377571186,0.0,0.0,6.98738001645,14.1499734587,296.652727725,293.130227725,3.5025,0.02
 01/01  11:00:00,156.630644469,20.377571186,0.0,0.0,27.9495200658,27.7759469175,248.991181067,240.8215023,7.005,1.16467876653
 01/01  12:00:00,188.091001847,20.377571186,0.0,0.0,27.9495200658,27.7759469175,208.91801086,201.89301086,7.005,0.02
 01/01  13:00:00,198.15405197,20.377571186,0.0,0.0,41.9242800987,36.8599292233,171.369501937,160.864661825,9.34,1.16484011268
 01/01  14:00:00,198.491777347,20.377571186,0.0,0.0,41.9242800987,36.8599292233,150.582951128,140.078163443,9.34,1.16478768479
 01/01  15:00:00,194.575252618,20.377571186,0.0,0.0,41.9242800987,36.8599292233,146.161105544,135.6564258,9.34,1.16467974432
 01/01  16:00:00,189.208605661,20.377571186,0.0,0.0,41.9242800987,36.8599292233,147.609850052,138.249850052,9.34,0.02
 01/01  17:00:00,191.215869163,20.377571186,0.0,0.0,41.9242800987,36.8599292233,159.195269716,148.690428912,9.34,1.16484080425
 01/01  18:00:00,171.901586938,20.377571186,0.0,0.0,27.9495200658,27.7759469175,209.994127926,201.824396475,7.005,1.16473145114
 01/01  19:00:00,177.108638096,20.377571186,0.0,0.0,13.9747600329,18.6919646116,246.548056028,241.858056028,4.67,0.02
 01/01  20:00:00,156.611415296,20.377571186,0.0,0.0,13.9747600329,18.6919646116,267.787584628,261.953021655,4.67,1.16456297338
 01/01  21:00:00,147.246106294,20.377571186,0.0,0.0,13.9747600329,18.6919646116,283.756133714,277.921658837,4.67,1.16447487692
 01/01  22:00:00,132.144815099,20.377571186,0.0,0.0,13.9747600329,18.6919646116,253.19148172,248.50148172,4.67,0.02
 01/01  23:00:00,79.9715626952,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,115.375675116,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549106126,0.0,1.75125,1.16424106126
 01/02  01:00:00,87.022391497,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,79.5575004807,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,79.2116086956,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926172222,0.0,2.335,1.16426172222
 01/02  04:00:00,79.3020261467,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,85.8868564908,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,85.2613958373,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,130.471965724,20.377571186,0.0,0.0,13.9747600329,18.6919646116,364.220220663,358.385957269,4.67,1.16426339455
 01/02  08:00:00,127.741255712,20.377571186,0.0,0.0,13.9747600329,18.6919646116,336.938117502,332.248117502,4.67,0.02
 01/02  09:00:00,204.85278166,20.377571186,0.0,0.0,34.9369000822,32.3179380704,280.699107793,271.36206993,8.1725,1.16453786285
