Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,81.095487623,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,79.3237253366,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,77.793031232,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91551591356,0.0,1.75125,1.16426591356
 01/01  04:00:00,80.6825463873,4.02676824506,0.0,0.0,3.49369000822,6.81298672936,7.64421789754,5.87296789754,1.75125,0.02
 01/01  05:00:00,95.301021431,12.0803047352,0.0,0.0,3.49369000822,6.81298672936,18.7535482144,16.9822982144,1.75125,0.02
 01/01  06:00:00,90.7194549343,8.05353649012,0.0,0.0,3.49369000822,6.81298672936,17.0581115785,15.2868615785,1.75125,0.02
 01/01  07:00:00,122.877512204,27.4465561598,0.0,0.0,6.98738001645,14.1499734587,411.350745325,406.683915044,3.5025,1.16433028093
 01/01  08:00:00,121.741855804,27.4465561598,0.0,0.0,6.98738001645,14.1499734587,384.622876155,381.100376155,3.5025,0.02
 01/01  09:00:00,153.839290323,27.4465561598,0.0,0.0,6.98738001645,14.1499734587,320.32298665,315.656138121,3.5025,1.16434852942
 01/01  10:00:00,128.175103173,27.4465561598,0.0,0.0,6.98738001645,14.1499734587,270.104681304,266.582181304,3.5025,0.02
 01/01  11:00:00,167.424819069,27.4465561598,0.0,0.0,27.9495200658,27.7759469175,207.449797566,199.280104316,7.005,1.16469325002
 01/01  12:00:00,203.426180928,27.4465561598,0.0,0.0,27.9495200658,27.7759469175,164.809450843,157.784450843,7.005,0.02
 01/01  13:00:00,217.362266602,27.4465561598,0.0,0.0,41.9242800987,36.8599292233,115.100736866,104.595838831,9.34,1.16489803455
 01/01  14:00:00,217.856414426,27.4465561598,0.0,0.0,41.9242800987,36.8599292233,87.8347918182,77.3298922988,9.34,1.16489951936
