Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,86.545927663,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,85.0846466888,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,83.6279803977,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91552562726,0.0,1.75125,1.16427562726
 01/01  04:00:00,82.5913325423,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,88.7051054102,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,87.9136670602,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,122.351039728,21.6928319009,0.0,0.0,6.98738001645,14.1499734587,383.915543991,379.248716741,3.5025,1.1643272491
 01/01  08:00:00,127.36761705,21.6928319009,0.0,0.0,6.98738001645,14.1499734587,358.59089269,355.06839269,3.5025,0.02
 01/01  09:00:00,155.810787614,21.6928319009,0.0,0.0,6.98738001645,14.1499734587,308.70037176,304.033496716,3.5025,1.16437504378
 01/01  10:00:00,131.407028177,21.6928319009,0.0,0.0,6.98738001645,14.1499734587,283.507222744,279.984722744,3.5025,0.02
 01/01  11:00:00,165.909290481,21.6928319009,0.0,0.0,27.9495200658,27.7759469175,245.518255172,237.348516038,7.005,1.16473913406
 01/01  12:00:00,196.266961706,21.6928319009,0.0,0.0,27.9495200658,27.7759469175,228.576431062,220.40674194,7.005,1.16468912216
 01/01  13:00:00,204.84820681,21.6928319009,0.0,0.0,41.9242800987,36.8599292233,201.471100114,192.111100114,9.34,0.02
 01/01  14:00:00,203.004125956,21.6928319009,0.0,0.0,41.9242800987,36.8599292233,196.590250526,186.085459264,9.34,1.16479126281
