Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,114.537195094,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,111.15123669,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,110.136228393,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,110.387759873,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91552163488,0.0,1.75125,1.16427163488
 01/01  05:00:00,119.363926767,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,119.963335688,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,154.786657501,18.8067463027,0.747523489814,0.0,6.98738001645,14.1499734587,24.2561433501,19.5893914026,3.5025,1.16425194748
 01/01  08:00:00,165.036252476,18.8067463027,0.656503876441,0.0,6.98738001645,14.1499734587,50.5051904289,46.9826904289,3.5025,0.02
 01/01  09:00:00,196.238055002,18.8067463027,0.827385527582,0.0,6.98738001645,14.1499734587,39.8362853651,36.3137853651,3.5025,0.02
 01/01  10:00:00,178.873425543,18.8067463027,0.991112211345,0.0,6.98738001645,14.1499734587,23.4739319265,18.8071207543,3.5025,1.16431117227
 01/01  11:00:00,213.722640448,18.8067463027,2.92073245983,0.0,27.9495200658,27.7759469175,7.27687157892,0.251871578923,7.005,0.02
 01/01  12:00:00,239.891576041,18.8067463027,3.76156372871,0.0,27.9495200658,27.7759469175,8.16955400684,0.0,7.005,1.16455400684
 01/01  13:00:00,261.493024959,18.8067463027,6.54243670323,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 01/01  14:00:00,263.417679153,18.8067463027,7.95881849123,0.0,41.9242800987,36.8599292233,10.5046987203,0.0,9.34,1.16469872027
 01/01  15:00:00,257.061085106,18.8067463027,8.66787420935,0.0,41.9242800987,36.8599292233,10.5046245824,0.0,9.34,1.16462458245
 01/01  16:00:00,250.638658025,18.8067463027,8.68985170766,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 01/01  17:00:00,247.709179524,18.8067463027,8.44490960862,0.0,41.9242800987,36.8599292233,10.5046119956,0.0,9.34,1.16461199559
 01/01  18:00:00,212.469528397,18.8067463027,5.79766020467,0.0,27.9495200658,27.7759469175,8.16967563553,0.0,7.005,1.16467563553
 01/01  19:00:00,223.48973606,18.8067463027,3.01823661628,0.0,13.9747600329,18.6919646116,5.58374903095,0.893749030947,4.67,0.02
 01/01  20:00:00,205.485330951,18.8067463027,2.05814242488,0.0,13.9747600329,18.6919646116,21.050533969,15.2160165604,4.67,1.16451740853
 01/01  21:00:00,191.91889188,18.8067463027,1.80358198644,0.0,13.9747600329,18.6919646116,26.7222167616,22.0322167616,4.67,0.02
 01/01  22:00:00,171.641615991,18.8067463027,2.16270454585,0.0,13.9747600329,18.6919646116,5.83439905318,0.0,4.67,1.16439905318
 01/01  23:00:00,119.350871804,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,150.110629252,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,128.880018945,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,117.746141252,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924850037,0.0,2.335,1.16424850037
 01/02  03:00:00,116.596398365,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,115.737397014,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,123.22916446,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920911918,0.0,2.335,1.16420911918
 01/02  06:00:00,122.209317824,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,167.588418469,18.8067463027,1.68722931466,0.0,13.9747600329,18.6919646116,11.2843192202,6.5943192202,4.67,0.02
 01/02  08:00:00,175.043368596,18.8067463027,1.2463675921,0.0,13.9747600329,18.6919646116,36.4996201744,30.6652724378,4.67,1.16434773659
 01/02  09:00:00,248.767579698,18.8067463027,3.06344314305,0.0,34.9369000822,32.3179380704,21.1418484055,12.9493484055,8.1725,0.02
 01/02  10:00:00,282.099712119,18.8067463027,5.21539201229,0.0,62.886420148,41.4019203762,11.6721277957,0.0,10.5075,1.16462779566
 01/02  11:00:00,277.6421757,18.8067463027,6.45212425744,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  12:00:00,302.327626019,18.8067463027,7.6358768901,0.0,62.886420148,41.4019203762,11.6723492329,0.0,10.5075,1.16484923286
 01/02  13:00:00,292.641186227,18.8067463027,8.4354269193,0.0,62.886420148,41.4019203762,11.6725306087,0.0,10.5075,1.16503060865
 01/02  14:00:00,292.143356413,18.8067463027,9.09181400864,0.0,62.886420148,41.4019203762,11.6724611188,0.0,10.5075,1.16496111882
 01/02  15:00:00,285.594755398,18.8067463027,9.58059004022,0.0,62.886420148,41.4019203762,11.6723939477,0.0,10.5075,1.16489394766
 01/02  16:00:00,281.684785557,18.8067463027,10.0644228791,0.0,62.886420148,41.4019203762,11.6722864042,0.0,10.5075,1.16478640418
 01/02  17:00:00,281.63420376,18.8067463027,10.2376999276,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  18:00:00,280.278308404,18.8067463027,9.90330210833,0.0,62.886420148,41.4019203762,11.6722638588,0.0,10.5075,1.16476385884
 01/02  19:00:00,287.089220892,18.8067463027,8.47614982742,0.0,41.9242800987,36.8599292233,10.5046430322,0.0,9.34,1.16464303217
 01/02  20:00:00,275.455944317,18.8067463027,7.57456599269,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 01/02  21:00:00,247.024054866,18.8067463027,6.34510005248,0.0,34.9369000822,32.3179380704,9.33715217483,0.0,8.1725,1.16465217483
 01/02  22:00:00,177.263104291,18.8067463027,4.40892433326,0.0,13.9747600329,18.6919646116,5.83448505219,0.0,4.67,1.16448505219
 01/02  23:00:00,124.485277183,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,154.676941615,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,132.140878673,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922839399,0.0,2.335,1.16422839399
 01/03  02:00:00,120.201978804,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,118.619412548,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,117.387820748,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,144.073107411,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920353474,0.0,2.335,1.16420353474
 01/03  06:00:00,143.415981956,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  07:00:00,190.318513418,18.8067463027,2.24481245747,0.0,13.9747600329,18.6919646116,6.96168293714,2.27168293714,4.67,0.02
 01/03  08:00:00,189.716399648,18.8067463027,1.64308366285,0.0,13.9747600329,18.6919646116,27.0954337933,21.2610291633,4.67,1.16440463006
 01/03  09:00:00,252.710870109,18.8067463027,3.53558550475,0.0,34.9369000822,32.3179380704,12.8065104118,4.61401041181,8.1725,0.02
 01/03  10:00:00,287.359335691,18.8067463027,6.42155386464,0.0,62.886420148,41.4019203762,11.6720485525,0.0,10.5075,1.16454855254
 01/03  11:00:00,284.84897355,18.8067463027,8.01773292605,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/03  12:00:00,309.101321976,18.8067463027,9.57109185543,0.0,62.886420148,41.4019203762,11.6724065871,0.0,10.5075,1.1649065871
 01/03  13:00:00,302.287031132,18.8067463027,10.905634362,0.0,62.886420148,41.4019203762,11.6723739583,0.0,10.5075,1.16487395831
 01/03  14:00:00,306.441321073,18.8067463027,12.2544130635,0.0,62.886420148,41.4019203762,11.6725192846,0.0,10.5075,1.16501928458
 01/03  15:00:00,299.116865269,18.8067463027,13.1493761485,0.0,62.886420148,41.4019203762,11.6722692542,0.0,10.5075,1.16476925421
 01/03  16:00:00,294.465723183,18.8067463027,13.6837396479,0.0,62.886420148,41.4019203762,11.6721751718,0.0,10.5075,1.1646751718
 01/03  17:00:00,293.645975394,18.8067463027,13.78781958,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/03  18:00:00,291.241100563,18.8067463027,13.0532765504,0.0,62.886420148,41.4019203762,11.6723234041,0.0,10.5075,1.16482340407
 01/03  19:00:00,296.277653867,18.8067463027,10.9983503714,0.0,41.9242800987,36.8599292233,10.5047029736,0.0,9.34,1.16470297361
 01/03  20:00:00,275.668094178,18.8067463027,9.76775769374,0.0,41.9242800987,36.8599292233,10.5045851578,0.0,9.34,1.16458515777
 01/03  21:00:00,248.873186204,18.8067463027,8.25168789479,0.0,34.9369000822,32.3179380704,8.1925,0.0,8.1725,0.02
 01/03  22:00:00,178.263128892,18.8067463027,6.51315228198,0.0,13.9747600329,18.6919646116,5.83443296635,0.0,4.67,1.16443296635
 01/03  23:00:00,128.605460785,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  24:00:00,157.938628949,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  01:00:00,136.550697455,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922681499,0.0,2.335,1.16422681499
 01/04  02:00:00,124.176066301,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  03:00:00,122.764219679,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  04:00:00,121.757136656,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  05:00:00,129.178699015,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920209554,0.0,2.335,1.16420209554
 01/04  06:00:00,128.094933987,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  07:00:00,174.840207681,18.8067463027,2.69757329439,0.0,13.9747600329,18.6919646116,4.80032793946,0.110327939455,4.67,0.02
 01/04  08:00:00,183.326880448,18.8067463027,1.9182056815,0.0,13.9747600329,18.6919646116,19.0778821226,13.2435081487,4.67,1.1643739739
 01/04  09:00:00,256.359278778,18.8067463027,3.82971114586,0.0,34.9369000822,32.3179380704,10.6086810178,2.41618101778,8.1725,0.02
