Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,103.499033207,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,99.4316354085,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,96.2396045364,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,93.8297245114,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553709501,0.0,1.75125,1.16428709501
 01/01  05:00:00,98.6394410116,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,96.6738466999,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,130.03821422,25.3985634691,0.0,0.0,6.98738001645,14.1499734587,271.139182893,266.472376152,3.5025,1.1643067415
 01/01  08:00:00,133.815717724,25.3985634691,0.0,0.0,6.98738001645,14.1499734587,235.360774679,231.838274679,3.5025,0.02
 01/01  09:00:00,170.750132126,25.3985634691,0.0,0.0,6.98738001645,14.1499734587,193.396993592,188.730150417,3.5025,1.16434317496
 01/01  10:00:00,150.092212661,25.3985634691,0.0,0.0,6.98738001645,14.1499734587,175.839754053,172.317254053,3.5025,0.02
 01/01  11:00:00,185.677394865,25.3985634691,0.0967958491587,0.0,27.9495200658,27.7759469175,149.765044148,141.595370247,7.005,1.16467390036
 01/01  12:00:00,218.469857604,25.3985634691,0.0720240003939,0.0,27.9495200658,27.7759469175,123.588402329,116.563402329,7.005,0.02
 01/01  13:00:00,235.093365127,25.3985634691,0.898356623699,0.0,41.9242800987,36.8599292233,95.3796078917,84.8747760753,9.34,1.16483181642
 01/01  14:00:00,236.932035048,25.3985634691,1.12225055882,0.0,41.9242800987,36.8599292233,84.5084097887,74.0036303803,9.34,1.16477940837
 01/01  15:00:00,234.295935311,25.3985634691,1.31601436354,0.0,41.9242800987,36.8599292233,74.3027534302,63.7980833005,9.34,1.16467012974
 01/01  16:00:00,230.336994599,25.3985634691,1.34305018511,0.0,41.9242800987,36.8599292233,76.9266294975,67.5666294975,9.34,0.02
 01/01  17:00:00,231.936601902,25.3985634691,1.24645854709,0.0,41.9242800987,36.8599292233,85.7064879902,75.2016586548,9.34,1.16482933534
 01/01  18:00:00,209.837548805,25.3985634691,0.404863317907,0.0,27.9495200658,27.7759469175,112.955948693,104.786230039,7.005,1.16471865335
 01/01  19:00:00,212.426333612,25.3985634691,0.0,0.0,13.9747600329,18.6919646116,124.537880075,119.847880075,4.67,0.02
 01/01  20:00:00,197.06848369,25.3985634691,0.0,0.0,13.9747600329,18.6919646116,128.274292534,122.439743424,4.67,1.16454911007
 01/01  21:00:00,184.711312212,25.3985634691,0.0,0.0,13.9747600329,18.6919646116,136.944865909,131.110406035,4.67,1.16445987326
 01/01  22:00:00,165.22724105,25.3985634691,0.0174477941501,0.0,13.9747600329,18.6919646116,92.287148759,87.597148759,4.67,0.02
 01/01  23:00:00,108.635554627,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,140.445538857,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554779494,0.0,1.75125,1.16429779494
 01/02  01:00:00,117.458119288,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,111.025161853,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,112.124958062,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924589998,0.0,2.335,1.16424589998
 01/02  04:00:00,113.487944232,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,121.984048401,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,122.286930456,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,170.149411294,25.3985634691,0.0371444017583,0.0,13.9747600329,18.6919646116,95.8045662083,89.9703407155,4.67,1.16422549278
 01/02  08:00:00,180.585316619,25.3985634691,0.0,0.0,13.9747600329,18.6919646116,96.1300404585,91.4400404585,4.67,0.02
 01/02  09:00:00,256.355894893,25.3985634691,0.932101706724,0.0,34.9369000822,32.3179380704,81.873258245,72.5362379393,8.1725,1.16452030572
 01/02  10:00:00,287.449406762,25.3985634691,2.45331069787,0.0,62.886420148,41.4019203762,58.7181102892,48.1906102892,10.5075,0.02
 01/02  11:00:00,275.467457228,25.3985634691,1.84686612145,0.0,62.886420148,41.4019203762,84.8460932283,73.1737630721,10.5075,1.16483015615
 01/02  12:00:00,289.498832306,25.3985634691,1.39824062183,0.0,62.886420148,41.4019203762,97.4700812255,85.7973713564,10.5075,1.16520986908
 01/02  13:00:00,273.804714684,25.3985634691,1.60519364884,0.0,62.886420148,41.4019203762,90.0668980524,78.3942822559,10.5075,1.16511579646
 01/02  14:00:00,272.167200297,25.3985634691,1.7427414403,0.0,62.886420148,41.4019203762,86.6171442087,73.7993413009,10.5075,2.31030290784
 01/02  15:00:00,265.197962978,25.3985634691,1.65970311717,0.0,62.886420148,41.4019203762,89.2856484235,78.7581484235,10.5075,0.02
 01/02  16:00:00,260.811600718,25.3985634691,1.67678085206,0.0,62.886420148,41.4019203762,91.0885785203,79.4160697646,10.5075,1.16500875574
 01/02  17:00:00,264.184776469,25.3985634691,1.67949662508,0.0,62.886420148,41.4019203762,92.1154400488,80.4430164458,10.5075,1.16492360304
 01/02  18:00:00,274.00480488,25.3985634691,1.60649427503,0.0,62.886420148,41.4019203762,96.5571137366,84.8847615133,10.5075,1.16485222331
 01/02  19:00:00,267.897000128,25.3985634691,0.875686792781,0.0,41.9242800987,36.8599292233,109.690381734,99.1855035709,9.34,1.16487816302
 01/02  20:00:00,247.83725203,25.3985634691,0.518011529633,0.0,41.9242800987,36.8599292233,141.22075411,130.716026758,9.34,1.16472735151
 01/02  21:00:00,215.521042487,25.3985634691,0.0824028366969,0.0,34.9369000822,32.3179380704,165.079111971,156.886611971,8.1725,0.02
 01/02  22:00:00,152.171896009,25.3985634691,0.0,0.0,13.9747600329,18.6919646116,140.022597949,134.188003191,4.67,1.16459475771
 01/02  23:00:00,96.3503686717,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,128.587831958,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930021892,0.0,2.335,1.16430021892
 01/03  01:00:00,96.1600550245,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,86.9086199915,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,84.4649831005,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924555852,0.0,2.335,1.16424555852
 01/03  04:00:00,82.4743264193,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,103.360354048,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,102.098083433,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923205301,0.0,2.335,1.16423205301
 01/03  07:00:00,148.381125733,25.3985634691,0.0,0.0,13.9747600329,18.6919646116,370.302816626,365.612816626,4.67,0.02
 01/03  08:00:00,139.746139385,25.3985634691,0.0,0.0,13.9747600329,18.6919646116,343.014802299,338.324802299,4.67,0.02
 01/03  09:00:00,206.715905475,25.3985634691,0.0,0.0,34.9369000822,32.3179380704,308.255616894,298.918587883,8.1725,1.16452901047
 01/03  10:00:00,230.776686299,25.3985634691,0.0425894591309,0.0,62.886420148,41.4019203762,262.713384403,251.041239773,10.5075,1.1646446293
 01/03  11:00:00,221.658413971,25.3985634691,0.01898857564,0.0,62.886420148,41.4019203762,243.196631332,232.669131332,10.5075,0.02
 01/03  12:00:00,252.309024176,25.3985634691,0.0338805611824,0.0,62.886420148,41.4019203762,224.664488934,212.991883108,10.5075,1.16510582569
 01/03  13:00:00,232.204954279,25.3985634691,0.0337958394457,0.0,62.886420148,41.4019203762,207.718689288,194.900809073,10.5075,2.31038021441
