Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,112.212977326,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,109.933764897,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,106.907176371,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,104.906527223,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553277122,0.0,1.75125,1.16428277122
 01/01  05:00:00,111.446126877,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,110.870673485,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,150.486567631,24.8237941552,0.0,0.0,6.98738001645,14.1499734587,156.653858231,151.987040778,3.5025,1.16431745255
 01/01  08:00:00,163.493738838,24.8237941552,0.0,0.0,6.98738001645,14.1499734587,157.463330968,153.940830968,3.5025,0.02
 01/01  09:00:00,190.529741939,24.8237941552,0.0,0.0,6.98738001645,14.1499734587,144.445188401,139.77835901,3.5025,1.16432939057
 01/01  10:00:00,169.419637001,24.8237941552,0.0,0.0,6.98738001645,14.1499734587,132.506315688,128.983815688,3.5025,0.02
 01/01  11:00:00,202.588513764,24.8237941552,0.0,0.0,27.9495200658,27.7759469175,109.782014646,101.612365932,7.005,1.16464871415
 01/01  12:00:00,232.608174755,24.8237941552,0.0,0.0,27.9495200658,27.7759469175,92.6072400503,85.5822400503,7.005,0.02
 01/01  13:00:00,249.713717225,24.8237941552,0.0,0.0,41.9242800987,36.8599292233,71.7301033089,61.2253071272,9.34,1.16479618166
 01/01  14:00:00,249.16981013,24.8237941552,0.0,0.0,41.9242800987,36.8599292233,70.205826419,59.7010909505,9.34,1.1647354685
 01/01  15:00:00,244.231796117,24.8237941552,0.0,0.0,41.9242800987,36.8599292233,64.290534323,54.930534323,9.34,0.02
 01/01  16:00:00,240.929177714,24.8237941552,0.0,0.0,41.9242800987,36.8599292233,60.4599345536,49.9551327359,9.34,1.16480181777
 01/01  17:00:00,240.934857032,24.8237941552,0.0,0.0,41.9242800987,36.8599292233,59.3157562107,48.8109889921,9.34,1.16476721854
 01/01  18:00:00,214.399799703,24.8237941552,0.0,0.0,27.9495200658,27.7759469175,73.5188745669,65.3492255816,7.005,1.16464898529
 01/01  19:00:00,223.644537806,24.8237941552,0.0,0.0,13.9747600329,18.6919646116,96.9741385869,92.2841385869,4.67,0.02
 01/01  20:00:00,203.865417025,24.8237941552,0.0,0.0,13.9747600329,18.6919646116,115.186971636,109.35235612,4.67,1.16461551594
 01/01  21:00:00,188.375321535,24.8237941552,0.0,0.0,13.9747600329,18.6919646116,127.74935332,123.05935332,4.67,0.02
 01/01  22:00:00,167.918884187,24.8237941552,0.0,0.0,13.9747600329,18.6919646116,93.1307542335,87.2963447614,4.67,1.16440947209
 01/01  23:00:00,112.825012267,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,145.693193167,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553479486,0.0,1.75125,1.16428479486
 01/02  01:00:00,121.64833272,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,113.061777505,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,112.181955576,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,111.144824846,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920889747,0.0,2.335,1.16420889747
