Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,83.352972886,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,84.1086892969,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,84.5377807674,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553259274,0.0,1.75125,1.16428259274
 01/01  04:00:00,84.9377412928,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,91.9467130206,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,91.83856502,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549305292,0.0,1.75125,1.16424305292
 01/01  07:00:00,131.322777228,25.6346603318,0.0,0.0,6.98738001645,14.1499734587,323.133256001,319.610756001,3.5025,0.02
 01/01  08:00:00,138.092580488,25.6346603318,0.0,0.0,6.98738001645,14.1499734587,293.829330544,290.306830544,3.5025,0.02
 01/01  09:00:00,165.681020906,25.6346603318,0.0,0.0,6.98738001645,14.1499734587,263.496741414,258.829848082,3.5025,1.16439333239
 01/01  10:00:00,141.228386658,25.6346603318,0.0,0.0,6.98738001645,14.1499734587,248.38124775,244.85874775,3.5025,0.02
 01/01  11:00:00,174.251027157,25.6346603318,0.0,0.0,27.9495200658,27.7759469175,220.994940647,212.825170327,7.005,1.16477032066
 01/01  12:00:00,203.540728053,25.6346603318,0.0,0.0,27.9495200658,27.7759469175,212.81201021,204.642280804,7.005,1.16472940628
 01/01  13:00:00,212.63054629,25.6346603318,0.068020933842,0.0,41.9242800987,36.8599292233,195.693021417,186.333021417,9.34,0.02
 01/01  14:00:00,210.933525344,25.6346603318,0.0,0.0,41.9242800987,36.8599292233,190.029986468,179.525143543,9.34,1.16484292569
 01/01  15:00:00,206.224599054,25.6346603318,0.0,0.0,41.9242800987,36.8599292233,192.799865742,182.295042918,9.34,1.16482282397
 01/01  16:00:00,201.38094756,25.6346603318,0.0,0.0,41.9242800987,36.8599292233,201.152753952,190.647912067,9.34,1.16484188475
 01/01  17:00:00,200.275282722,25.6346603318,0.0,0.0,41.9242800987,36.8599292233,207.253826893,196.748910658,9.34,1.16491623504
 01/01  18:00:00,184.692175626,25.6346603318,0.011165615485,0.0,27.9495200658,27.7759469175,245.634198094,238.609198094,7.005,0.02
 01/01  19:00:00,189.094814657,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,268.993481575,263.158810911,4.67,1.16467066406
 01/01  20:00:00,169.227403898,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,277.621771291,271.787078894,4.67,1.16469239722
 01/01  21:00:00,159.095951142,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,284.560951582,279.870951582,4.67,0.02
 01/01  22:00:00,142.815732528,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,251.257410488,245.422913552,4.67,1.16449693594
 01/01  23:00:00,85.0510563043,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,119.564439061,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554291992,0.0,1.75125,1.16429291992
 01/02  01:00:00,90.5925326603,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,83.1762981169,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,82.0359581899,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,81.1895199839,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924262434,0.0,2.335,1.16424262434
 01/02  05:00:00,87.0104060334,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,93.8065781616,7.35983446276,0.0,0.0,3.49369000822,9.08398230582,15.8501930675,13.4951930675,2.335,0.02
 01/02  07:00:00,136.287600742,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,390.52743877,384.693176234,4.67,1.16426253626
 01/02  08:00:00,139.886784059,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,351.861902846,347.171902846,4.67,0.02
 01/02  09:00:00,209.787385509,25.6346603318,0.0,0.0,34.9369000822,32.3179380704,316.18367066,306.846580689,8.1725,1.16458997031
 01/02  10:00:00,235.276619483,25.6346603318,0.0,0.0,62.886420148,41.4019203762,281.5388806,271.0113806,10.5075,0.02
 01/02  11:00:00,225.829969944,25.6346603318,0.0,0.0,62.886420148,41.4019203762,272.802405391,261.129882837,10.5075,1.16502255373
 01/02  12:00:00,256.389740426,25.6346603318,0.0,0.0,62.886420148,41.4019203762,262.609650027,249.791717259,10.5075,2.31043276855
 01/02  13:00:00,236.792513354,25.6346603318,0.0,0.0,62.886420148,41.4019203762,256.437844612,244.765148791,10.5075,1.16519582191
 01/02  14:00:00,233.982225404,25.6346603318,0.0,0.0,62.886420148,41.4019203762,252.763710555,241.090804005,10.5075,1.16540654968
 01/02  15:00:00,229.865853561,25.6346603318,0.0,0.0,62.886420148,41.4019203762,252.675116298,241.002542372,10.5075,1.16507392555
 01/02  16:00:00,226.086052945,25.6346603318,0.0,0.0,62.886420148,41.4019203762,250.193338558,238.520832519,10.5075,1.16500603905
 01/02  17:00:00,225.947639334,25.6346603318,0.0,0.0,62.886420148,41.4019203762,251.180583324,239.508074558,10.5075,1.16500876536
 01/02  18:00:00,239.329543291,25.6346603318,0.0,0.0,62.886420148,41.4019203762,255.28062527,243.608098427,10.5075,1.16502684272
 01/02  19:00:00,238.291152849,25.6346603318,0.0,0.0,41.9242800987,36.8599292233,261.663215671,251.158302943,9.34,1.16491272806
 01/02  20:00:00,222.658325278,25.6346603318,0.0,0.0,41.9242800987,36.8599292233,272.092790857,261.587960345,9.34,1.16483051222
 01/02  21:00:00,196.817319462,25.6346603318,0.0,0.0,34.9369000822,32.3179380704,279.145150253,269.80786044,8.1725,1.16478981347
 01/02  22:00:00,139.200619921,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,251.252507141,246.562507141,4.67,0.02
 01/02  23:00:00,84.1470674073,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49944736291,0.0,2.335,1.16444736291
 01/02  24:00:00,119.426472167,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,88.4029132463,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,81.1175808934,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925348489,0.0,2.335,1.16425348489
 01/03  03:00:00,80.3669731872,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,83.3640113921,3.67991723138,0.0,0.0,3.49369000822,9.08398230582,10.8124203032,8.4574203032,2.335,0.02
 01/03  05:00:00,113.11997794,11.0397516941,0.0,0.0,3.49369000822,9.08398230582,26.0182463888,23.6632463888,2.335,0.02
 01/03  06:00:00,109.371107282,7.35983446276,0.0,0.0,3.49369000822,9.08398230582,21.5849383667,18.0856626119,2.335,1.16427575473
 01/03  07:00:00,152.129525366,25.6346603318,0.0,0.0,13.9747600329,18.6919646116,422.649036452,417.959036452,4.67,0.02
