Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,75.8327486551,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,87.5380147078,11.9121640622,0.0,0.0,3.49369000822,6.81298672936,35.2052419561,33.4339919561,1.75125,0.02
 01/01  03:00:00,87.459773152,12.0072259992,0.0,0.0,3.49369000822,6.81298672936,38.2187241939,35.3033474855,1.75125,1.16412670837
 01/01  04:00:00,86.8519132716,11.565031393,0.0,0.0,3.49369000822,6.81298672936,30.8699535433,29.0987035433,1.75125,0.02
 01/01  05:00:00,97.4440414071,15.8513604462,0.0,0.0,3.49369000822,6.81298672936,55.6582124671,53.8869624671,1.75125,0.02
 01/01  06:00:00,97.0363128466,15.6646266926,0.0,0.0,3.49369000822,6.81298672936,63.8018668646,60.8862906945,1.75125,1.16432617013
 01/01  07:00:00,121.880422841,26.930952748,0.0,0.0,6.98738001645,14.1499734587,567.934699758,564.412199758,3.5025,0.02
 01/01  08:00:00,120.524751024,26.930952748,0.0,0.0,6.98738001645,14.1499734587,533.982906595,530.460406595,3.5025,0.02
 01/01  09:00:00,152.640639251,26.930952748,0.0,0.0,6.98738001645,14.1499734587,464.918733507,460.251826161,3.5025,1.16440734627
 01/01  10:00:00,125.109049493,26.930952748,0.0,0.0,6.98738001645,14.1499734587,446.253172197,442.730672197,3.5025,0.02
 01/01  11:00:00,159.782182932,26.930952748,0.0,0.0,27.9495200658,27.7759469175,407.075694782,398.905896262,7.005,1.16479851986
 01/01  12:00:00,191.259488918,26.930952748,0.0,0.0,27.9495200658,27.7759469175,377.646938239,369.477128286,7.005,1.16480995351
 01/01  13:00:00,198.347202933,26.930952748,0.0,0.0,41.9242800987,36.8599292233,330.666533351,320.161554987,9.34,1.16497836406
 01/01  14:00:00,195.670198113,26.930952748,0.0,0.0,41.9242800987,36.8599292233,308.257701422,297.752830465,9.34,1.16487095736
 01/01  15:00:00,191.959797486,26.930952748,0.0,0.0,41.9242800987,36.8599292233,297.063938772,287.703938772,9.34,0.02
 01/01  16:00:00,188.614195439,26.930952748,0.0,0.0,41.9242800987,36.8599292233,293.992309755,283.487398482,9.34,1.1649112727
 01/01  17:00:00,195.462693105,26.930952748,0.0,0.0,41.9242800987,36.8599292233,291.312550396,280.807717872,9.34,1.16483252383
 01/01  18:00:00,173.81051529,26.930952748,0.0,0.0,27.9495200658,27.7759469175,336.647026835,328.477157253,7.005,1.16486958281
 01/01  19:00:00,180.263726618,26.930952748,0.0,0.0,13.9747600329,18.6919646116,353.039623507,347.204980433,4.67,1.16464307441
 01/01  20:00:00,160.478908368,26.930952748,0.0,0.0,13.9747600329,18.6919646116,356.032755211,351.342755211,4.67,0.02
 01/01  21:00:00,151.67511595,26.930952748,0.0,0.0,13.9747600329,18.6919646116,359.227371745,353.39276354,4.67,1.16460820447
 01/01  22:00:00,137.342248014,26.930952748,0.0,0.0,13.9747600329,18.6919646116,316.667970557,310.833478431,4.67,1.1644921259
 01/01  23:00:00,77.4594262334,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,113.109843778,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,84.8199777202,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923845047,0.0,2.335,1.16423845047
 01/02  02:00:00,78.2457987633,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,86.3779560515,7.81469345882,0.0,0.0,3.49369000822,9.08398230582,15.0821747475,12.7271747475,2.335,0.02
 01/02  04:00:00,87.4310694045,7.81469345882,0.0,0.0,3.49369000822,9.08398230582,15.8272762224,12.3280318976,2.335,1.16424432479
 01/02  05:00:00,94.9329688321,7.81469345882,0.0,0.0,3.49369000822,9.08398230582,14.3404583739,11.9854583739,2.335,0.02
 01/02  06:00:00,98.8020367174,11.7220401882,0.0,0.0,3.49369000822,9.08398230582,22.3634323728,20.0084323728,2.335,0.02
 01/02  07:00:00,138.353491552,26.930952748,0.0,0.0,13.9747600329,18.6919646116,382.454326806,377.764326806,4.67,0.02
 01/02  08:00:00,138.585535339,26.930952748,0.0,0.0,13.9747600329,18.6919646116,345.186056581,339.351589495,4.67,1.16446708576
 01/02  09:00:00,211.286569424,26.930952748,0.0,0.0,34.9369000822,32.3179380704,301.437104027,292.09996768,8.1725,1.16463634766
 01/02  10:00:00,237.227318195,26.930952748,0.0350902772255,0.0,62.886420148,41.4019203762,262.611149182,252.083649182,10.5075,0.02
 01/02  11:00:00,227.999037034,26.930952748,0.0328213412785,0.0,62.886420148,41.4019203762,245.090993711,233.418471842,10.5075,1.16502186974
 01/02  12:00:00,258.422601453,26.930952748,0.0175340849412,0.0,62.886420148,41.4019203762,218.647220896,205.829036579,10.5075,2.31068431622
 01/02  13:00:00,238.87565742,26.930952748,0.0,0.0,62.886420148,41.4019203762,202.28441373,190.611481928,10.5075,1.1654318023
 01/02  14:00:00,236.405503389,26.930952748,0.067978486041,0.0,62.886420148,41.4019203762,189.535850507,177.862926473,10.5075,1.16542403434
 01/02  15:00:00,233.141147579,26.930952748,0.234186924392,0.0,62.886420148,41.4019203762,182.364583991,170.691903612,10.5075,1.165180379
 01/02  16:00:00,230.092639489,26.930952748,0.337894337851,0.0,62.886420148,41.4019203762,178.234995561,165.417297581,10.5075,2.31019798013
 01/02  17:00:00,236.608501395,26.930952748,0.305070033383,0.0,62.886420148,41.4019203762,183.381346769,171.708764564,10.5075,1.16508220529
 01/02  18:00:00,242.277480894,26.930952748,0.185480153735,0.0,62.886420148,41.4019203762,196.505572515,184.832891836,10.5075,1.165180679
 01/02  19:00:00,240.874822839,26.930952748,0.0,0.0,41.9242800987,36.8599292233,199.611993082,189.106909877,9.34,1.16508320471
 01/02  20:00:00,224.86150848,26.930952748,0.0,0.0,41.9242800987,36.8599292233,209.706637754,199.201843188,9.34,1.16479456588
 01/02  21:00:00,199.620605735,26.930952748,0.0,0.0,34.9369000822,32.3179380704,216.776387447,208.583887447,8.1725,0.02
 01/02  22:00:00,141.469209337,26.930952748,0.00888821267944,0.0,13.9747600329,18.6919646116,185.681696451,179.847012937,4.67,1.1646835147
 01/02  23:00:00,84.2733095611,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,119.077813913,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934200734,0.0,2.335,1.16434200734
 01/03  01:00:00,88.7248777582,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,81.9150872136,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,83.7281231964,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926158867,0.0,2.335,1.16426158867
 01/03  04:00:00,85.6597812905,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,109.375020773,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,110.457478671,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922820839,0.0,2.335,1.16422820839
 01/03  07:00:00,164.312726067,26.930952748,0.0,0.0,13.9747600329,18.6919646116,269.263951143,264.573951143,4.67,0.02
 01/03  08:00:00,161.312459086,26.930952748,0.0,0.0,13.9747600329,18.6919646116,242.073713748,237.383713748,4.67,0.02
 01/03  09:00:00,224.800150444,26.930952748,0.0549686443382,0.0,34.9369000822,32.3179380704,209.772415246,200.435229843,8.1725,1.1646854027
 01/03  10:00:00,251.756443965,26.930952748,0.103374497652,0.0,62.886420148,41.4019203762,178.764386882,167.092134385,10.5075,1.16475249645
 01/03  11:00:00,244.85434686,26.930952748,0.342962878257,0.0,62.886420148,41.4019203762,162.619501242,150.946952151,10.5075,1.16504909133
 01/03  12:00:00,276.710582897,26.930952748,0.718389431922,0.0,62.886420148,41.4019203762,134.854368692,123.181633082,10.5075,1.16523561087
 01/03  13:00:00,261.795063903,26.930952748,0.847663599649,0.0,62.886420148,41.4019203762,123.544748433,110.726614994,10.5075,2.31063343925
 01/03  14:00:00,260.713815021,26.930952748,1.07234469397,0.0,62.886420148,41.4019203762,112.439130428,100.766314072,10.5075,1.16531635524
 01/03  15:00:00,255.824273977,26.930952748,1.16171598114,0.0,62.886420148,41.4019203762,107.163471293,95.4906803767,10.5075,1.16529091656
 01/03  16:00:00,250.373672125,26.930952748,1.09316926124,0.0,62.886420148,41.4019203762,111.611125779,99.9386020498,10.5075,1.1650237287
 01/03  17:00:00,255.417530258,26.930952748,0.891011470241,0.0,62.886420148,41.4019203762,123.339959228,111.667361064,10.5075,1.16509816421
 01/03  18:00:00,261.21808524,26.930952748,0.843589176333,0.0,62.886420148,41.4019203762,130.450665761,118.777976236,10.5075,1.16518952539
 01/03  19:00:00,258.062902747,26.930952748,0.603545577712,0.0,41.9242800987,36.8599292233,136.171442275,125.666306815,9.34,1.1651354593
 01/03  20:00:00,239.279948796,26.930952748,0.603568064955,0.0,41.9242800987,36.8599292233,136.983479382,126.478564044,9.34,1.16491533808
 01/03  21:00:00,212.564936828,26.930952748,0.346397013579,0.0,34.9369000822,32.3179380704,143.272299863,133.93485882,8.1725,1.16494104356
 01/03  22:00:00,152.372298122,26.930952748,0.0,0.0,13.9747600329,18.6919646116,122.389748136,116.555127197,4.67,1.16462093879
 01/03  23:00:00,101.194982338,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  24:00:00,133.69797193,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  01:00:00,103.68864568,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925320324,0.0,2.335,1.16425320324
 01/04  02:00:00,95.4462445766,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  03:00:00,94.5369159354,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  04:00:00,93.8105648366,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926008096,0.0,2.335,1.16426008096
 01/04  05:00:00,99.9777425612,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  06:00:00,99.8018649401,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  07:00:00,151.156973636,26.930952748,0.0,0.0,13.9747600329,18.6919646116,236.821858695,230.987625567,4.67,1.16423312803
 01/04  08:00:00,156.507029149,26.930952748,0.0,0.0,13.9747600329,18.6919646116,210.782283221,206.092283221,4.67,0.02
 01/04  09:00:00,229.959194323,26.930952748,0.0681153477394,0.0,34.9369000822,32.3179380704,184.410415691,175.073340408,8.1725,1.16457528361
 01/04  10:00:00,257.331467284,26.930952748,0.366030096181,0.0,62.886420148,41.4019203762,148.143095673,137.615595673,10.5075,0.02
 01/04  11:00:00,247.623738196,26.930952748,0.656892772541,0.0,62.886420148,41.4019203762,140.265872778,128.593258622,10.5075,1.1651141558
 01/04  12:00:00,274.28484327,26.930952748,0.874432058014,0.0,62.886420148,41.4019203762,127.117652387,114.299274635,10.5075,2.31087775211
 01/04  13:00:00,258.552093036,26.930952748,1.01311736318,0.0,62.886420148,41.4019203762,118.014191651,106.341158959,10.5075,1.1655326918
 01/04  14:00:00,256.911580048,26.930952748,1.15133342469,0.0,62.886420148,41.4019203762,114.716873087,103.043845704,10.5075,1.16552738325
 01/04  15:00:00,251.555101401,26.930952748,1.12147039569,0.0,62.886420148,41.4019203762,118.843420596,106.025480706,10.5075,2.31043989023
 01/04  16:00:00,246.355117944,26.930952748,1.04463596318,0.0,62.886420148,41.4019203762,121.114662523,109.442052401,10.5075,1.16511012245
 01/04  17:00:00,251.308374733,26.930952748,0.879518254249,0.0,62.886420148,41.4019203762,131.421431366,119.748737091,10.5075,1.16519427505
 01/04  18:00:00,255.881455087,26.930952748,0.758051878637,0.0,62.886420148,41.4019203762,146.273623426,134.601079671,10.5075,1.16504375415
 01/04  19:00:00,252.041220676,26.930952748,0.398049199323,0.0,41.9242800987,36.8599292233,162.63034616,152.125376585,9.34,1.16496957489
 01/04  20:00:00,237.855582999,26.930952748,0.280639129979,0.0,41.9242800987,36.8599292233,173.127782553,162.622869665,9.34,1.16491288796
 01/04  21:00:00,212.730568661,26.930952748,0.015693208367,0.0,34.9369000822,32.3179380704,175.283985033,167.091485033,8.1725,0.02
 01/04  22:00:00,154.406045854,26.930952748,0.0,0.0,13.9747600329,18.6919646116,143.288031238,137.453327626,4.67,1.16470361166
 01/04  23:00:00,100.015261273,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49947006476,0.0,2.335,1.16447006476
 01/04  24:00:00,133.547085343,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  01:00:00,104.599315785,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  02:00:00,96.3795350579,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923643996,0.0,2.335,1.16423643996
 01/05  03:00:00,95.2770155306,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  04:00:00,94.8420641134,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  05:00:00,101.178078361,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  06:00:00,100.569566433,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49928098851,0.0,2.335,1.16428098851
 01/05  07:00:00,151.404011816,26.930952748,0.0,0.0,13.9747600329,18.6919646116,239.584318475,234.894318475,4.67,0.02
 01/05  08:00:00,155.823372097,26.930952748,0.0,0.0,13.9747600329,18.6919646116,218.295188263,212.460678206,4.67,1.16451005771
 01/05  09:00:00,228.799484946,26.930952748,0.061425621922,0.0,34.9369000822,32.3179380704,190.910889517,182.718389517,8.1725,0.02
 01/05  10:00:00,257.715431652,26.930952748,0.303733730534,0.0,62.886420148,41.4019203762,160.532663119,148.860283643,10.5075,1.16487947539
 01/05  11:00:00,252.198785584,26.930952748,0.554813941383,0.0,62.886420148,41.4019203762,147.342432013,135.669979358,10.5075,1.16495265519
 01/05  12:00:00,282.410668538,26.930952748,0.831261263502,0.0,62.886420148,41.4019203762,124.080619129,112.407750549,10.5075,1.16536857931
 01/05  13:00:00,273.006472328,26.930952748,1.26806459168,0.0,62.886420148,41.4019203762,100.347994634,87.5295871265,10.5075,2.31090750767
 01/05  14:00:00,277.033298315,26.930952748,1.73302074619,0.0,62.886420148,41.4019203762,81.3239345276,69.6509775061,10.5075,1.16545702148
 01/05  15:00:00,271.977602611,26.930952748,1.82187226221,0.0,62.886420148,41.4019203762,77.0482001343,65.3755310883,10.5075,1.165169046
 01/05  16:00:00,265.118376288,26.930952748,1.74492756801,0.0,62.886420148,41.4019203762,81.5312820546,69.8586138341,10.5075,1.16516822051
 01/05  17:00:00,265.562052299,26.930952748,1.67474514863,0.0,62.886420148,41.4019203762,88.3168511229,76.6441060197,10.5075,1.16524510316
 01/05  18:00:00,275.477082236,26.930952748,1.91073863741,0.0,62.886420148,41.4019203762,83.2139489424,71.5413620485,10.5075,1.16508689391
 01/05  19:00:00,270.851010319,26.930952748,1.4129028464,0.0,41.9242800987,36.8599292233,87.8765501215,77.3714935909,9.34,1.16505653064
 01/05  20:00:00,258.034842877,26.930952748,1.18266162028,0.0,41.9242800987,36.8599292233,98.1019525118,87.5970801747,9.34,1.16487233705
 01/05  21:00:00,230.54810544,26.930952748,0.807355795924,0.0,34.9369000822,32.3179380704,101.866240977,92.5288364063,8.1725,1.16490457041
 01/05  22:00:00,165.609459333,26.930952748,0.0627986869058,0.0,13.9747600329,18.6919646116,73.1360590906,67.3014309064,4.67,1.16462818416
 01/05  23:00:00,108.927510992,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  24:00:00,139.915899696,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934684246,0.0,2.335,1.16434684246
 01/06  01:00:00,109.79802949,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  02:00:00,98.5252260445,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  03:00:00,93.9204303332,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  04:00:00,90.3271167162,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992799117,0.0,2.335,1.1642799117
 01/06  05:00:00,110.085199211,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  06:00:00,107.776839812,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  07:00:00,157.358403231,26.930952748,0.0,0.0,13.9747600329,18.6919646116,249.546118747,243.711865028,4.67,1.16425371858
 01/06  08:00:00,148.826309588,26.930952748,0.0,0.0,13.9747600329,18.6919646116,232.941678096,228.251678096,4.67,0.02
 01/06  09:00:00,212.073086535,26.930952748,0.0693604932564,0.0,34.9369000822,32.3179380704,200.143724812,190.806560988,8.1725,1.1646638234
 01/06  10:00:00,236.798483181,26.930952748,0.306295020938,0.0,62.886420148,41.4019203762,168.342993384,156.670607228,10.5075,1.16488615544
 01/06  11:00:00,227.27208875,26.930952748,0.654701504136,0.0,62.886420148,41.4019203762,152.707134859,141.034597765,10.5075,1.16503709406
 01/06  12:00:00,258.33860189,26.930952748,0.945003040941,0.0,62.886420148,41.4019203762,131.728361324,120.055565241,10.5075,1.16529608265
 01/06  13:00:00,239.390346798,26.930952748,1.06602676567,0.0,62.886420148,41.4019203762,121.614359515,109.94146708,10.5075,1.16539243457
 01/06  14:00:00,237.932865446,26.930952748,1.45630010629,0.0,62.886420148,41.4019203762,112.352377422,99.5340779795,10.5075,2.31079944223
 01/06  15:00:00,233.662631314,26.930952748,1.60426800106,0.0,62.886420148,41.4019203762,109.752259913,98.0794232405,10.5075,1.16533667202
 01/06  16:00:00,229.464187679,26.930952748,1.71121408457,0.0,62.886420148,41.4019203762,111.698250925,100.025700581,10.5075,1.16505034371
 01/06  17:00:00,231.97624448,26.930952748,1.63702948655,0.0,62.886420148,41.4019203762,122.288723122,110.61609018,10.5075,1.16513294172
 01/06  18:00:00,240.528954608,26.930952748,1.31003379167,0.0,62.886420148,41.4019203762,138.187207846,126.514475383,10.5075,1.16523246245
 01/06  19:00:00,238.312589082,26.930952748,0.66579289599,0.0,41.9242800987,36.8599292233,161.436433016,150.931503775,9.34,1.16492924128
 01/06  20:00:00,214.736348504,26.930952748,0.329649005823,0.0,41.9242800987,36.8599292233,188.65925519,178.154346664,9.34,1.16490852615
 01/06  21:00:00,189.627544343,26.930952748,0.0,0.0,34.9369000822,32.3179380704,207.325608648,197.988175273,8.1725,1.16493337464
 01/06  22:00:00,133.644507364,26.930952748,0.00834467858188,0.0,13.9747600329,18.6919646116,187.543093188,182.853093188,4.67,0.02
 01/06  23:00:00,80.6359979381,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49948625315,0.0,2.335,1.16448625315
 01/06  24:00:00,115.861840346,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/07  01:00:00,83.3153316511,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91569372436,0.0,1.75125,1.16444372436
 01/07  02:00:00,76.2349084875,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/07  03:00:00,75.9797733336,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/07  04:00:00,75.6341034224,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91555449147,0.0,1.75125,1.16430449147
 01/07  05:00:00,85.8563718414,3.90734672941,0.0,0.0,3.49369000822,6.81298672936,9.57515869574,7.80390869574,1.75125,0.02
 01/07  06:00:00,89.4184943201,7.81469345882,0.0,0.0,3.49369000822,6.81298672936,17.0816686367,15.3104186367,1.75125,0.02
 01/07  07:00:00,122.057549496,26.930952748,0.0,0.0,6.98738001645,14.1499734587,392.863432716,388.196593552,3.5025,1.16433916315
 01/07  08:00:00,120.849009574,26.930952748,0.0,0.0,6.98738001645,14.1499734587,364.08468984,360.56218984,3.5025,0.02
 01/07  09:00:00,180.502966953,26.930952748,0.0,0.0,20.9621400493,23.2339557645,328.58858122,321.586479078,5.8375,1.16460214276
 01/07  10:00:00,197.857625048,26.930952748,0.0,0.0,41.9242800987,36.8599292233,280.883910447,270.379210731,9.34,1.16469971638
 01/07  11:00:00,222.917332463,26.930952748,0.0367653959497,0.0,62.886420148,41.4019203762,249.542825027,237.870176105,10.5075,1.16514892165
 01/07  12:00:00,253.543162644,26.930952748,0.015828248386,0.0,62.886420148,41.4019203762,227.474389647,215.801593479,10.5075,1.16529616767
 01/07  13:00:00,233.519870743,26.930952748,0.0,0.0,62.886420148,41.4019203762,216.600234288,204.927378742,10.5075,1.16535554673
