Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,85.3327473128,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,84.5636620402,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,83.8816259857,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91556617378,0.0,1.75125,1.16431617378
 01/01  04:00:00,83.4360808755,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,89.9153934993,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,89.4510976601,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554678645,0.0,1.75125,1.16429678645
 01/01  07:00:00,131.00654321,28.3477667768,0.0,0.0,6.98738001645,14.1499734587,317.002313205,313.479813205,3.5025,0.02
 01/01  08:00:00,136.691183228,28.3477667768,0.0,0.0,6.98738001645,14.1499734587,294.889366654,291.366866654,3.5025,0.02
 01/01  09:00:00,164.746116491,28.3477667768,0.0,0.0,6.98738001645,14.1499734587,269.694153454,265.027269006,3.5025,1.16438444858
 01/01  10:00:00,140.029229741,28.3477667768,0.0,0.0,6.98738001645,14.1499734587,260.255207692,256.732707692,3.5025,0.02
 01/01  11:00:00,174.058344921,28.3477667768,0.0,0.0,27.9495200658,27.7759469175,233.611034426,225.441274741,7.005,1.16475968553
 01/01  12:00:00,204.135786931,28.3477667768,0.0,0.0,27.9495200658,27.7759469175,221.672403391,213.50264431,7.005,1.16475908138
 01/01  13:00:00,212.745990318,28.3477667768,0.0,0.0,41.9242800987,36.8599292233,202.470560196,191.965647541,9.34,1.16491265496
 01/01  14:00:00,210.45252976,28.3477667768,0.0,0.0,41.9242800987,36.8599292233,184.456208331,175.096208331,9.34,0.02
 01/01  15:00:00,205.983635529,28.3477667768,0.0,0.0,41.9242800987,36.8599292233,192.968654072,182.463702879,9.34,1.16495119317
 01/01  16:00:00,201.605418102,28.3477667768,0.0,0.0,41.9242800987,36.8599292233,202.992344969,192.487522909,9.34,1.16482206043
 01/01  17:00:00,200.899588112,28.3477667768,0.0,0.0,41.9242800987,36.8599292233,205.307107796,194.802170193,9.34,1.16493760248
 01/01  18:00:00,182.648907282,28.3477667768,0.0,0.0,27.9495200658,27.7759469175,233.98045212,225.810502559,7.005,1.16494956164
 01/01  19:00:00,191.466481765,28.3477667768,0.0,0.0,13.9747600329,18.6919646116,244.553173037,238.718495262,4.67,1.16467777485
 01/01  20:00:00,173.291616319,28.3477667768,0.0,0.0,13.9747600329,18.6919646116,247.138031257,242.448031257,4.67,0.02
 01/01  21:00:00,163.649713001,28.3477667768,0.0,0.0,13.9747600329,18.6919646116,251.923065907,246.088450197,4.67,1.16461570988
 01/01  22:00:00,147.809899553,28.3477667768,0.0,0.0,13.9747600329,18.6919646116,209.534077348,204.844077348,4.67,0.02
 01/01  23:00:00,87.8227865151,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91547326977,0.0,1.75125,1.16422326977
 01/01  24:00:00,122.098490687,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,93.135339583,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,85.4999832515,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925670513,0.0,2.335,1.16425670513
 01/02  03:00:00,84.4436879523,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,83.5184310097,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,97.3065888885,8.17660719113,0.0,0.0,3.49369000822,9.08398230582,12.7761499711,9.27691436801,2.335,1.16423560313
 01/02  06:00:00,96.5649529762,8.17660719113,0.0,0.0,3.49369000822,9.08398230582,12.3433974631,9.98839746315,2.335,0.02
 01/02  07:00:00,140.543663339,28.3477667768,0.0,0.0,13.9747600329,18.6919646116,344.794920664,340.104920664,4.67,0.02
 01/02  08:00:00,143.569758256,28.3477667768,0.0,0.0,13.9747600329,18.6919646116,324.321884064,318.487456198,4.67,1.16442786635
 01/02  09:00:00,212.300722741,28.3477667768,0.0,0.0,34.9369000822,32.3179380704,283.908248437,275.715748437,8.1725,0.02
 01/02  10:00:00,236.757940554,28.3477667768,0.0,0.0,62.886420148,41.4019203762,249.380974379,237.708592148,10.5075,1.16488223074
 01/02  11:00:00,227.274475965,28.3477667768,0.0,0.0,62.886420148,41.4019203762,231.176796464,219.50423748,10.5075,1.16505898333
 01/02  12:00:00,257.398532795,28.3477667768,0.0,0.0,62.886420148,41.4019203762,219.861506168,208.188557137,10.5075,1.16544903146
 01/02  13:00:00,237.184798483,28.3477667768,0.0,0.0,62.886420148,41.4019203762,225.332520756,212.514009278,10.5075,2.31101147753
 01/02  14:00:00,234.340713584,28.3477667768,0.0,0.0,62.886420148,41.4019203762,235.72519312,224.052210503,10.5075,1.16548261708
 01/02  15:00:00,230.378634029,28.3477667768,0.0,0.0,62.886420148,41.4019203762,238.690264934,227.01758126,10.5075,1.1651836735
 01/02  16:00:00,226.75301302,28.3477667768,0.0,0.0,62.886420148,41.4019203762,231.352939144,219.680272606,10.5075,1.16516653804
 01/02  17:00:00,226.012311734,28.3477667768,0.0,0.0,62.886420148,41.4019203762,230.59930722,218.926824979,10.5075,1.16498224184
 01/02  18:00:00,235.746361391,28.3477667768,0.0,0.0,62.886420148,41.4019203762,238.52982426,226.857270713,10.5075,1.16505354742
 01/02  19:00:00,237.772829203,28.3477667768,0.0,0.0,41.9242800987,36.8599292233,246.189199859,235.684192357,9.34,1.16500750131
 01/02  20:00:00,221.863949957,28.3477667768,0.0,0.0,41.9242800987,36.8599292233,256.03899165,245.534180494,9.34,1.16481115527
 01/02  21:00:00,196.981186407,28.3477667768,0.0,0.0,34.9369000822,32.3179380704,271.887841512,262.550513952,8.1725,1.1648275594
 01/02  22:00:00,138.907657847,28.3477667768,0.0,0.0,13.9747600329,18.6919646116,254.220840682,248.386150724,4.67,1.16468995807
 01/02  23:00:00,79.6950211042,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,115.313796842,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
