Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,81.6530464077,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,81.1864851136,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,80.9687798464,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91556373487,0.0,1.75125,1.16431373487
 01/01  04:00:00,80.7733675542,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,87.1948047412,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,86.631315678,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554272244,0.0,1.75125,1.16429272244
 01/01  07:00:00,123.331942131,24.1380260449,0.0,0.0,6.98738001645,14.1499734587,389.240058957,385.717558957,3.5025,0.02
 01/01  08:00:00,130.820066252,24.1380260449,0.0,0.0,6.98738001645,14.1499734587,362.884622195,359.362122195,3.5025,0.02
 01/01  09:00:00,156.189558262,24.1380260449,0.0,0.0,6.98738001645,14.1499734587,322.639852622,317.972975165,3.5025,1.16437745713
 01/01  10:00:00,130.795669465,24.1380260449,0.0,0.0,6.98738001645,14.1499734587,296.074165723,292.551665723,3.5025,0.02
 01/01  11:00:00,165.353085382,24.1380260449,0.0,0.0,27.9495200658,27.7759469175,252.022839264,243.853091844,7.005,1.16474741927
 01/01  12:00:00,195.962216529,24.1380260449,0.0,0.0,27.9495200658,27.7759469175,228.670133232,220.500390413,7.005,1.16474281909
 01/01  13:00:00,204.142751581,24.1380260449,0.0,0.0,41.9242800987,36.8599292233,208.612466277,198.107574796,9.34,1.16489148117
 01/01  14:00:00,201.421151591,24.1380260449,0.0,0.0,41.9242800987,36.8599292233,204.714049707,195.354049707,9.34,0.02
 01/01  15:00:00,197.235157345,24.1380260449,0.0,0.0,41.9242800987,36.8599292233,201.359210476,190.854284692,9.34,1.16492578375
 01/01  16:00:00,193.550968759,24.1380260449,0.0,0.0,41.9242800987,36.8599292233,205.799833789,195.295040633,9.34,1.16479315622
 01/01  17:00:00,203.354829259,24.1380260449,0.0,0.0,41.9242800987,36.8599292233,217.431294287,206.926390292,9.34,1.16490399472
 01/01  18:00:00,178.135447865,24.1380260449,0.0,0.0,27.9495200658,27.7759469175,245.51025649,237.340344556,7.005,1.16491193389
 01/01  19:00:00,183.730712699,24.1380260449,0.0,0.0,13.9747600329,18.6919646116,256.076964481,250.242326705,4.67,1.16463777541
 01/01  20:00:00,164.249420687,24.1380260449,0.0,0.0,13.9747600329,18.6919646116,260.39665722,255.70665722,4.67,0.02
 01/01  21:00:00,154.528796932,24.1380260449,0.0,0.0,13.9747600329,18.6919646116,264.601700457,258.767128101,4.67,1.16457235609
 01/01  22:00:00,139.509613773,24.1380260449,0.0,0.0,13.9747600329,18.6919646116,221.49490511,216.80490511,4.67,0.02
 01/01  23:00:00,83.5902433352,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91565834685,0.0,1.75125,1.16440834685
 01/01  24:00:00,118.465295287,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,90.2351210047,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,82.8259087031,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49928282414,0.0,2.335,1.16428282414
 01/02  03:00:00,82.262470799,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,81.5777758655,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,87.5300271956,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925610019,0.0,2.335,1.16425610019
 01/02  06:00:00,86.6388035742,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,135.310555407,24.1380260449,0.0,0.0,13.9747600329,18.6919646116,336.73992206,332.04992206,4.67,0.02
 01/02  08:00:00,141.739670642,24.1380260449,0.0,0.0,13.9747600329,18.6919646116,313.80735584,307.972865019,4.67,1.16449082032
 01/02  09:00:00,208.286331813,24.1380260449,0.0,0.0,34.9369000822,32.3179380704,267.771524644,259.579024644,8.1725,0.02
 01/02  10:00:00,233.884815317,24.1380260449,0.0,0.0,62.886420148,41.4019203762,232.252469453,220.580083574,10.5075,1.16488587896
 01/02  11:00:00,225.146492964,24.1380260449,0.0,0.0,62.886420148,41.4019203762,217.583531026,205.911035509,10.5075,1.16499551696
 01/02  12:00:00,255.844501085,24.1380260449,0.0,0.0,62.886420148,41.4019203762,202.534480669,190.861602503,10.5075,1.16537816636
 01/02  13:00:00,236.861678276,24.1380260449,0.0,0.0,62.886420148,41.4019203762,190.543219427,177.724865584,10.5075,2.31085384348
 01/02  14:00:00,234.054776393,24.1380260449,0.0,0.0,62.886420148,41.4019203762,183.44842069,171.775524423,10.5075,1.16539626665
 01/02  15:00:00,229.95320115,24.1380260449,0.0,0.0,62.886420148,41.4019203762,188.388896884,176.716302602,10.5075,1.16509428217
 01/02  16:00:00,226.485610188,24.1380260449,0.0,0.0,62.886420148,41.4019203762,188.629766338,176.957194015,10.5075,1.16507232301
 01/02  17:00:00,233.297677979,24.1380260449,0.0,0.0,62.886420148,41.4019203762,192.098814034,180.426188019,10.5075,1.16512601433
 01/02  18:00:00,239.82127321,24.1380260449,0.0,0.0,62.886420148,41.4019203762,197.420452453,185.747756352,10.5075,1.16519610099
 01/02  19:00:00,238.192049019,24.1380260449,0.0,0.0,41.9242800987,36.8599292233,210.380470091,199.875345483,9.34,1.16512460862
 01/02  20:00:00,222.712532648,24.1380260449,0.0,0.0,41.9242800987,36.8599292233,221.399799473,210.894907959,9.34,1.16489151439
 01/02  21:00:00,197.757758461,24.1380260449,0.0,0.0,34.9369000822,32.3179380704,225.35534911,216.017949954,8.1725,1.16489915536
 01/02  22:00:00,139.895064782,24.1380260449,0.0,0.0,13.9747600329,18.6919646116,192.696129257,186.861559232,4.67,1.16457002473
 01/02  23:00:00,86.3273948777,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,121.067173893,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,90.6988798491,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926978069,0.0,2.335,1.16426978069
 01/03  02:00:00,83.1183122679,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,82.3879932263,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,81.8318556623,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926979768,0.0,2.335,1.16426979768
 01/03  05:00:00,103.751524239,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,103.168526605,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
