Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,76.4739483136,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,77.4753089218,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,77.5654670409,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91560681885,0.0,1.75125,1.16435681885
 01/01  04:00:00,82.4428971949,4.30848999336,0.0,0.0,3.49369000822,6.81298672936,6.27634118519,4.50509118519,1.75125,0.02
 01/01  05:00:00,90.4069984798,4.30848999336,0.0,0.0,3.49369000822,6.81298672936,5.91081062252,4.13956062252,1.75125,0.02
 01/01  06:00:00,95.6671638919,8.61697998672,0.0,0.0,3.49369000822,6.81298672936,11.1667676547,8.25119574273,1.75125,1.16432191199
 01/01  07:00:00,132.10213714,30.2255967641,0.0,0.0,6.98738001645,14.1499734587,352.164862458,348.642362458,3.5025,0.02
 01/01  08:00:00,138.410816939,30.2255967641,0.0,0.0,6.98738001645,14.1499734587,316.456409142,312.933909142,3.5025,0.02
 01/01  09:00:00,166.430882327,30.2255967641,0.0,0.0,6.98738001645,14.1499734587,282.009233779,277.342348986,3.5025,1.16438479345
 01/01  10:00:00,140.315120169,30.2255967641,0.0,0.0,6.98738001645,14.1499734587,276.189871225,272.667371225,3.5025,0.02
 01/01  11:00:00,172.969057515,30.2255967641,0.0,0.0,27.9495200658,27.7759469175,252.600103204,244.430345234,7.005,1.16475796938
 01/01  12:00:00,201.983787299,30.2255967641,0.0,0.0,27.9495200658,27.7759469175,246.577767562,238.407962641,7.005,1.16480492117
 01/01  13:00:00,208.784876673,30.2255967641,0.0,0.0,41.9242800987,36.8599292233,239.995837537,229.490831827,9.34,1.16500570972
 01/01  14:00:00,205.020724877,30.2255967641,0.0,0.0,41.9242800987,36.8599292233,242.630198995,232.125260761,9.34,1.16493823386
 01/01  15:00:00,199.509030284,30.2255967641,0.0,0.0,41.9242800987,36.8599292233,244.55166417,234.046654487,9.34,1.16500968355
 01/01  16:00:00,194.755573374,30.2255967641,0.0,0.0,41.9242800987,36.8599292233,254.014963583,243.5100197,9.34,1.16494388259
 01/01  17:00:00,193.529568856,30.2255967641,0.0,0.0,41.9242800987,36.8599292233,265.496462168,254.991528178,9.34,1.16493399023
 01/01  18:00:00,177.429210326,30.2255967641,0.0,0.0,27.9495200658,27.7759469175,311.100989021,304.075989021,7.005,0.02
 01/01  19:00:00,183.627672454,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,334.990015123,329.155256331,4.67,1.16475879147
 01/01  20:00:00,163.361581299,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,343.305445754,337.470730396,4.67,1.16471535782
 01/01  21:00:00,154.879666561,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,350.695995304,344.861388831,4.67,1.16460647265
 01/01  22:00:00,140.560859477,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,311.019678546,306.329678546,4.67,0.02
 01/01  23:00:00,77.2355376567,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559935762,0.0,1.75125,1.16434935762
 01/01  24:00:00,112.953709118,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,88.1727338171,4.30848999336,0.0,0.0,3.49369000822,9.08398230582,10.8580113866,8.50301138661,2.335,0.02
 01/02  02:00:00,90.7785099473,12.9254699801,0.0,0.0,3.49369000822,9.08398230582,30.3465657226,27.9915657226,2.335,0.02
 01/02  03:00:00,86.4225680505,8.61697998672,0.0,0.0,3.49369000822,9.08398230582,27.1136173635,23.6143216204,2.335,1.16429574315
 01/02  04:00:00,90.9761219703,13.3682827542,0.0,0.0,3.49369000822,9.08398230582,44.6131376984,42.2581376984,2.335,0.02
 01/02  05:00:00,100.45253455,16.171971481,0.0,0.0,3.49369000822,9.08398230582,49.4390367037,47.0840367037,2.335,0.02
 01/02  06:00:00,98.1486261853,14.3616921987,0.0,0.0,3.49369000822,9.08398230582,44.6128023775,41.1135263395,2.335,1.16427603807
 01/02  07:00:00,139.299474639,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,518.911175017,514.221175017,4.67,0.02
 01/02  08:00:00,141.542774384,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,465.94113974,460.106669502,4.67,1.16447023827
 01/02  09:00:00,210.993642594,30.2255967641,0.0,0.0,34.9369000822,32.3179380704,398.85463633,390.66213633,8.1725,0.02
 01/02  10:00:00,235.136528538,30.2255967641,0.0,0.0,62.886420148,41.4019203762,336.464299171,324.791900241,10.5075,1.16489892969
 01/02  11:00:00,225.524337255,30.2255967641,0.0,0.0,62.886420148,41.4019203762,293.089225996,281.41670625,10.5075,1.16501974554
 01/02  12:00:00,256.509076125,30.2255967641,0.0,0.0,62.886420148,41.4019203762,251.546775672,239.873771379,10.5075,1.16550429306
 01/02  13:00:00,237.234408382,30.2255967641,0.0,0.0,62.886420148,41.4019203762,213.514582467,200.696086058,10.5075,2.31099640931
 01/02  14:00:00,235.00004351,30.2255967641,0.135895443344,0.0,62.886420148,41.4019203762,180.081341687,168.408432004,10.5075,1.16540968347
 01/02  15:00:00,231.750288056,30.2255967641,0.504384411126,0.0,62.886420148,41.4019203762,162.767663133,151.094962432,10.5075,1.16520070016
 01/02  16:00:00,228.097088299,30.2255967641,0.583654500492,0.0,62.886420148,41.4019203762,162.648607819,149.830734563,10.5075,2.31037325613
 01/02  17:00:00,227.611584657,30.2255967641,0.502576961659,0.0,62.886420148,41.4019203762,175.241563017,163.568821827,10.5075,1.16524118987
 01/02  18:00:00,240.693936789,30.2255967641,0.368044228813,0.0,62.886420148,41.4019203762,190.226831918,178.554203002,10.5075,1.165128916
 01/02  19:00:00,239.575388202,30.2255967641,0.0176188115771,0.0,41.9242800987,36.8599292233,203.517857506,193.01276269,9.34,1.1650948164
 01/02  20:00:00,223.050569491,30.2255967641,0.0,0.0,41.9242800987,36.8599292233,215.718421895,205.213551505,9.34,1.16487039061
 01/02  21:00:00,198.130135555,30.2255967641,0.0,0.0,34.9369000822,32.3179380704,222.827592421,213.490156492,8.1725,1.16493592897
 01/02  22:00:00,141.309681242,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,189.831785016,185.141785016,4.67,0.02
 01/02  23:00:00,80.6200278539,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49949768839,0.0,2.335,1.16449768839
 01/02  24:00:00,116.172278825,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,85.8475800724,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,78.4431720101,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930594954,0.0,2.335,1.16430594954
 01/03  03:00:00,77.8187272748,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,77.6199196694,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,104.536077522,4.30848999336,0.0,0.0,3.49369000822,9.08398230582,8.9502918342,5.45105715217,2.335,1.16423468204
 01/03  06:00:00,109.315187775,8.61697998672,0.0,0.0,3.49369000822,9.08398230582,12.3646392451,10.0096392451,2.335,0.02
 01/03  07:00:00,157.198937036,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,334.514543384,329.824543384,4.67,0.02
 01/03  08:00:00,154.801663017,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,295.974974611,290.140435169,4.67,1.16453944219
 01/03  09:00:00,217.825872398,30.2255967641,0.0,0.0,34.9369000822,32.3179380704,249.175060222,239.837922152,8.1725,1.16463807056
 01/03  10:00:00,246.913403728,30.2255967641,0.0273286135766,0.0,62.886420148,41.4019203762,202.848797362,192.321297362,10.5075,0.02
 01/03  11:00:00,239.419104348,30.2255967641,0.168422611342,0.0,62.886420148,41.4019203762,181.3050924,169.632497811,10.5075,1.16509458901
 01/03  12:00:00,270.394914604,30.2255967641,0.433499550776,0.0,62.886420148,41.4019203762,167.74167328,154.923151463,10.5075,2.31102181717
 01/03  13:00:00,254.089798249,30.2255967641,0.611082242596,0.0,62.886420148,41.4019203762,152.810787618,141.137602916,10.5075,1.16568470111
 01/03  14:00:00,252.37440378,30.2255967641,0.764841651501,0.0,62.886420148,41.4019203762,141.717284771,128.898926058,10.5075,2.31085871241
 01/03  15:00:00,248.765414454,30.2255967641,0.834116412951,0.0,62.886420148,41.4019203762,134.897929554,123.225277989,10.5075,1.16515156493
 01/03  16:00:00,244.278141764,30.2255967641,0.824627373176,0.0,62.886420148,41.4019203762,136.465764238,124.793091367,10.5075,1.16517287089
 01/03  17:00:00,242.604525158,30.2255967641,0.741589068236,0.0,62.886420148,41.4019203762,147.339030822,135.666226742,10.5075,1.16530408054
 01/03  18:00:00,254.959060939,30.2255967641,0.700440465861,0.0,62.886420148,41.4019203762,154.911124668,143.238436441,10.5075,1.16518822776
 01/03  19:00:00,252.005660018,30.2255967641,0.42498150481,0.0,41.9242800987,36.8599292233,163.224222573,152.719044473,9.34,1.16517809976
 01/03  20:00:00,230.549808321,30.2255967641,0.298394441077,0.0,41.9242800987,36.8599292233,174.560317088,164.055326375,9.34,1.16499071369
 01/03  21:00:00,204.971597348,30.2255967641,0.0730676839222,0.0,34.9369000822,32.3179380704,177.073741023,167.736380499,8.1725,1.164860524
 01/03  22:00:00,148.021963931,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,140.262596891,134.427988435,4.67,1.16460845557
 01/03  23:00:00,94.2211034148,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  24:00:00,128.288856801,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49933842845,0.0,2.335,1.16433842845
 01/04  01:00:00,99.3098848207,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  02:00:00,91.1770137643,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  03:00:00,89.7598408835,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  04:00:00,89.105217643,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49928290406,0.0,2.335,1.16428290406
 01/04  05:00:00,95.2011748066,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  06:00:00,95.1559839724,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  07:00:00,154.221780649,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,211.713870103,205.879599571,4.67,1.16427053274
 01/04  08:00:00,163.570489345,30.2255967641,0.0,0.0,13.9747600329,18.6919646116,189.430131417,184.740131417,4.67,0.02
 01/04  09:00:00,231.876451874,30.2255967641,0.0107451768805,0.0,34.9369000822,32.3179380704,167.098095749,157.760938342,8.1725,1.16465740667
 01/04  10:00:00,261.593039118,30.2255967641,0.58907751578,0.0,62.886420148,41.4019203762,128.41067609,116.738360585,10.5075,1.16481550579
 01/04  11:00:00,256.082739769,30.2255967641,1.00317206803,0.0,62.886420148,41.4019203762,106.083554166,94.4110741342,10.5075,1.16498003141
 01/04  12:00:00,283.347240652,30.2255967641,1.2525584818,0.0,62.886420148,41.4019203762,86.3012776148,74.6282362541,10.5075,1.1655413607
 01/04  13:00:00,262.941378518,30.2255967641,1.12735596647,0.0,62.886420148,41.4019203762,101.823109793,89.0044859467,10.5075,2.31112384586
 01/04  14:00:00,256.025019084,30.2255967641,1.08643356857,0.0,62.886420148,41.4019203762,108.086457102,96.4134842013,10.5075,1.16547290108
 01/04  15:00:00,244.691426267,30.2255967641,1.03392535187,0.0,62.886420148,41.4019203762,122.716135665,111.043419679,10.5075,1.16521598614
 01/04  16:00:00,236.680476579,30.2255967641,1.04503924318,0.0,62.886420148,41.4019203762,128.692403442,117.019642016,10.5075,1.16526142512
