Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,85.6873808848,8.96449868143,0.0,0.0,3.49369000822,6.81298672936,17.2822258925,15.5109758925,1.75125,0.02
 01/01  02:00:00,85.031626796,8.96449868143,0.0,0.0,3.49369000822,6.81298672936,19.2803354884,17.5090854884,1.75125,0.02
 01/01  03:00:00,89.2294213264,13.4467480221,0.0,0.0,3.49369000822,6.81298672936,34.4523761782,31.5367651662,1.75125,1.16436101209
 01/01  04:00:00,89.6185749487,13.8152629493,0.00119749747553,0.0,3.49369000822,6.81298672936,34.2096824122,32.4384324122,1.75125,0.02
 01/01  05:00:00,93.4315324126,11.0679761073,0.000593453234087,0.0,3.49369000822,6.81298672936,27.3309465685,25.5596965685,1.75125,0.02
 01/01  06:00:00,98.2116545888,16.4365892148,0.0,0.0,3.49369000822,6.81298672936,46.9029406544,43.9873584583,1.75125,1.16433219604
 01/01  07:00:00,126.459072813,31.1457864947,0.0,0.0,6.98738001645,14.1499734587,495.074733106,491.552233106,3.5025,0.02
 01/01  08:00:00,132.133970375,31.1457864947,0.0,0.0,6.98738001645,14.1499734587,452.193789079,448.671289079,3.5025,0.02
 01/01  09:00:00,157.235641024,31.1457864947,0.0,0.0,6.98738001645,14.1499734587,403.538152244,398.871186497,3.5025,1.16446574638
 01/01  10:00:00,130.065940214,31.1457864947,0.0,0.0,6.98738001645,14.1499734587,390.263906546,386.741406546,3.5025,0.02
 01/01  11:00:00,164.695116998,31.1457864947,0.0,0.0,27.9495200658,27.7759469175,357.568210238,349.398317681,7.005,1.16489255728
 01/01  12:00:00,195.791551699,31.1457864947,0.0,0.0,27.9495200658,27.7759469175,344.45803804,336.288054868,7.005,1.16498317207
 01/01  13:00:00,203.010675671,31.1457864947,0.0,0.0,41.9242800987,36.8599292233,315.980213763,305.475201347,9.34,1.1650124153
 01/01  14:00:00,200.700875791,31.1457864947,0.0,0.0,41.9242800987,36.8599292233,301.696569777,291.191584881,9.34,1.16498489575
 01/01  15:00:00,197.108950508,31.1457864947,0.0,0.0,41.9242800987,36.8599292233,293.793955543,283.289059244,9.34,1.16489629858
 01/01  16:00:00,194.107706451,31.1457864947,0.0,0.0,41.9242800987,36.8599292233,290.152482091,279.647401219,9.34,1.16508087154
 01/01  17:00:00,201.135611463,31.1457864947,0.0,0.0,41.9242800987,36.8599292233,287.924676484,277.419571796,9.34,1.16510468858
 01/01  18:00:00,179.479476477,31.1457864947,0.0,0.0,27.9495200658,27.7759469175,333.542771579,325.372781305,7.005,1.16499027454
 01/01  19:00:00,185.73309984,31.1457864947,0.0,0.0,13.9747600329,18.6919646116,350.212816144,344.378037851,4.67,1.16477829287
 01/01  20:00:00,165.945399178,31.1457864947,0.0,0.0,13.9747600329,18.6919646116,353.330448638,348.640448638,4.67,0.02
 01/01  21:00:00,156.755777098,31.1457864947,0.0,0.0,13.9747600329,18.6919646116,356.742442792,350.907795391,4.67,1.16464740076
 01/01  22:00:00,142.206261379,31.1457864947,0.0,0.0,13.9747600329,18.6919646116,318.800813205,312.966223398,4.67,1.16458980694
 01/01  23:00:00,79.2570811812,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,114.893260488,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,94.0859767317,8.96449868143,0.0,0.0,3.49369000822,9.08398230582,19.5288413546,16.029563473,2.335,1.1642778816
 01/02  02:00:00,87.2011229494,8.96449868143,0.0,0.0,3.49369000822,9.08398230582,21.3845287059,19.0295287059,2.335,0.02
 01/02  03:00:00,91.3549784897,13.4467480221,0.0,0.0,3.49369000822,9.08398230582,36.8397122044,34.4847122044,2.335,0.02
 01/02  04:00:00,91.8911039648,13.9995204129,0.00280037024531,0.0,3.49369000822,9.08398230582,38.861122325,35.3618406089,2.335,1.16428171616
 01/02  05:00:00,95.8429791393,11.4333943534,0.0,0.0,3.49369000822,9.08398230582,30.9078089082,28.5528089082,2.335,0.02
 01/02  06:00:00,102.303479701,18.5448931208,0.0,0.0,3.49369000822,9.08398230582,51.0316011041,48.6766011041,2.335,0.02
 01/02  07:00:00,140.508247134,31.1457864947,0.0,0.0,13.9747600329,18.6919646116,473.895914877,468.061667493,4.67,1.16424738455
 01/02  08:00:00,146.044404629,31.1457864947,0.0,0.0,13.9747600329,18.6919646116,443.866355444,439.176355444,4.67,0.02
 01/02  09:00:00,211.986896904,31.1457864947,0.0,0.0,34.9369000822,32.3179380704,418.288704402,408.951427954,8.1725,1.16477644871
 01/02  10:00:00,235.942335535,31.1457864947,0.0,0.0,62.886420148,41.4019203762,384.459410384,372.787090959,10.5075,1.16481942512
