Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,87.8791911884,12.6033405249,0.0,0.0,3.49369000822,6.81298672936,21.618811775,19.847561775,1.75125,0.02
 01/01  02:00:00,91.819249503,16.5291838436,0.00308070603255,0.0,3.49369000822,6.81298672936,30.3666788449,28.5954288449,1.75125,0.02
 01/01  03:00:00,90.6010300632,15.3450708197,0.00126486785552,0.0,3.49369000822,6.81298672936,25.9428307679,23.0272838076,1.75125,1.1642969603
 01/01  04:00:00,102.162438644,27.1275109464,0.0,0.0,3.49369000822,6.81298672936,43.8174277941,42.0461777941,1.75125,0.02
 01/01  05:00:00,108.405338081,26.594369691,0.0,0.0,3.49369000822,6.81298672936,43.1237094597,41.3524594597,1.75125,0.02
 01/01  06:00:00,102.274758273,20.9009387393,0.0,0.0,3.49369000822,6.81298672936,34.4497141559,31.5341230891,1.75125,1.16434106685
 01/01  07:00:00,137.909548867,43.1360002891,0.0,0.0,6.98738001645,14.1499734587,478.943413949,475.420913949,3.5025,0.02
 01/01  08:00:00,143.679992192,43.1360002891,0.0,0.0,6.98738001645,14.1499734587,441.537591089,438.015091089,3.5025,0.02
 01/01  09:00:00,168.95696865,43.1360002891,0.0,0.0,6.98738001645,14.1499734587,372.145361226,367.478413324,3.5025,1.16444790148
 01/01  10:00:00,141.616221562,43.1360002891,0.0,0.0,6.98738001645,14.1499734587,337.505029518,333.982529518,3.5025,0.02
 01/01  11:00:00,176.2618758,43.1360002891,0.0,0.0,27.9495200658,27.7759469175,298.001119672,289.831256356,7.005,1.16486331666
 01/01  12:00:00,207.59885877,43.1360002891,0.0,0.0,27.9495200658,27.7759469175,284.388670548,276.218725873,7.005,1.16494467465
 01/01  13:00:00,214.844233449,43.1360002891,0.0,0.0,41.9242800987,36.8599292233,261.123323807,250.618358993,9.34,1.16496481453
 01/01  14:00:00,212.114460209,43.1360002891,0.0,0.0,41.9242800987,36.8599292233,252.587404999,242.082476172,9.34,1.1649288278
 01/01  15:00:00,208.284424204,43.1360002891,0.0,0.0,41.9242800987,36.8599292233,241.622258895,231.117213335,9.34,1.16504556053
 01/01  16:00:00,204.862431178,43.1360002891,0.0,0.0,41.9242800987,36.8599292233,235.848575776,225.343569272,9.34,1.16500650443
 01/01  17:00:00,208.227127144,43.1360002891,0.0,0.0,41.9242800987,36.8599292233,248.610272086,238.105250749,9.34,1.1650213372
 01/01  18:00:00,189.926304282,43.1360002891,0.0,0.0,27.9495200658,27.7759469175,305.018856513,296.848956927,7.005,1.16489958546
 01/01  19:00:00,196.362329022,43.1360002891,0.0,0.0,13.9747600329,18.6919646116,329.775045144,323.940363071,4.67,1.16468207321
 01/01  20:00:00,176.336186244,43.1360002891,0.0,0.0,13.9747600329,18.6919646116,339.619677007,334.929677007,4.67,0.02
 01/01  21:00:00,167.571618153,43.1360002891,0.0,0.0,13.9747600329,18.6919646116,347.76072459,341.926028557,4.67,1.16469603291
 01/01  22:00:00,153.331995882,43.1360002891,0.0,0.0,13.9747600329,18.6919646116,306.705549767,300.871069002,4.67,1.1644807643
 01/01  23:00:00,76.7655643502,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,123.590426304,10.8028633071,0.0,0.0,3.49369000822,6.81298672936,16.6199578178,14.8487078178,1.75125,0.02
 01/02  01:00:00,94.5655141673,10.8028633071,0.0,0.0,3.49369000822,9.08398230582,21.8604017021,18.361162638,2.335,1.16423906415
 01/02  02:00:00,94.1096211699,16.7457764323,0.00684508103443,0.0,3.49369000822,9.08398230582,36.5003868262,34.1453868262,2.335,0.02
 01/02  03:00:00,101.158000015,23.6647399307,0.0,0.0,3.49369000822,9.08398230582,38.6033590466,36.2483590466,2.335,0.02
 01/02  04:00:00,97.1111849372,19.6292933498,0.0,0.0,3.49369000822,9.08398230582,30.6614215221,27.1621327019,2.335,1.16428882024
 01/02  05:00:00,112.339326743,28.4971850582,0.0,0.0,3.49369000822,9.08398230582,51.5155670592,49.1605670592,2.335,0.02
 01/02  06:00:00,110.075832514,26.5189629816,0.0,0.0,3.49369000822,9.08398230582,50.7938904259,48.4388904259,2.335,0.02
 01/02  07:00:00,152.293355705,43.1360002891,0.0,0.0,13.9747600329,18.6919646116,459.718824546,455.028824546,4.67,0.02
 01/02  08:00:00,157.738104901,43.1360002891,0.0,0.0,13.9747600329,18.6919646116,429.915116809,424.080564514,4.67,1.16455229475
 01/02  09:00:00,223.825407177,43.1360002891,0.0,0.0,34.9369000822,32.3179380704,372.518958694,363.181812856,8.1725,1.16464583872
 01/02  10:00:00,247.866424436,43.1360002891,0.0,0.0,62.886420148,41.4019203762,324.594619545,312.922236425,10.5075,1.16488311943
 01/02  11:00:00,238.093269502,43.1360002891,0.0,0.0,62.886420148,41.4019203762,295.740225324,284.067595936,10.5075,1.16512938864
 01/02  12:00:00,269.018739914,43.1360002891,0.0,0.0,62.886420148,41.4019203762,277.487828865,265.814827735,10.5075,1.1655011301
 01/02  13:00:00,248.765706332,43.1360002891,0.0,0.0,62.886420148,41.4019203762,264.068170583,251.249519652,10.5075,2.31115093057
 01/02  14:00:00,245.475456198,43.1360002891,0.0,0.0,62.886420148,41.4019203762,243.895358588,232.222323838,10.5075,1.16553475033
 01/02  15:00:00,241.687378266,43.1360002891,0.0,0.0,62.886420148,41.4019203762,227.05948424,215.386683513,10.5075,1.16530072723
 01/02  16:00:00,238.292141528,43.1360002891,0.0,0.0,62.886420148,41.4019203762,222.62326977,210.950654865,10.5075,1.16511490526
 01/02  17:00:00,238.328393003,43.1360002891,0.0,0.0,62.886420148,41.4019203762,229.417718018,216.599781691,10.5075,2.31043632715
 01/02  18:00:00,251.895100908,43.1360002891,0.0,0.0,62.886420148,41.4019203762,244.034083359,232.361228723,10.5075,1.16535463589
 01/02  19:00:00,251.301247824,43.1360002891,0.0,0.0,41.9242800987,36.8599292233,257.582125085,247.077046559,9.34,1.16507852627
 01/02  20:00:00,235.095829908,43.1360002891,0.0,0.0,41.9242800987,36.8599292233,270.592972178,260.088094287,9.34,1.16487789091
 01/02  21:00:00,210.089020502,43.1360002891,0.0,0.0,34.9369000822,32.3179380704,289.617457065,280.279978263,8.1725,1.16497880245
 01/02  22:00:00,153.238991551,43.1360002891,0.0,0.0,13.9747600329,18.6919646116,261.327792129,256.637792129,4.67,0.02
 01/02  23:00:00,79.0218026622,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49951051402,0.0,2.335,1.16451051402
 01/02  24:00:00,115.058925576,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,99.8916917091,16.2042949606,0.0,0.0,3.49369000822,9.08398230582,24.7985173761,21.2992484724,2.335,1.16426890369
