Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,85.5647414418,9.23151906851,0.0,0.0,3.49369000822,6.81298672936,19.9980789936,18.2268289936,1.75125,0.02
 01/01  02:00:00,89.7286542521,14.1725326934,0.00195915231524,0.0,3.49369000822,6.81298672936,40.5657307593,38.7944807593,1.75125,0.02
 01/01  03:00:00,93.4234874974,17.9567545034,0.0,0.0,3.49369000822,6.81298672936,44.7308386442,41.8152120021,1.75125,1.16437664209
 01/01  04:00:00,90.2519620565,14.8747921966,0.0,0.0,3.49369000822,6.81298672936,35.2283827257,33.4571327257,1.75125,0.02
 01/01  05:00:00,103.148976087,21.4281402357,0.0,0.0,3.49369000822,6.81298672936,57.2094964057,55.4382464057,1.75125,0.02
 01/01  06:00:00,103.621621194,22.18671261,0.0,0.0,3.49369000822,6.81298672936,58.1627708926,55.2471739225,1.75125,1.16434697015
 01/01  07:00:00,129.135466267,34.094825954,0.0,0.0,6.98738001645,14.1499734587,543.858156313,540.335656313,3.5025,0.02
 01/01  08:00:00,138.045317591,34.094825954,0.0,0.0,6.98738001645,14.1499734587,502.192580163,497.525692898,3.5025,1.1643872654
 01/01  09:00:00,170.099647603,34.094825954,0.0,0.0,6.98738001645,14.1499734587,445.961197383,442.438697383,3.5025,0.02
 01/01  10:00:00,132.483608891,34.094825954,0.0,0.0,6.98738001645,14.1499734587,436.236409214,431.569415,3.5025,1.16449421387
 01/01  11:00:00,167.136963701,34.094825954,0.0,0.0,27.9495200658,27.7759469175,395.508072442,388.483072442,7.005,0.02
 01/01  12:00:00,198.517658019,34.094825954,0.0,0.0,27.9495200658,27.7759469175,369.582061303,361.412111007,7.005,1.16495029619
 01/01  13:00:00,205.654453558,34.094825954,0.0,0.0,41.9242800987,36.8599292233,348.210063955,337.705066885,9.34,1.16499707016
 01/01  14:00:00,202.984497608,34.094825954,0.0,0.0,41.9242800987,36.8599292233,339.335368335,328.83035905,9.34,1.16500928475
 01/01  15:00:00,199.182575412,34.094825954,0.0,0.0,41.9242800987,36.8599292233,318.546434601,308.041467487,9.34,1.16496711397
