Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,95.1835432935,19.9091090434,0.0,0.0,3.49369000822,6.81298672936,19.0609726169,17.2897226169,1.75125,0.02
 01/01  02:00:00,95.3294621382,19.9091090434,0.0,0.0,3.49369000822,6.81298672936,18.9340024412,17.1627524412,1.75125,0.02
 01/01  03:00:00,88.6422521853,13.2727393623,0.0,0.0,3.49369000822,6.81298672936,15.6511596809,12.7355368285,1.75125,1.16437285238
 01/01  04:00:00,95.0820578267,19.9091090434,0.0,0.0,3.49369000822,6.81298672936,24.435761125,22.664511125,1.75125,0.02
 01/01  05:00:00,102.298438759,20.3796138199,0.00465717354104,0.0,3.49369000822,6.81298672936,24.389817817,22.618567817,1.75125,0.02
 01/01  06:00:00,99.7185683359,18.2504872339,0.0051292397548,0.0,3.49369000822,6.81298672936,21.3648735595,18.4492627474,1.75125,1.1643608121
 01/01  07:00:00,146.754626926,51.8719125032,0.0,0.0,6.98738001645,14.1499734587,406.661437313,403.138937313,3.5025,0.02
 01/01  08:00:00,149.077686183,51.8719125032,0.0,0.0,6.98738001645,14.1499734587,379.661036414,374.994155958,3.5025,1.16438045606
 01/01  09:00:00,177.717626816,51.8719125032,0.0,0.0,6.98738001645,14.1499734587,328.189945706,324.667445706,3.5025,0.02
 01/01  10:00:00,150.339612043,51.8719125032,0.0,0.0,6.98738001645,14.1499734587,313.04508,308.378068862,3.5025,1.16451113792
 01/01  11:00:00,184.921430469,51.8719125032,0.0,0.0,27.9495200658,27.7759469175,277.368222184,269.198311941,7.005,1.16491024259
 01/01  12:00:00,216.282355078,51.8719125032,0.0,0.0,27.9495200658,27.7759469175,265.396625199,257.226710319,7.005,1.16491488007
 01/01  13:00:00,223.436007761,51.8719125032,0.0,0.0,41.9242800987,36.8599292233,245.475368723,234.970268925,9.34,1.16509979845
 01/01  14:00:00,220.657114319,51.8719125032,0.0,0.0,41.9242800987,36.8599292233,229.74684738,219.241681389,9.34,1.16516599159
 01/01  15:00:00,216.856154249,51.8719125032,0.0,0.0,41.9242800987,36.8599292233,223.742269725,213.237128804,9.34,1.165140921
 01/01  16:00:00,213.435451454,51.8719125032,0.0,0.0,41.9242800987,36.8599292233,231.334191233,220.828982322,9.34,1.16520891166
 01/01  17:00:00,216.852498674,51.8719125032,0.0,0.0,41.9242800987,36.8599292233,242.184231803,231.679141726,9.34,1.16509007658
 01/01  18:00:00,198.517636854,51.8719125032,0.0,0.0,27.9495200658,27.7759469175,285.868181032,277.698123276,7.005,1.16505775614
 01/01  19:00:00,204.995232838,51.8719125032,0.0,0.0,13.9747600329,18.6919646116,308.075189614,302.240282046,4.67,1.16490756812
 01/01  20:00:00,184.891382686,51.8719125032,0.0,0.0,13.9747600329,18.6919646116,315.117403991,309.282578993,4.67,1.16482499814
 01/01  21:00:00,176.097000552,51.8719125032,0.0,0.0,13.9747600329,18.6919646116,316.206282812,311.516282812,4.67,0.02
 01/01  22:00:00,161.957547143,51.8719125032,0.0,0.0,13.9747600329,18.6919646116,275.671052658,269.836471096,4.67,1.16458156198
 01/01  23:00:00,76.6810226237,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,112.786757193,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554123729,0.0,1.75125,1.16429123729
 01/02  01:00:00,103.638617543,19.9091090434,0.0,0.0,3.49369000822,9.08398230582,23.2369026272,20.8819026272,2.335,0.02
 01/02  02:00:00,97.3903559888,19.9091090434,0.0,0.0,3.49369000822,9.08398230582,24.640382483,22.285382483,2.335,0.02
 01/02  03:00:00,90.9006683698,13.5341309048,0.00204244245408,0.0,3.49369000822,9.08398230582,21.8447091355,18.3453738072,2.335,1.16433532832
 01/02  04:00:00,104.41032585,27.3181281878,0.00338734877434,0.0,3.49369000822,9.08398230582,37.0968465555,34.7418465555,2.335,0.02
 01/02  05:00:00,113.699410262,29.819166162,0.000785397425249,0.0,3.49369000822,9.08398230582,37.7285208416,35.3735208416,2.335,0.02
 01/02  06:00:00,109.280959575,25.8688064828,0.000348140658972,0.0,3.49369000822,9.08398230582,31.6348565393,28.1355525383,2.335,1.164304001
 01/02  07:00:00,160.705753979,51.8719125032,0.0,0.0,13.9747600329,18.6919646116,422.012370975,417.322370975,4.67,0.02
 01/02  08:00:00,162.940202767,51.8719125032,0.0,0.0,13.9747600329,18.6919646116,386.594367673,380.759821934,4.67,1.16454573828
 01/02  09:00:00,232.493859409,51.8719125032,0.0,0.0,34.9369000822,32.3179380704,336.782686531,328.590186531,8.1725,0.02
 01/02  10:00:00,256.463167264,51.8719125032,0.0,0.0,62.886420148,41.4019203762,287.100254304,275.427795059,10.5075,1.16495924514
 01/02  11:00:00,246.655239365,51.8719125032,0.0,0.0,62.886420148,41.4019203762,268.94201923,257.269318277,10.5075,1.16520095294
 01/02  12:00:00,277.672468333,51.8719125032,0.0,0.0,62.886420148,41.4019203762,251.930215168,239.111232105,10.5075,2.3114830623
